,what,policy,gave,britain,dominance,in,world,trade,?
by,0.2455483376979828,0.13463684916496277,0.20645932853221893,0.20873384177684784,0.20267850160598755,0.370934396982193,0.22306372225284576,0.13884904980659485,0.17966607213020325
the,0.42745697498321533,0.2358427494764328,0.32555076479911804,0.29784059524536133,0.3841419219970703,0.6662389636039734,0.33604270219802856,0.2681608200073242,0.22068053483963013
1840s,-0.16109172999858856,-0.03988839313387871,0.02289695478975773,-0.0016109055140987039,-0.06276661157608032,-0.047880303114652634,0.00994351040571928,0.02896220050752163,-0.14078301191329956
",",0.3087472915649414,0.2903050184249878,0.2448001652956009,0.26227492094039917,0.21292094886302948,0.5201468467712402,0.26091980934143066,0.1945054978132248,0.31091248989105225
britain,0.24206450581550598,0.21537993848323822,0.23577474057674408,1.0000001192092896,0.28900080919265747,0.26246872544288635,0.3683224022388458,0.2674514651298523,0.1268460750579834
had,0.23849567770957947,0.17498552799224854,0.47971686720848083,0.29607513546943665,0.18783381581306458,0.385026752948761,0.22808445990085602,0.18249842524528503,0.20728366076946259
adopted,0.1504661738872528,0.21464291214942932,0.22967220842838287,0.19306686520576477,0.21410740911960602,0.22637200355529785,0.13882790505886078,0.12481948733329773,0.14235380291938782
a,0.3320399522781372,0.17720282077789307,0.26239895820617676,0.18575294315814972,0.25288090109825134,0.539380669593811,0.22239887714385986,0.2032492309808731,0.23916715383529663
highly,0.22724121809005737,0.2094237059354782,0.1560390144586563,0.13854561746120453,0.2257065773010254,0.20217788219451904,0.20138587057590485,0.09498576074838638,0.1542806625366211
successful,0.16902779042720795,0.16325260698795319,0.14546732604503632,0.2171248495578766,0.1658691018819809,0.2864660918712616,0.26203447580337524,0.1277371197938919,0.1132197454571724
policy,0.3869883120059967,0.9999998807907104,0.11361277103424072,0.21537993848323822,0.26819223165512085,0.1459147185087204,0.13543905317783356,0.33343544602394104,0.30462446808815
of,0.33290785551071167,0.24393197894096375,0.3650403320789337,0.28899943828582764,0.3554438352584839,0.5696388483047485,0.2828933000564575,0.2310105711221695,0.1826142966747284
free,0.22754132747650146,0.27256467938423157,0.1627599149942398,0.18730385601520538,0.20212973654270172,0.25575435161590576,0.1722853183746338,0.24182011187076569,0.1278279572725296
trade,0.1555381417274475,0.33343544602394104,0.15152955055236816,0.2674514651298523,0.3386462330818176,0.23862801492214203,0.27012404799461365,0.9999999403953552,0.09336511790752411
that,0.6297725439071655,0.34090733528137207,0.2616252303123474,0.2614029049873352,0.30339598655700684,0.435920387506485,0.2972288429737091,0.20906251668930054,0.32716336846351624
gave,0.14222867786884308,0.11361277103424072,1.0000001192092896,0.23577474057674408,0.2021811157464981,0.24152803421020508,0.16789279878139496,0.15152955055236816,0.1910865753889084
it,0.45803478360176086,0.2245468944311142,0.2046516388654709,0.24028480052947998,0.17855994403362274,0.5130809545516968,0.2775384485721588,0.2112291306257248,0.25732165575027466
dominance,0.27423277497291565,0.26819223165512085,0.2021811157464981,0.28900080919265747,0.9999999403953552,0.24914605915546417,0.240608811378479,0.3386462330818176,0.08315658569335938
in,0.30808621644973755,0.1459147185087204,0.24152803421020508,0.26246872544288635,0.24914605915546417,1.0,0.3038199245929718,0.23862801492214203,0.20430970191955566
the,0.42745697498321533,0.2358427494764328,0.32555076479911804,0.29784059524536133,0.3841419219970703,0.6662389636039734,0.33604270219802856,0.2681608200073242,0.22068053483963013
trade,0.1555381417274475,0.33343544602394104,0.15152955055236816,0.2674514651298523,0.3386462330818176,0.23862801492214203,0.27012404799461365,0.9999999403953552,0.09336511790752411
of,0.33290785551071167,0.24393197894096375,0.3650403320789337,0.28899943828582764,0.3554438352584839,0.5696388483047485,0.2828933000564575,0.2310105711221695,0.1826142966747284
much,0.45316147804260254,0.28265002369880676,0.19365344941616058,0.27352625131607056,0.30592015385627747,0.2725222110748291,0.19682428240776062,0.24160455167293549,0.23442231118679047
of,0.33290785551071167,0.24393197894096375,0.3650403320789337,0.28899943828582764,0.3554438352584839,0.5696388483047485,0.2828933000564575,0.2310105711221695,0.1826142966747284
the,0.42745697498321533,0.2358427494764328,0.32555076479911804,0.29784059524536133,0.3841419219970703,0.6662389636039734,0.33604270219802856,0.2681608200073242,0.22068053483963013
world,0.21669597923755646,0.13543905317783356,0.16789279878139496,0.3683224022388458,0.240608811378479,0.3038199245929718,1.0000001192092896,0.27012404799461365,0.17579582333564758
.,0.3567904531955719,0.25152966380119324,0.29957500100135803,0.25750598311424255,0.20766650140285492,0.5591574311256409,0.3177160322666168,0.20157761871814728,0.4130953550338745
