,what,is,the,applicant,admission,rate,for,class,of,2019,?
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.17512358725070953,0.31619688868522644,0.1276775300502777,0.14800849556922913,0.15633030235767365,0.25842633843421936,0.058273736387491226,0.11685016006231308
college,0.20568516850471497,0.15433147549629211,0.19751401245594025,0.19515974819660187,0.42084380984306335,0.1322331726551056,0.22815082967281342,0.17701715230941772,0.2384195327758789,-0.07549867779016495,0.11076676845550537
accepted,0.2928575575351715,0.16579633951187134,0.2999902665615082,0.21434716880321503,0.3671962320804596,0.1479763388633728,0.3093303442001343,0.16663745045661926,0.2863047122955322,0.14599652588367462,0.19665466248989105
5.3,0.015658827498555183,0.14244523644447327,0.05059019848704338,-0.00803225114941597,-0.0809866189956665,0.13557736575603485,-0.004655982367694378,-0.02683139406144619,0.08984790742397308,0.28614184260368347,0.07685638219118118
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.18894687294960022,0.17569947242736816,0.330258846282959,0.16658860445022583,0.17819178104400635,0.19953428208827972,0.07040875405073166,0.21441808342933655
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2505401372909546,0.27535557746887207,0.24132871627807617,0.4185989499092102,0.19740594923496246,1.0,-0.03568984195590019,0.1826142966747284
applicants,0.20522134006023407,0.20692819356918335,0.26014283299446106,0.9280568361282349,0.4292972981929779,0.21291445195674896,0.36475294828414917,0.13304510712623596,0.2532283663749695,0.1724981963634491,0.15245583653450012
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.35816723108291626,0.27035728096961975,0.2299952208995819,0.9999999403953552,0.17833863198757172,0.4185989499092102,0.0016695251688361168,0.264628142118454
the,0.42745697498321533,0.5823672413825989,1.0,0.25239214301109314,0.2620483338832855,0.24881242215633392,0.4739971458911896,0.18034407496452332,0.733189046382904,-0.055468589067459106,0.22068053483963013
class,0.16880196332931519,0.1275252103805542,0.18034407496452332,0.12167077511548996,0.17823588848114014,0.1567084938287735,0.17833863198757172,1.0,0.19740594923496246,0.1069876104593277,0.12778934836387634
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2505401372909546,0.27535557746887207,0.24132871627807617,0.4185989499092102,0.19740594923496246,1.0,-0.03568984195590019,0.1826142966747284
2019,0.14493931829929352,0.03581801801919937,-0.055468589067459106,0.22758828103542328,0.01789788343012333,0.14404286444187164,0.0016695251688361168,0.1069876104593277,-0.03568984195590019,0.9999999403953552,0.18782185018062592
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23736900091171265,0.1946551650762558,0.18156792223453522,0.4464869201183319,0.1753857135772705,0.4946078956127167,0.057086046785116196,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.29971304535865784,0.28397107124328613,0.24373900890350342,0.44038116931915283,0.23462694883346558,0.5052502155303955,0.11591172963380814,0.23916715383529663
record,0.1772487461566925,0.19413821399211884,0.23569516837596893,0.14211976528167725,0.14921033382415771,0.2390102595090866,0.24185582995414734,0.11174893379211426,0.19289259612560272,0.04399064928293228,0.14407116174697876
low,0.20743566751480103,0.19289205968379974,0.2544175982475281,0.1864466518163681,0.22121377289295197,0.3824940621852875,0.19718985259532928,0.1554473638534546,0.27171993255615234,0.08881336450576782,0.10658930987119675
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23052167892456055,0.20120634138584137,0.17405889928340912,0.5064792633056641,0.20710228383541107,0.5116966962814331,-0.009957168251276016,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.25239214301109314,0.2620483338832855,0.24881242215633392,0.4739971458911896,0.18034407496452332,0.733189046382904,-0.055468589067459106,0.22068053483963013
second,0.19948028028011322,0.3161451518535614,0.4620301127433777,0.16052913665771484,0.14825935661792755,0.17991772294044495,0.25438159704208374,0.15849633514881134,0.353416383266449,0.05912410467863083,0.17239587008953094
lowest,0.21666452288627625,0.2606837749481201,0.3453028202056885,0.1630067527294159,0.19901445508003235,0.3685522675514221,0.22372238337993622,0.2007335126399994,0.2680990993976593,0.006856307853013277,0.11098209768533707
acceptance,0.3282985985279083,0.16913427412509918,0.19179219007492065,0.21181753277778625,0.41807234287261963,0.19924592971801758,0.31476712226867676,0.1681923270225525,0.20055295526981354,0.18571822345256805,0.29332998394966125
rate,0.21845893561840057,0.24290183186531067,0.24881242215633392,0.1972145438194275,0.20808358490467072,1.0000001192092896,0.2299952208995819,0.1567084938287735,0.24132871627807617,0.14404286444187164,0.1308269053697586
among,0.21154822409152985,0.21956473588943481,0.3507058024406433,0.1352900117635727,0.18626658618450165,0.23871394991874695,0.2832789719104767,0.20774050056934357,0.3679063022136688,0.05195190757513046,0.14343059062957764
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.2615842819213867,0.20820997655391693,0.22408053278923035,0.41144001483917236,0.2166067510843277,0.42798417806625366,0.09411264210939407,0.29575422406196594
national,0.16882304847240448,0.23413582146167755,0.32739606499671936,0.2045287787914276,0.26524150371551514,0.14623285830020905,0.36267757415771484,0.11192294955253601,0.3314673602581024,-0.043308109045028687,0.15643028914928436
universities,0.1630716770887375,0.2421088069677353,0.2619408071041107,0.27554160356521606,0.3827051818370819,0.10213647037744522,0.2253284901380539,0.1518222987651825,0.29948264360427856,0.060321908444166183,0.16836881637573242
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2676773965358734,0.2514549791812897,0.2418757975101471,0.4726039469242096,0.24688394367694855,0.5352458953857422,0.0282730795443058,0.4130953550338745
