,what,are,chares,?
in,0.30808621644973755,0.3841303884983063,0.2283347249031067,0.20430970191955566
large,0.2017821967601776,0.3467932939529419,0.21508069336414337,0.1355665624141693
parts,0.3415631353855133,0.3642873466014862,0.17608140408992767,0.12310896813869476
",",0.3087472915649414,0.4062570035457611,0.3322060704231262,0.31091248989105225
newcastle,0.16276082396507263,0.1428472399711609,0.19918984174728394,0.0902252271771431
still,0.4548931419849396,0.40321314334869385,0.178928405046463,0.3039587736129761
retains,0.13150368630886078,0.2258342206478119,0.16670489311218262,0.058350570499897
a,0.3320399522781372,0.265255331993103,0.27995359897613525,0.23916715383529663
medieval,0.2230893075466156,0.13899409770965576,0.2616632580757141,0.15571735799312592
street,0.14271703362464905,0.14209461212158203,0.1691715568304062,0.07315441966056824
layout,0.251471608877182,0.18953435122966766,0.08397114276885986,0.16854165494441986
.,0.3567904531955719,0.3452940285205841,0.2386699765920639,0.4130953550338745
