,what,astronomer,worked,for,kublai,?
among,0.21154822409152985,0.09066543728113174,0.17307311296463013,0.2832789719104767,0.13360291719436646,0.14343059062957764
kublai,0.24627302587032318,0.1508297622203827,0.140969380736351,0.20383915305137634,0.9999999403953552,0.14562560617923737
khan,0.16476042568683624,0.13367915153503418,0.12794996798038483,0.13388998806476593,0.5925762057304382,0.12862591445446014
's,0.02692362666130066,-0.03491293266415596,-0.054441310465335846,-0.07241261005401611,-0.017352506518363953,-0.023395681753754616
top,0.21232028305530548,0.11004408448934555,0.17730499804019928,0.2343461513519287,0.10936929285526276,0.17265194654464722
engineers,0.259060800075531,0.28620246052742004,0.30915331840515137,0.2197026014328003,0.17358559370040894,0.18139411509037018
and,0.31309178471565247,0.1499011367559433,0.3093699514865875,0.5064792633056641,0.25078991055488586,0.20544172823429108
scientists,0.30003565549850464,0.4369172155857086,0.1621233969926834,0.17087750136852264,0.09750495105981827,0.16597221791744232
was,0.22111038863658905,0.28611236810684204,0.38922780752182007,0.3863949179649353,0.3139400780200958,0.18412111699581146
the,0.42745697498321533,0.1624840497970581,0.22615844011306763,0.4739971458911896,0.32886171340942383,0.22068053483963013
astronomer,0.14208653569221497,1.0,0.20038022100925446,0.12207479029893875,0.1508297622203827,0.07595891505479813
guo,0.15294545888900757,0.2077944278717041,0.2054995447397232,0.25654762983322144,0.46240976452827454,0.21861954033374786
shoujing,0.34609338641166687,0.19153782725334167,0.22686846554279327,0.3289255201816559,0.5077685713768005,0.31839457154273987
",",0.3087472915649414,0.23201249539852142,0.31017279624938965,0.4464869201183319,0.2569756805896759,0.31091248989105225
who,0.40942975878715515,0.22730545699596405,0.3184434771537781,0.37110671401023865,0.2874084413051605,0.26220351457595825
was,0.22111038863658905,0.28611236810684204,0.38922780752182007,0.3863949179649353,0.3139400780200958,0.18412111699581146
tasked,0.2698286771774292,0.08891624212265015,0.32217979431152344,0.3441523611545563,0.22126197814941406,0.16982729732990265
with,0.2464839518070221,0.12940889596939087,0.22196559607982635,0.39140474796295166,0.1752355396747589,0.2433311939239502
many,0.36131182312965393,0.13484805822372437,0.3090624511241913,0.40972793102264404,0.21436981856822968,0.2124512493610382
public,0.1729622185230255,0.10106790065765381,0.15033842623233795,0.3092794418334961,0.11652785539627075,0.19872993230819702
works,0.2418437898159027,0.1655460149049759,0.4196402430534363,0.34962278604507446,0.09144972264766693,0.19597402215003967
projects,0.28646913170814514,0.061879437416791916,0.295129656791687,0.3048563301563263,0.1692282110452652,0.3193145990371704
and,0.31309178471565247,0.1499011367559433,0.3093699514865875,0.5064792633056641,0.25078991055488586,0.20544172823429108
helped,0.1926339715719223,0.15583662688732147,0.4762459695339203,0.26606255769729614,0.22422942519187927,0.16572049260139465
the,0.42745697498321533,0.1624840497970581,0.22615844011306763,0.4739971458911896,0.32886171340942383,0.22068053483963013
yuan,0.13503028452396393,0.18930548429489136,0.06747864186763763,0.12319284677505493,0.5195493102073669,0.12871281802654266
reform,0.20049384236335754,0.1564037799835205,0.15051649510860443,0.22680416703224182,0.26043933629989624,0.14216484129428864
the,0.42745697498321533,0.1624840497970581,0.22615844011306763,0.4739971458911896,0.32886171340942383,0.22068053483963013
lunisolar,0.19815872609615326,0.4088597893714905,0.20039904117584229,0.25376033782958984,0.3672637343406677,0.17871008813381195
calendar,0.17026786506175995,0.32666394114494324,0.09895768016576767,0.16532684862613678,0.2691796123981476,0.16766934096813202
to,0.455847829580307,0.11955936998128891,0.22250263392925262,0.4451248347759247,0.2918815314769745,0.29463258385658264
provide,0.27049049735069275,0.02290056273341179,0.20742034912109375,0.42299434542655945,0.12198834866285324,0.22704634070396423
an,0.2821882665157318,0.1863745003938675,0.1962650716304779,0.3236706852912903,0.11958086490631104,0.19793890416622162
accuracy,0.3124016225337982,0.20922085642814636,0.08625718206167221,0.25611376762390137,0.21107053756713867,0.2192702442407608
