,what,was,the,name,of,bohemond,'s,nephew,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.2886490523815155,-0.037580832839012146,0.18166609108448029,0.20430970191955566
1096,0.16084009408950806,0.1068492978811264,-0.036443956196308136,-0.013601915910840034,-0.02045406401157379,0.21575875580310822,0.019933996722102165,0.15512751042842865,0.34026601910591125
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3269481956958771,-0.0016132977325469255,0.2089378386735916,0.31091248989105225
crusaders,0.22424153983592987,0.24808558821678162,0.30263176560401917,0.0725729838013649,0.203770712018013,0.33295881748199463,-0.07194396108388901,0.21364177763462067,0.18536235392093658
passing,0.2581939399242401,0.13813647627830505,0.3088957965373993,0.08017803728580475,0.24086934328079224,0.16855427622795105,0.06193678826093674,0.09050773829221725,0.10353918373584747
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.1774405986070633,-0.010884488001465797,0.21233440935611725,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.29231345653533936,-0.01540423184633255,0.1778409779071808,0.22068053483963013
siege,0.12691979110240936,0.2508069574832916,0.26454421877861023,0.0701591745018959,0.24839437007904053,0.29939374327659607,-0.011761966161429882,0.21313220262527466,0.07257505506277084
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.3086721897125244,-0.03817026689648628,0.17222502827644348,0.1826142966747284
amalfi,0.20330294966697693,0.2685215175151825,0.2865128219127655,0.22762106359004974,0.32458266615867615,0.3497433364391327,0.06791766732931137,0.2866833806037903,0.176895871758461
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.1580192744731903,0.34038281440734863,0.17233361303806305,0.007088581565767527,0.18181882798671722,0.17890112102031708
joined,0.11022865772247314,0.3172960579395294,0.2943263649940491,0.21773026883602142,0.24761945009231567,0.21791808307170868,0.08263400942087173,0.2129644900560379,0.06566751003265381
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.1774405986070633,-0.010884488001465797,0.21233440935611725,0.17966607213020325
bohemond,0.19392748177051544,0.2821403443813324,0.29231345653533936,0.17802201211452484,0.3086721897125244,0.9999999403953552,-0.009370481595396996,0.2617019712924957,0.16465221345424652
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.3086721897125244,-0.03817026689648628,0.17222502827644348,0.1826142966747284
taranto,0.19803586602210999,0.19335897266864777,0.35125747323036194,0.18245592713356018,0.3013586103916168,0.3281500041484833,-0.007604684680700302,0.22632119059562683,0.19544865190982819
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.2381872534751892,0.06895173341035843,0.22328315675258636,0.20544172823429108
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.31394878029823303,0.047556519508361816,0.421194463968277,0.18075084686279297
nephew,0.1471434384584427,0.2694432735443115,0.1778409779071808,0.18222588300704956,0.17222502827644348,0.2617019712924957,-0.05431913584470749,0.9999999403953552,0.15075847506523132
tancred,0.1609336882829666,0.33577296137809753,0.2673100531101227,0.10233517736196518,0.30629414319992065,0.3714904487133026,-0.052517540752887726,0.4058361351490021,0.191949725151062
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.20202988386154175,-0.04624466598033905,0.14945176243782043,0.2433311939239502
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.1629204899072647,0.025255560874938965,0.10023272037506104,0.19793890416622162
army,0.1698741316795349,0.30177709460258484,0.31011611223220825,0.11530444025993347,0.2669098675251007,0.17716504633426666,0.03417222201824188,0.1718408167362213,0.180583193898201
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.3086721897125244,-0.03817026689648628,0.17222502827644348,0.1826142966747284
italo-normans,0.17612241208553314,0.25261038541793823,0.3071911036968231,0.1600722372531891,0.27579084038734436,0.35540610551834106,0.02004951983690262,0.22209830582141876,0.15983468294143677
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.30931514501571655,-0.003708066651597619,0.15782979130744934,0.4130953550338745
