,what,kind,of,images,of,luther,were,used,to,advertise,protestantism,?
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.1735273003578186,0.5696388483047485,0.20523880422115326,0.3815755248069763,0.3090210556983948,0.45010748505592346,0.1571340560913086,0.24573495984077454,0.20430970191955566
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.22232814133167267,0.733189046382904,0.1759674996137619,0.3906462490558624,0.3718377649784088,0.535392165184021,0.1895270049571991,0.2780466079711914,0.22068053483963013
1530s,-0.23882226645946503,-0.15609225630760193,-0.06536941975355148,-0.013706753961741924,-0.06536941975355148,-0.1771199256181717,-0.07824375480413437,-0.12429051101207733,-0.24151301383972168,-0.15767912566661835,-0.18813709914684296,-0.1440771520137787
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.1939600706100464,0.5116966962814331,0.20796556770801544,0.42175528407096863,0.3150506615638733,0.48971283435821533,0.17832274734973907,0.2314465492963791,0.20544172823429108
1540s,-0.04520294442772865,-0.03096756525337696,0.10465798527002335,-0.12318143993616104,0.10465798527002335,0.03004090115427971,0.1912802904844284,0.020225156098604202,0.05015302821993828,-0.03519773110747337,0.19043727219104767,-0.04581177607178688
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23035936057567596,0.4946078956127167,0.23255878686904907,0.36755475401878357,0.3120402991771698,0.44245919585227966,0.21764205396175385,0.27199801802635193,0.31091248989105225
printed,0.2500266134738922,0.1525108516216278,0.21046876907348633,0.2743823230266571,0.21046876907348633,0.2106095850467682,0.23089656233787537,0.2862871289253235,0.1925152689218521,0.30176302790641785,0.22112832963466644,0.1726173758506775
images,0.23456238210201263,0.1610860526561737,0.2139289528131485,0.9999999403953552,0.2139289528131485,0.1797129064798355,0.2116612046957016,0.23759497702121735,0.2165423482656479,0.2400316447019577,0.17215408384799957,0.22502069175243378
of,0.33290785551071167,0.2285657674074173,1.0,0.2139289528131485,1.0,0.1719115972518921,0.34038281440734863,0.3075267970561981,0.41548454761505127,0.08571559190750122,0.31892913579940796,0.1826142966747284
luther,0.2134782373905182,0.0905032530426979,0.1719115972518921,0.1797129064798355,0.1719115972518921,1.0,0.18652333319187164,0.08111961930990219,0.18029534816741943,0.19314062595367432,0.44069474935531616,0.1732746809720993
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.28046083450317383,0.41498205065727234,0.21746599674224854,0.35517072677612305,0.37621384859085083,0.5436353087425232,0.30199721455574036,0.3045148551464081,0.32716336846351624
emphasized,0.2585770785808563,0.2561745345592499,0.3148948550224304,0.22337329387664795,0.3148948550224304,0.18182973563671112,0.22199881076812744,0.2677764892578125,0.25887349247932434,0.24644003808498383,0.33786290884017944,0.19381670653820038
his,0.26976513862609863,0.18263587355613708,0.38364991545677185,0.13534238934516907,0.38364991545677185,0.27093374729156494,0.3142043352127075,0.20492680370807648,0.3715193271636963,0.20849968492984772,0.2358480840921402,0.18075084686279297
monumental,0.1396486610174179,0.06362216919660568,0.24469900131225586,0.2393122762441635,0.24469900131225586,0.18936139345169067,0.16704407334327698,0.114966981112957,0.11072076112031937,0.057892899960279465,0.19298657774925232,0.15341590344905853
size,0.2566739320755005,0.17919649183750153,0.27599775791168213,0.2568148672580719,0.27599775791168213,0.11246459931135178,0.14647510647773743,0.22543680667877197,0.26289698481559753,0.14038705825805664,0.1603332906961441,0.13693112134933472
were,0.22298263013362885,0.12719890475273132,0.34038281440734863,0.2116612046957016,0.34038281440734863,0.18652333319187164,1.0000001192092896,0.27636459469795227,0.31913647055625916,0.1844496876001358,0.27605393528938293,0.17890112102031708
crucial,0.33186814188957214,0.2895769774913788,0.2857859432697296,0.13920986652374268,0.2857859432697296,0.20501483976840973,0.08234502375125885,0.1843966245651245,0.25628989934921265,0.20685359835624695,0.2079886645078659,0.18243193626403809
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.2165423482656479,0.41548454761505127,0.18029534816741943,0.31913647055625916,0.40058770775794983,1.0,0.2837200164794922,0.2578659951686859,0.29463258385658264
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.22232814133167267,0.733189046382904,0.1759674996137619,0.3906462490558624,0.3718377649784088,0.535392165184021,0.1895270049571991,0.2780466079711914,0.22068053483963013
spread,0.22287604212760925,0.2282324582338333,0.2895529866218567,0.1571897715330124,0.2895529866218567,0.11462883651256561,0.19662760198116302,0.273860365152359,0.2748686373233795,0.1584329903125763,0.2673034965991974,0.16482828557491302
of,0.33290785551071167,0.2285657674074173,1.0,0.2139289528131485,1.0,0.1719115972518921,0.34038281440734863,0.3075267970561981,0.41548454761505127,0.08571559190750122,0.31892913579940796,0.1826142966747284
protestantism,0.28224319219589233,0.15644507110118866,0.31892913579940796,0.17215408384799957,0.31892913579940796,0.44069474935531616,0.27605393528938293,0.11093321442604065,0.2578659951686859,0.215803861618042,1.0000001192092896,0.1824951469898224
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.20531399548053741,0.5352458953857422,0.24907569587230682,0.3378238379955292,0.33111312985420227,0.4645031690597534,0.22454392910003662,0.2700658440589905,0.4130953550338745
