,what,notable,private,school,has,an,endowment,of,several,hundred,million,dollars,?
the,0.42745697498321533,0.20948168635368347,0.18291357159614563,0.22953221201896667,0.4177538752555847,0.4207492768764496,0.28356990218162537,0.733189046382904,0.40559855103492737,0.3325488865375519,0.277012437582016,0.2665082812309265,0.22068053483963013
leading,0.197072371840477,0.25187626481056213,0.1422944962978363,0.1105538159608841,0.1677602231502533,0.25237837433815,0.21963977813720703,0.29180192947387695,0.28083544969558716,0.2369152307510376,0.17300310730934143,0.1480119824409485,0.1360926628112793
schools,0.1820785105228424,0.1942712515592575,0.4158569872379303,0.7602541446685791,0.2180989682674408,0.13943931460380554,0.3009720742702484,0.265506386756897,0.25758257508277893,0.24303774535655975,0.14423052966594696,0.2266790270805359,0.18349280953407288
such,0.23989605903625488,0.30687424540519714,0.20891956984996796,0.13059592247009277,0.26101309061050415,0.2025681436061859,0.15498606860637665,0.3209529519081116,0.46105092763900757,0.22057566046714783,0.18946537375450134,0.19023022055625916,0.17851735651493073
as,0.31749409437179565,0.2787022590637207,0.22101859748363495,0.2065676748752594,0.351646363735199,0.37218472361564636,0.24474754929542542,0.3886612355709076,0.355270117521286,0.23431937396526337,0.19242988526821136,0.1674233227968216,0.27043893933296204
the,0.42745697498321533,0.20948168635368347,0.18291357159614563,0.22953221201896667,0.4177538752555847,0.4207492768764496,0.28356990218162537,0.733189046382904,0.40559855103492737,0.3325488865375519,0.277012437582016,0.2665082812309265,0.22068053483963013
groton,0.13637389242649078,0.22873234748840332,0.1399986296892166,0.2392512410879135,0.2076970636844635,0.2216547131538391,0.19937852025032043,0.2594091594219208,0.1344819813966751,0.1750563383102417,0.0656188577413559,0.0882294550538063,0.055315788835287094
school,0.18774057924747467,0.1560765653848648,0.3584248125553131,1.0,0.1724022775888443,0.17441901564598083,0.33093005418777466,0.2391800880432129,0.17677904665470123,0.17928144335746765,0.10483641177415848,0.18539881706237793,0.15091250836849213
had,0.23849567770957947,0.188095822930336,0.13808554410934448,0.20507600903511047,0.5787927508354187,0.22327841818332672,0.2024732530117035,0.37755560874938965,0.3695624768733978,0.29133957624435425,0.2695454955101013,0.23987217247486115,0.20728366076946259
substantial,0.33448854088783264,0.37178733944892883,0.24711847305297852,0.16305318474769592,0.2976972162723541,0.2349427044391632,0.39369139075279236,0.30609557032585144,0.24259404838085175,0.22362591326236725,0.273077130317688,0.3239992558956146,0.25194647908210754
endowments,0.1943683922290802,0.17406165599822998,0.3439076542854309,0.30343177914619446,0.2521946430206299,0.17988812923431396,0.9220215678215027,0.34789901971817017,0.25965240597724915,0.2904045879840851,0.37207746505737305,0.4982606768608093,0.18979452550411224
running,0.2357972115278244,0.15670090913772583,0.12039114534854889,0.13791832327842712,0.24151650071144104,0.18304400146007538,0.09760333597660065,0.2329012006521225,0.21256017684936523,0.07653188705444336,0.11019369214773178,0.09542693197727203,0.15679655969142914
to,0.455847829580307,0.18140920996665955,0.18892748653888702,0.24496325850486755,0.3619994819164276,0.3138085603713989,0.1974945366382599,0.41548454761505127,0.36196985840797424,0.2489847093820572,0.22033339738845825,0.23776228725910187,0.29463258385658264
hundreds,0.234964519739151,0.22000165283679962,0.14691860973834991,0.15926246345043182,0.26838958263397217,0.17152148485183716,0.21469858288764954,0.32997775077819824,0.5480714440345764,0.7330960631370544,0.41315287351608276,0.38355693221092224,0.17484495043754578
of,0.33290785551071167,0.1985267549753189,0.18706899881362915,0.2391800880432129,0.3909035325050354,0.32280945777893066,0.34702977538108826,1.0,0.3271615505218506,0.3473483920097351,0.21686489880084991,0.1848512589931488,0.1826142966747284
millions,0.28270843625068665,0.23343564569950104,0.11938133090734482,0.12030389904975891,0.18828387558460236,0.12623880803585052,0.29118165373802185,0.24609270691871643,0.3339827358722687,0.506252646446228,0.7435215711593628,0.5449000597000122,0.21816711127758026
of,0.33290785551071167,0.1985267549753189,0.18706899881362915,0.2391800880432129,0.3909035325050354,0.32280945777893066,0.34702977538108826,1.0,0.3271615505218506,0.3473483920097351,0.21686489880084991,0.1848512589931488,0.1826142966747284
dollars,0.2180599719285965,0.22848103940486908,0.22685739398002625,0.18539881706237793,0.18880003690719604,0.07324554026126862,0.44497597217559814,0.1848512589931488,0.19737109541893005,0.42578521370887756,0.5869508981704712,0.9999999403953552,0.21298730373382568
supplemented,0.20228919386863708,0.1765620857477188,0.1245979517698288,0.12947289645671844,0.22592847049236298,0.24897201359272003,0.17709296941757202,0.2457846999168396,0.2000638097524643,0.07724126428365707,0.10478891432285309,0.12216829508543015,0.20695461332798004
by,0.2455483376979828,0.16601009666919708,0.18554414808750153,0.1477794349193573,0.3254803419113159,0.2719563841819763,0.23571854829788208,0.3646814823150635,0.3275541365146637,0.25382816791534424,0.20025373995304108,0.18719065189361572,0.17966607213020325
fundraising,0.28232261538505554,0.18653316795825958,0.32367193698883057,0.24479766190052032,0.2427334487438202,0.21243436634540558,0.45952194929122925,0.23001651465892792,0.25377553701400757,0.2395096719264984,0.3038376569747925,0.3629313111305237,0.20534715056419373
drives,0.23342765867710114,0.16201838850975037,0.1378430724143982,0.12876173853874207,0.20010876655578613,0.16088716685771942,0.06724320352077484,0.1603955775499344,0.17080192267894745,0.10653849691152573,0.14776405692100525,0.2087288796901703,0.08974530547857285
.,0.3567904531955719,0.2256665676832199,0.2534593939781189,0.24214158952236176,0.4105546176433563,0.3581749200820923,0.29407718777656555,0.5352458953857422,0.30276554822921753,0.295681893825531,0.26805803179740906,0.2418067753314972,0.4130953550338745
