,what,is,only,found,in,peridinin-type,chloroplasts,?
the,0.42745697498321533,0.5823672413825989,0.5497692227363586,0.3452354073524475,0.6662389636039734,0.386300653219223,0.23062430322170258,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.5343596935272217,0.2697452902793884,0.41416558623313904,0.24669119715690613,0.254451721906662,0.2107497900724411
common,0.19989867508411407,0.2952355444431305,0.2925458550453186,0.2702949643135071,0.23149342834949493,0.27536606788635254,0.23036974668502808,0.20434872806072235
dinophyte,0.22649647295475006,0.23675218224525452,0.3174492120742798,0.2598455846309662,0.18352466821670532,0.4439048767089844,0.572895348072052,0.21492615342140198
chloroplast,0.23505516350269318,0.20798198878765106,0.298546701669693,0.22485198080539703,0.19207799434661865,0.3598039150238037,0.9777651429176331,0.12532055377960205
is,0.28837618231773376,1.0,0.44708555936813354,0.3526395261287689,0.5394441485404968,0.39773768186569214,0.22550933063030243,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.5497692227363586,0.3452354073524475,0.6662389636039734,0.386300653219223,0.23062430322170258,0.22068053483963013
peridinin-type,0.2593792974948883,0.39773768186569214,0.30650708079338074,0.24948222935199738,0.3535833954811096,1.0,0.3736703097820282,0.24264028668403625
chloroplast,0.23505516350269318,0.20798198878765106,0.298546701669693,0.22485198080539703,0.19207799434661865,0.3598039150238037,0.9777651429176331,0.12532055377960205
",",0.3087472915649414,0.4691906273365021,0.4220978021621704,0.27385151386260986,0.5201468467712402,0.3603474497795105,0.20794041454792023,0.31091248989105225
characterized,0.20582014322280884,0.26732131838798523,0.21789385378360748,0.30299898982048035,0.2862750291824341,0.4408339560031891,0.32656654715538025,0.03949757292866707
by,0.2455483376979828,0.3899846076965332,0.36511722207069397,0.17248263955116272,0.370934396982193,0.26798388361930847,0.1951972097158432,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,0.5497692227363586,0.3452354073524475,0.6662389636039734,0.386300653219223,0.23062430322170258,0.22068053483963013
carotenoid,0.2417978197336197,0.298306405544281,0.31790903210639954,0.2478920817375183,0.23545308411121368,0.45362618565559387,0.6557848453521729,0.19019073247909546
pigment,0.24283429980278015,0.2555147111415863,0.24822068214416504,0.2179277092218399,0.181763157248497,0.32217249274253845,0.600128710269928,0.17858020961284637
peridinin,0.22104650735855103,0.3188054859638214,0.259196013212204,0.24294018745422363,0.3417854309082031,0.7857310175895691,0.35932162404060364,0.16034066677093506
in,0.30808621644973755,0.5394441485404968,0.42992329597473145,0.39141854643821716,1.0,0.3535833954811096,0.21141497790813446,0.20430970191955566
their,0.35142919421195984,0.2101074606180191,0.374733567237854,0.16267240047454834,0.34976133704185486,0.2272152602672577,0.2906811833381653,0.1898253709077835
chloroplasts,0.2524593770503998,0.22550933063030243,0.31496280431747437,0.23219403624534607,0.21141497790813446,0.3736703097820282,0.9999999403953552,0.13049766421318054
",",0.3087472915649414,0.4691906273365021,0.4220978021621704,0.27385151386260986,0.5201468467712402,0.3603474497795105,0.20794041454792023,0.31091248989105225
along,0.22421957552433014,0.23571021854877472,0.2545910179615021,0.19864152371883392,0.3603311777114868,0.16288290917873383,0.16957996785640717,0.17134909331798553
with,0.2464839518070221,0.3250955045223236,0.367427259683609,0.2364431470632553,0.4080928862094879,0.24669894576072693,0.20506612956523895,0.2433311939239502
chlorophyll,0.23408083617687225,0.2015603631734848,0.2796415388584137,0.22111766040325165,0.16032609343528748,0.3791946470737457,0.8413407206535339,0.1099696233868599
a,0.3320399522781372,0.658733606338501,0.47549712657928467,0.2869448959827423,0.539380669593811,0.4232492446899414,0.24622295796871185,0.23916715383529663
and,0.31309178471565247,0.3859752118587494,0.4542345404624939,0.27978911995887756,0.4954058527946472,0.3207939863204956,0.21511349081993103,0.20544172823429108
chlorophyll,0.23408083617687225,0.2015603631734848,0.2796415388584137,0.22111766040325165,0.16032609343528748,0.3791946470737457,0.8413407206535339,0.1099696233868599
c2,0.005119635723531246,0.0402664877474308,0.02781747281551361,0.07717049866914749,-0.07222045958042145,-0.05034951865673065,-0.07146943360567093,0.06887445598840714
.,0.3567904531955719,0.4569662809371948,0.49507418274879456,0.3618174195289612,0.5591574311256409,0.3568654954433441,0.23868323862552643,0.4130953550338745
