,what,is,the,newer,",",more,widely,accepted,theory,behind,the,spread,of,the,plague,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.32052722573280334,0.4316047728061676,0.5430014133453369,0.304792195558548,0.3518389165401459,0.2884212136268616,0.2639458477497101,0.6274310946464539,0.27065348625183105,0.45148900151252747,0.6274310946464539,0.2352575808763504,0.3155723512172699
report,0.2868559956550598,0.16818487644195557,0.2556745111942291,0.10205834358930588,0.250803142786026,0.20124341547489166,0.1924469918012619,0.217249795794487,0.23299574851989746,0.1612447202205658,0.2556745111942291,0.13081203401088715,0.22992923855781555,0.2556745111942291,0.258323609828949,0.3138936758041382
became,0.1434093862771988,0.34253424406051636,0.36325156688690186,0.20859675109386444,0.2798398435115814,0.22458474338054657,0.23433861136436462,0.288586288690567,0.13649289309978485,0.23116286098957062,0.36325156688690186,0.19677191972732544,0.3638904094696045,0.36325156688690186,0.16740207374095917,0.11374033987522125
the,0.42745697498321533,0.5823672413825989,1.0,0.28440263867378235,0.4933079481124878,0.39758381247520447,0.29394426941871643,0.2999902665615082,0.2277156263589859,0.38928431272506714,1.0,0.28994160890579224,0.733189046382904,1.0,0.2537761330604553,0.22068053483963013
first,0.28086137771606445,0.30889374017715454,0.49448907375335693,0.22812195122241974,0.34503069519996643,0.2665303945541382,0.3282143771648407,0.25492361187934875,0.19488763809204102,0.1930677592754364,0.49448907375335693,0.12194301933050156,0.3536086082458496,0.49448907375335693,0.21400928497314453,0.18701928853988647
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3164091408252716,0.6633074283599854,0.39880692958831787,0.2914178967475891,0.24459291994571686,0.1765792816877365,0.3094099164009094,0.5171257257461548,0.2815358638763428,0.5116966962814331,0.5171257257461548,0.2229994833469391,0.20544172823429108
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.29411056637763977,0.3636029064655304,0.5395737886428833,0.49901100993156433,0.20335575938224792,0.232156440615654,0.2710765302181244,0.47635307908058167,0.26356273889541626,0.4178851246833801,0.47635307908058167,0.20123998820781708,0.2107497900724411
widely,0.22598060965538025,0.3153131604194641,0.29394426941871643,0.20287519693374634,0.2983349859714508,0.2879329025745392,1.0000001192092896,0.3726586103439331,0.2695964276790619,0.12299001216888428,0.29394426941871643,0.3647288382053375,0.22028475999832153,0.29394426941871643,0.14234453439712524,0.10354958474636078
circulated,0.14282314479351044,0.15740470588207245,0.30538755655288696,0.11051259934902191,0.20803967118263245,0.24417994916439056,0.318584680557251,0.26041990518569946,0.13731926679611206,0.1790180653333664,0.30538755655288696,0.3293587267398834,0.24484103918075562,0.30538755655288696,0.23396117985248566,0.0759977251291275
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2585242986679077,0.4946078956127167,0.30478984117507935,0.22028475999832153,0.2863047122955322,0.23506702482700348,0.2801654636859894,0.733189046382904,0.2895529866218567,1.0,0.733189046382904,0.27455615997314453,0.1826142966747284
