,what,was,the,name,of,the,florida,huguenot,colony,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.2330404818058014,0.26198551058769226,0.25087448954582214,0.20430970191955566
1564,0.13681700825691223,0.09030459821224213,0.08015293627977371,0.024077139794826508,0.02283889427781105,0.08015293627977371,0.0023052089381963015,0.11705277115106583,0.03181712329387665,0.11914143711328506
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.22540530562400818,0.22502337396144867,0.20176295936107635,0.23916715383529663
group,0.2114069163799286,0.1789962202310562,0.30795547366142273,0.26848146319389343,0.25542253255844116,0.30795547366142273,0.1491001695394516,0.1790638267993927,0.18013304471969604,0.13827809691429138
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2330869883298874,0.29061198234558105,0.2552715241909027,0.1826142966747284
norman,0.12319435924291611,0.21643765270709991,0.23459704220294952,0.1913251429796219,0.15827171504497528,0.23459704220294952,0.1356680989265442,0.3810122311115265,0.17710481584072113,0.12243545055389404
huguenots,0.22128188610076904,0.20650696754455566,0.30745792388916016,0.10512750595808029,0.27577435970306396,0.30745792388916016,0.17206768691539764,0.9459913372993469,0.35270920395851135,0.16010338068008423
under,0.20154598355293274,0.2672741413116455,0.3348022699356079,0.28553691506385803,0.32766106724739075,0.3348022699356079,0.168766587972641,0.20479018986225128,0.114224873483181,0.18233340978622437
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24091358482837677,0.29557526111602783,0.2740810811519623,0.22068053483963013
leadership,0.2053566873073578,0.31339120864868164,0.2857116758823395,0.13927537202835083,0.26711535453796387,0.2857116758823395,0.1659504920244217,0.27389588952064514,0.1808634251356125,0.08979988098144531
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2330869883298874,0.29061198234558105,0.2552715241909027,0.1826142966747284
jean,0.10624528676271439,0.21245718002319336,0.2186683863401413,0.16118942201137543,0.14357218146324158,0.2186683863401413,0.13142365217208862,0.41842612624168396,0.08082679659128189,0.1531364470720291
ribault,0.19485299289226532,0.3094852864742279,0.2843990921974182,0.17161718010902405,0.21211431920528412,0.2843990921974182,0.2524162828922272,0.4165194034576416,0.20382829010486603,0.18847298622131348
