,what,was,one,location,the,noise,readings,in,newcastle,were,taken,at,?
the,0.42745697498321533,0.48711544275283813,0.5514441132545471,0.351087361574173,1.0,0.2197163999080658,0.2426811158657074,0.6662389636039734,0.2253497689962387,0.3906462490558624,0.3309854567050934,0.457212895154953,0.22068053483963013
report,0.2868559956550598,0.19926786422729492,0.1425425410270691,0.19977612793445587,0.2556745111942291,0.1739462912082672,0.2536727488040924,0.204250767827034,0.1847516894340515,0.21946288645267487,0.1823556274175644,0.2458806037902832,0.3138936758041382
was,0.22111038863658905,1.0000001192092896,0.3752199709415436,0.1839360147714615,0.48711544275283813,0.11629702895879745,0.13142159581184387,0.45514053106307983,0.25710436701774597,0.590133786201477,0.27550867199897766,0.36707764863967896,0.18412111699581146
criticized,0.26304760575294495,0.32728198170661926,0.16191212832927704,0.08387787640094757,0.21370236575603485,0.21188004314899445,0.2746964991092682,0.20261619985103607,0.08443914353847504,0.2883179783821106,0.1883208304643631,0.17523816227912903,0.1673501580953598
",",0.3087472915649414,0.45456063747406006,0.3696635365486145,0.25077858567237854,0.4933079481124878,0.20197774469852448,0.23148761689662933,0.5201468467712402,0.251589834690094,0.36755475401878357,0.28904372453689575,0.38314947485923767,0.31091248989105225
however,0.4480680823326111,0.37327632308006287,0.44038087129592896,0.17061880230903625,0.49814513325691223,0.1977500021457672,0.2761198580265045,0.3982149362564087,0.21452711522579193,0.4428504705429077,0.33451536297798157,0.29641106724739075,0.2152075469493866
",",0.3087472915649414,0.45456063747406006,0.3696635365486145,0.25077858567237854,0.4933079481124878,0.20197774469852448,0.23148761689662933,0.5201468467712402,0.251589834690094,0.36755475401878357,0.28904372453689575,0.38314947485923767,0.31091248989105225
for,0.3017193675041199,0.3863949179649353,0.384836345911026,0.23991359770298004,0.4739971458911896,0.1355682611465454,0.26502448320388794,0.4322226941585541,0.2425866425037384,0.33592689037323,0.2691914737224579,0.34237727522850037,0.264628142118454
attaching,0.23250243067741394,0.09271841496229172,0.30446314811706543,0.0940413624048233,0.33080610632896423,0.2357759177684784,0.272169828414917,0.2050696164369583,0.12809152901172638,0.17400690913200378,0.2147846817970276,0.17011524736881256,0.1958405077457428
too,0.4120715260505676,0.21435821056365967,0.2841089069843292,0.13010519742965698,0.26985910534858704,0.22870370745658875,0.208748459815979,0.21702995896339417,0.1433185636997223,0.2741518020629883,0.33456918597221375,0.24718444049358368,0.33757779002189636
much,0.45316147804260254,0.2580166161060333,0.3110751807689667,0.1507532000541687,0.35023224353790283,0.2680397629737854,0.3058246970176697,0.2725222110748291,0.20805072784423828,0.25476184487342834,0.2853644788265228,0.23158283531665802,0.23442231118679047
weight,0.20223349332809448,0.11494074761867523,0.22859367728233337,0.09776543080806732,0.19469641149044037,0.2313048094511032,0.26288196444511414,0.14912216365337372,0.11547373980283737,0.1475503295660019,0.14999297261238098,0.15086157619953156,0.18111222982406616
to,0.455847829580307,0.3636345863342285,0.4025384783744812,0.2590580880641937,0.535392165184021,0.19895780086517334,0.27120736241340637,0.45010748505592346,0.23559264838695526,0.31913647055625916,0.2772596478462219,0.36524343490600586,0.29463258385658264
readings,0.2730479836463928,0.13142159581184387,0.19463105499744415,0.11873984336853027,0.2426811158657074,0.2994461953639984,0.9999998807907104,0.20909526944160461,0.14895392954349518,0.19757382571697235,0.210621640086174,0.21405012905597687,0.21498538553714752
at,0.2838611304759979,0.36707764863967896,0.32580816745758057,0.25434181094169617,0.457212895154953,0.14906352758407593,0.21405012905597687,0.4374977946281433,0.18403437733650208,0.2947486639022827,0.2586075961589813,1.0,0.21978627145290375
arbitrarily,0.3721342384815216,0.24013276398181915,0.2971559166908264,0.2184968739748001,0.3050979971885681,0.0945395976305008,0.1734841763973236,0.24458962678909302,0.14840544760227203,0.19272425770759583,0.20852336287498474,0.2562936842441559,0.28097665309906006
selected,0.17657704651355743,0.18810634315013885,0.26928985118865967,0.2192542552947998,0.31003430485725403,0.0894155278801918,0.19148482382297516,0.19912077486515045,0.16588351130485535,0.18268117308616638,0.16529427468776703,0.20553715527057648,0.19565007090568542
