,who,did,luther,strike,out,against,in,later,years,?
in,0.2792111933231354,0.2593238651752472,0.20523880422115326,0.2068100869655609,0.3576207756996155,0.27273955941200256,1.0,0.40857815742492676,0.33554986119270325,0.20430970191955566
his,0.44966956973075867,0.3546801507472992,0.27093374729156494,0.190408393740654,0.3022425174713135,0.26457494497299194,0.3598145842552185,0.4538118839263916,0.3523389995098114,0.18075084686279297
later,0.35185644030570984,0.38386887311935425,0.23796728253364563,0.19175782799720764,0.3247290253639221,0.2321832925081253,0.40857815742492676,1.0,0.3774924874305725,0.1417175978422165
years,0.29867154359817505,0.2695724070072174,0.1472962647676468,0.13876138627529144,0.23741310834884644,0.19174301624298096,0.33554986119270325,0.3774924874305725,1.0,0.1914375126361847
",",0.3365725874900818,0.3015086054801941,0.23255878686904907,0.20861901342868805,0.3161109685897827,0.31168749928474426,0.5201468467712402,0.35016918182373047,0.2589467465877533,0.31091248989105225
luther,0.21013082563877106,0.23667675256729126,1.0,0.11945992708206177,0.1738509088754654,0.18804924190044403,0.20523880422115326,0.23796728253364563,0.1472962647676468,0.1732746809720993
grew,0.1660533845424652,0.28116604685783386,0.1479468047618866,0.06926728039979935,0.14985591173171997,0.09941095113754272,0.2749199867248535,0.30146124958992004,0.2719309628009796,0.05505307391285896
more,0.31567877531051636,0.2803135812282562,0.11574393510818481,0.18946057558059692,0.3380376398563385,0.18851351737976074,0.32563260197639465,0.2855042517185211,0.29188093543052673,0.27894994616508484
hostile,0.27833256125450134,0.17339487373828888,0.09001004695892334,0.2515205144882202,0.2515625059604645,0.32980161905288696,0.20523297786712646,0.17744417488574982,0.13845613598823547,0.13611407577991486
toward,0.16129182279109955,0.1586475372314453,0.12438017129898071,0.2691427171230316,0.31168702244758606,0.3345416486263275,0.2282264530658722,0.15699170529842377,0.1327873021364212,0.09989774227142334
the,0.3733934462070465,0.34736719727516174,0.1759674996137619,0.2324564903974533,0.39404502511024475,0.3090755045413971,0.6662389636039734,0.4060266613960266,0.2912273406982422,0.22068053483963013
jews,0.3023342192173004,0.23080717027187347,0.24326977133750916,0.13197915256023407,0.23913612961769104,0.28023698925971985,0.2334136962890625,0.14935770630836487,0.2144758254289627,0.16730794310569763
",",0.3365725874900818,0.3015086054801941,0.23255878686904907,0.20861901342868805,0.3161109685897827,0.31168749928474426,0.5201468467712402,0.35016918182373047,0.2589467465877533,0.31091248989105225
writing,0.2598465085029602,0.2745545208454132,0.1731184720993042,0.12273374199867249,0.2176303118467331,0.173704132437706,0.26213181018829346,0.22595426440238953,0.21930178999900818,0.21497225761413574
against,0.2942115366458893,0.22514554858207703,0.18804924190044403,0.2697715759277344,0.2855616509914398,1.0,0.27273955941200256,0.2321832925081253,0.19174301624298096,0.18095137178897858
them,0.5243523120880127,0.44189682602882385,0.1940135955810547,0.174393430352211,0.4511464536190033,0.31722354888916016,0.29119014739990234,0.3350590467453003,0.2643817663192749,0.35435691475868225
with,0.3282766342163086,0.25472134351730347,0.14705438911914825,0.17841042578220367,0.3367781639099121,0.317049115896225,0.4080928862094879,0.2797884941101074,0.21224987506866455,0.2433311939239502
the,0.3733934462070465,0.34736719727516174,0.1759674996137619,0.2324564903974533,0.39404502511024475,0.3090755045413971,0.6662389636039734,0.4060266613960266,0.2912273406982422,0.22068053483963013
kind,0.2356749325990677,0.2636054456233978,0.0905032530426979,0.1738692671060562,0.2557421624660492,0.17143523693084717,0.2349269688129425,0.14668625593185425,0.11223725974559784,0.2628666162490845
of,0.2827862501144409,0.2513895630836487,0.1719115972518921,0.17629693448543549,0.34176841378211975,0.2669808566570282,0.5696388483047485,0.3458743393421173,0.2904134690761566,0.1826142966747284
venom,0.2141612321138382,0.16532377898693085,0.19603849947452545,0.12379331141710281,0.2421427071094513,0.18576829135417938,0.1273389458656311,0.12448123842477798,0.05896966904401779,0.22266680002212524
he,0.5500732064247131,0.3292143940925598,0.2454872578382492,0.19275183975696564,0.29240235686302185,0.29170042276382446,0.41690486669540405,0.4860261380672455,0.3526231348514557,0.2089974731206894
had,0.36173108220100403,0.540525496006012,0.16133075952529907,0.16304560005664825,0.317210853099823,0.2359013706445694,0.385026752948761,0.47119471430778503,0.36797329783439636,0.20728366076946259
already,0.41363927721977234,0.3281528055667877,0.19139908254146576,0.13266612589359283,0.4017815887928009,0.23216214776039124,0.288102924823761,0.4159886837005615,0.30330413579940796,0.3477933406829834
