,what,type,of,outlook,do,some,of,the,muslims,in,london,have,?
greater,0.1946859508752823,0.11788910627365112,0.34470728039741516,0.1595812737941742,0.15183649957180023,0.2570232152938843,0.34470728039741516,0.2814446687698364,0.1650339961051941,0.26627716422080994,0.3032766580581665,0.23225228488445282,0.09723397344350815
london,0.15188734233379364,0.1569826304912567,0.2159106284379959,0.17107367515563965,0.10302329808473587,0.21964198350906372,0.2159106284379959,0.27034124732017517,0.15658801794052124,0.2785358726978302,1.0,0.16179203987121582,0.11278104782104492
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.15953610837459564,0.22084827721118927,0.3587830364704132,0.3909035325050354,0.4177538752555847,0.16126354038715363,0.4173259735107422,0.13761413097381592,0.6353569626808167,0.15994466841220856
over,0.28007611632347107,0.13094623386859894,0.36136594414711,0.28732845187187195,0.22620153427124023,0.41344934701919556,0.36136594414711,0.39856547117233276,0.23828406631946564,0.3605569899082184,0.19937863945960999,0.41283175349235535,0.25742942094802856
"900,000",0.12685100734233856,0.0579996332526207,0.2005365639925003,0.09424686431884766,0.15798714756965637,0.09087125211954117,0.2005365639925003,0.22207863628864288,0.033076535910367966,0.13811467587947845,0.1336323767900467,0.10121414810419083,0.14062339067459106
muslims,0.26523277163505554,0.036924008280038834,0.22355489432811737,0.17993755638599396,0.2774776518344879,0.23580306768417358,0.22355489432811737,0.2657718360424042,1.0,0.18662098050117493,0.15658801794052124,0.23041144013404846,0.18742211163043976
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19365285336971283,0.3283645510673523,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.19662503898143768,0.5201468467712402,0.2571207880973816,0.3541618287563324,0.31091248989105225
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.09118227660655975,0.24216170608997345,0.2279975414276123,0.35032153129577637,0.33289089798927307,0.10881616175174713,0.3087427020072937,0.14926765859127045,0.23072676360607147,0.40561532974243164
most,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.18290074169635773,0.31522849202156067,0.6355911493301392,0.4178851246833801,0.47635307908058167,0.2406945675611496,0.41416558623313904,0.1537603884935379,0.44364631175994873,0.2107497900724411
of,0.33290785551071167,0.18112817406654358,1.0,0.1781950145959854,0.26150479912757874,0.4300730526447296,1.0,0.733189046382904,0.22355489432811737,0.5696388483047485,0.2159106284379959,0.3802283704280853,0.1826142966747284
south,0.15388517081737518,0.11440043896436691,0.33382371068000793,0.21288800239562988,0.17977531254291534,0.2105838507413864,0.33382371068000793,0.3129390776157379,0.17392785847187042,0.33642083406448364,0.2185335010290146,0.15469403564929962,0.12336621433496475
asian,0.06828422844409943,0.1189558282494545,0.24605733156204224,0.18492630124092102,0.15768836438655853,0.22231526672840118,0.24605733156204224,0.2710895538330078,0.2505500018596649,0.18836280703544617,0.22091048955917358,0.24259887635707855,0.10526347905397415
origins,0.2137981504201889,0.1879158318042755,0.2670811712741852,0.21666374802589417,0.15348108112812042,0.2628834545612335,0.2670811712741852,0.2890577018260956,0.22125592827796936,0.21701936423778534,0.15684038400650024,0.20823834836483002,0.1275135576725006
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2859605550765991,0.276123583316803,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.2307288646697998,0.4954058527946472,0.2868692874908447,0.4711785912513733,0.20544172823429108
concentrated,0.20476274192333221,0.1669771373271942,0.28396520018577576,0.13659146428108215,0.2401634305715561,0.2945166528224945,0.28396520018577576,0.2688957750797272,0.16419896483421326,0.29073235392570496,0.16174140572547913,0.22913889586925507,0.11501483619213104
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.17640452086925507,0.23402775824069977,0.4010399878025055,0.5696388483047485,0.6662389636039734,0.18662098050117493,1.0,0.2785358726978302,0.36843645572662354,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.1925373077392578,0.30239659547805786,0.4566698372364044,0.733189046382904,1.0,0.2657718360424042,0.6662389636039734,0.27034124732017517,0.40389683842658997,0.22068053483963013
east,0.19840149581432343,0.06090393289923668,0.314786434173584,0.20851126313209534,0.11825688928365707,0.1941682994365692,0.314786434173584,0.3383176326751709,0.23357975482940674,0.32659441232681274,0.20802918076515198,0.13639354705810547,0.10070597380399704
london,0.15188734233379364,0.1569826304912567,0.2159106284379959,0.17107367515563965,0.10302329808473587,0.21964198350906372,0.2159106284379959,0.27034124732017517,0.15658801794052124,0.2785358726978302,1.0,0.16179203987121582,0.11278104782104492
boroughs,0.15505807101726532,0.12138723582029343,0.25055480003356934,0.19102966785430908,0.15627311170101166,0.2454562932252884,0.25055480003356934,0.28149157762527466,0.15684281289577484,0.25949952006340027,0.3659219443798065,0.22366958856582642,0.10785257071256638
of,0.33290785551071167,0.18112817406654358,1.0,0.1781950145959854,0.26150479912757874,0.4300730526447296,1.0,0.733189046382904,0.22355489432811737,0.5696388483047485,0.2159106284379959,0.3802283704280853,0.1826142966747284
newham,0.1832757443189621,0.1777232438325882,0.2266167849302292,0.24175311625003815,0.12834374606609344,0.20070508122444153,0.2266167849302292,0.2477877289056778,0.13482780754566193,0.29669779539108276,0.6033027768135071,0.1805436760187149,0.18983133137226105
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19365285336971283,0.3283645510673523,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.19662503898143768,0.5201468467712402,0.2571207880973816,0.3541618287563324,0.31091248989105225
tower,0.12919922173023224,0.015236479230225086,0.2271278351545334,0.17467278242111206,0.022800929844379425,0.11260046809911728,0.2271278351545334,0.2398453801870346,0.09808994829654694,0.22630389034748077,0.24852536618709564,0.10852555930614471,0.10395228117704391
