,where,does,kenya,have,deposits,of,oil,?
kenya,0.20705291628837585,0.15162554383277893,1.0,0.17783501744270325,0.2502424120903015,0.22226637601852417,0.18213626742362976,0.17197901010513306
has,0.32190436124801636,0.42885294556617737,0.18851779401302338,0.6353569626808167,0.18628109991550446,0.3909035325050354,0.1250557154417038,0.15994466841220856
proven,0.18321382999420166,0.2875533998012543,0.14421159029006958,0.3934849500656128,0.24323365092277527,0.20935744047164917,0.16010351479053497,0.23916150629520416
deposits,0.25796324014663696,0.15626774728298187,0.2502424120903015,0.26927196979522705,1.0,0.3096405267715454,0.3204996585845947,0.1225230023264885
of,0.38066378235816956,0.3119818866252899,0.22226637601852417,0.3802283704280853,0.3096405267715454,1.0,0.22900764644145966,0.1826142966747284
oil,0.17021146416664124,0.1577383130788803,0.18213626742362976,0.14215372502803802,0.3204996585845947,0.22900764644145966,1.0,0.14867261052131653
in,0.5344807505607605,0.214483380317688,0.23621977865695953,0.36843645572662354,0.23073440790176392,0.5696388483047485,0.21800900995731354,0.20430970191955566
turkana,0.2316453456878662,0.15070843696594238,0.4924953877925873,0.19340287148952484,0.338396817445755,0.29467886686325073,0.15941444039344788,0.12596961855888367
and,0.43859338760375977,0.3461615741252899,0.20742860436439514,0.4711785912513733,0.2642618715763092,0.5116966962814331,0.19239190220832825,0.20544172823429108
the,0.5003893971443176,0.35928019881248474,0.21657514572143555,0.40389683842658997,0.27324897050857544,0.733189046382904,0.21849922835826874,0.22068053483963013
commercial,0.14427143335342407,0.1952868103981018,0.19976934790611267,0.1735086292028427,0.16688482463359833,0.21107374131679535,0.21769417822360992,0.04216946288943291
viability,0.22093114256858826,0.3280133903026581,0.10128609836101532,0.3673253059387207,0.24572588503360748,0.24117423593997955,0.2208554744720459,0.26568925380706787
was,0.20731619000434875,0.19302551448345184,0.17758844792842865,0.2863433063030243,0.15093159675598145,0.4069072902202606,0.15102124214172363,0.18412111699581146
just,0.4018353819847107,0.37653830647468567,0.16586990654468536,0.45864632725715637,0.1765691637992859,0.35124439001083374,0.19673185050487518,0.4144178032875061
discovered,0.2015347182750702,0.13996262848377228,0.17920580506324768,0.2744525372982025,0.35970810055732727,0.22074753046035767,0.15983004868030548,0.08452875912189484
.,0.41390106081962585,0.3022993505001068,0.24234211444854736,0.41614407300949097,0.22456346452236176,0.5352458953857422,0.22117017209529877,0.4130953550338745
