,what,industry,did,the,nobleman,establish,with,this,settlement,?
the,0.42745697498321533,0.26942890882492065,0.34736719727516174,1.0,0.20079657435417175,0.31343501806259155,0.4223487675189972,0.6274310946464539,0.2599570155143738,0.22068053483963013
condés,0.20113110542297363,0.13104215264320374,0.20991402864456177,0.3173165023326874,0.3964601457118988,0.19109231233596802,0.24677100777626038,0.23565413057804108,0.20922693610191345,0.2797528803348541
established,0.14869536459445953,0.2136416733264923,0.18989217281341553,0.33092597126960754,0.1722916066646576,0.7768300175666809,0.18355850875377655,0.2030201405286789,0.2832983136177063,0.15917523205280304
a,0.3320399522781372,0.27788880467414856,0.2552328109741211,0.5829201340675354,0.22139589488506317,0.22806213796138763,0.3783375024795532,0.5422310829162598,0.24842394888401031,0.23916715383529663
thriving,0.3155173063278198,0.3574215769767761,0.2351004183292389,0.3654108941555023,0.15255145728588104,0.30081671476364136,0.28847944736480713,0.3358527421951294,0.27697059512138367,0.16418316960334778
glass-making,0.26222026348114014,0.38511309027671814,0.25948116183280945,0.3032660186290741,0.1059381365776062,0.12465478479862213,0.34325167536735535,0.369200199842453,0.13718819618225098,0.2003876119852066
works,0.2418437898159027,0.1447238326072693,0.17949827015399933,0.26337864995002747,0.14740870893001556,0.09106162935495377,0.23025037348270416,0.2975098788738251,0.08450612425804138,0.19597402215003967
",",0.3087472915649414,0.24502649903297424,0.3015086054801941,0.4933079481124878,0.24676692485809326,0.19669954478740692,0.4120737314224243,0.4316047728061676,0.25103551149368286,0.31091248989105225
which,0.5261979103088379,0.28652361035346985,0.2750149369239807,0.6521818041801453,0.08957813680171967,0.27973246574401855,0.46403205394744873,0.6719430088996887,0.21023687720298767,0.25814583897590637
provided,0.2206064909696579,0.19266377389431,0.2778315246105194,0.304488867521286,0.14222948253154755,0.26745185256004333,0.26677820086479187,0.3166451156139374,0.16549314558506012,0.16893617808818817
wealth,0.2415573000907898,0.35065343976020813,0.18967029452323914,0.24999672174453735,0.30140748620033264,0.24167707562446594,0.177688866853714,0.24383994936943054,0.23619385063648224,0.1624586433172226
to,0.455847829580307,0.24876736104488373,0.4452643394470215,0.535392165184021,0.14679604768753052,0.32019129395484924,0.4239959120750427,0.5759071707725525,0.2762512266635895,0.29463258385658264
the,0.42745697498321533,0.26942890882492065,0.34736719727516174,1.0,0.20079657435417175,0.31343501806259155,0.4223487675189972,0.6274310946464539,0.2599570155143738,0.22068053483963013
principality,0.13763047754764557,0.18086333572864532,0.11628171056509018,0.3162875175476074,0.3376730978488922,0.2606582045555115,0.18247418105602264,0.15491631627082825,0.26423537731170654,0.09416437894105911
for,0.3017193675041199,0.29360833764076233,0.318512886762619,0.4739971458911896,0.12361782044172287,0.1806582361459732,0.39140474796295166,0.5082864165306091,0.199878990650177,0.264628142118454
many,0.36131182312965393,0.3370702266693115,0.375588983297348,0.4335206151008606,0.123745858669281,0.2051573246717453,0.35744401812553406,0.43532639741897583,0.1502092331647873,0.2124512493610382
years,0.1981470286846161,0.18356014788150787,0.2695724070072174,0.2912273406982422,0.18354423344135284,0.1789102405309677,0.21224987506866455,0.26767030358314514,0.18936432898044586,0.1914375126361847
.,0.3567904531955719,0.24857841432094574,0.35288307070732117,0.5934505462646484,0.18461598455905914,0.2126183956861496,0.4446153938770294,0.500583827495575,0.233600914478302,0.4130953550338745
