,how,big,were,his,artificial,bolts,?
he,0.2594625651836395,0.20844551920890808,0.31267037987709045,0.7171558737754822,0.11602943390607834,0.16387440264225006,0.2089974731206894
produced,0.17719948291778564,0.1201505959033966,0.23232540488243103,0.14403720200061798,0.29753392934799194,0.14788351953029633,0.1623450517654419
artificial,0.1950836479663849,0.19136719405651093,0.1484343260526657,0.13523121178150177,1.0,0.18200436234474182,0.12468411028385162
lightning,0.23594500124454498,0.15318775177001953,0.18315251171588898,0.2255021035671234,0.23202089965343475,0.4709634780883789,0.1768351048231125
",",0.22659391164779663,0.30276864767074585,0.36755475401878357,0.3378419280052185,0.2144521176815033,0.2191532999277115,0.31091248989105225
with,0.3525622487068176,0.23504121601581573,0.3179011940956116,0.33836179971694946,0.19622893631458282,0.24355410039424896,0.2433311939239502
discharges,0.14414040744304657,0.05050147324800491,0.15900351107120514,0.2547443211078644,0.17944695055484772,0.2781321406364441,0.12415444105863571
consisting,0.12645268440246582,0.18395909667015076,0.3004372715950012,0.20148280262947083,0.181083083152771,0.15369366109371185,0.006223649252206087
of,0.2480744868516922,0.2513701021671295,0.34038281440734863,0.38364991545677185,0.2457905411720276,0.14534273743629456,0.1826142966747284
millions,0.3151021897792816,0.22212445735931396,0.3265846371650696,0.1695835441350937,0.21203967928886414,0.18752925097942352,0.21816711127758026
of,0.2480744868516922,0.2513701021671295,0.34038281440734863,0.38364991545677185,0.2457905411720276,0.14534273743629456,0.1826142966747284
volts,0.29172682762145996,0.17042480409145355,0.19260132312774658,0.15363112092018127,0.1986180990934372,0.6264692544937134,0.14890152215957642
and,0.33647966384887695,0.30164432525634766,0.42175528407096863,0.4234102666378021,0.21388395130634308,0.2842128574848175,0.20544172823429108
up,0.2819872200489044,0.21281494200229645,0.29601457715034485,0.2538001239299774,0.1056409701704979,0.21428975462913513,0.1819818764925003
to,0.44169697165489197,0.25193607807159424,0.31913647055625916,0.3715193271636963,0.2668118476867676,0.22900651395320892,0.29463258385658264
135,-0.013410787098109722,0.024684317409992218,0.12885476648807526,-0.00818656850606203,0.0644834041595459,0.11604910343885422,-0.015782462432980537
feet,0.2148146629333496,0.20314428210258484,0.18616743385791779,0.15611571073532104,0.11711364984512329,0.33164411783218384,0.14855161309242249
long,0.2615325152873993,0.3017229437828064,0.18442559242248535,0.18129055202007294,0.19925913214683533,0.2484147548675537,0.19699987769126892
.,0.3287222981452942,0.27374890446662903,0.3378238379955292,0.3119256794452667,0.1841799020767212,0.20957526564598083,0.4130953550338745
