,how,can,any,knot,be,distinctively,indicated,?
any,0.38858675956726074,0.5010802745819092,1.0,0.1915503442287445,0.5107080936431885,0.3373608887195587,0.38531652092933655,0.4113408327102661
knot,0.21994490921497345,0.2555607557296753,0.1915503442287445,1.0,0.22730737924575806,0.2531517744064331,0.16229793429374695,0.15629135072231293
can,0.49246567487716675,1.0,0.5010802745819092,0.2555607557296753,0.5791122913360596,0.3345237076282501,0.26579490303993225,0.3226337134838104
be,0.4158933162689209,0.5791122913360596,0.5107080936431885,0.22730737924575806,1.0,0.28512847423553467,0.346482515335083,0.3324260413646698
uniquely,0.30254486203193665,0.3873063623905182,0.37605831027030945,0.22357578575611115,0.38945940136909485,0.4794193208217621,0.37558865547180176,0.18050256371498108
expressed,0.23097211122512817,0.2116832584142685,0.3105599582195282,0.15632414817810059,0.25860801339149475,0.30845826864242554,0.3113920986652374,0.17175263166427612
as,0.33782753348350525,0.3245031237602234,0.35746830701828003,0.14248475432395935,0.5230465531349182,0.32898181676864624,0.2815663814544678,0.27043893933296204
a,0.29312583804130554,0.3915780484676361,0.45031747221946716,0.28559839725494385,0.39883795380592346,0.3322543203830719,0.3297611474990845,0.23916715383529663
connected,0.18171964585781097,0.21350237727165222,0.23506534099578857,0.177884042263031,0.2530280351638794,0.21788741648197174,0.25280454754829407,0.11086785048246384
sum,0.20732133090496063,0.24193312227725983,0.29761600494384766,0.22624611854553223,0.2493368238210678,0.18607257306575775,0.1956447809934616,0.1473705917596817
of,0.2480744868516922,0.2603091299533844,0.3769088089466095,0.20162220299243927,0.33904364705085754,0.27920839190483093,0.26488006114959717,0.1826142966747284
prime,0.0754077360033989,0.1305878609418869,0.11211950331926346,0.12622365355491638,0.14576895534992218,0.1439744383096695,0.07747606933116913,0.11276303976774216
knots,0.19591064751148224,0.21825972199440002,0.1968950778245926,0.725105881690979,0.20032180845737457,0.16990172863006592,0.1749977171421051,0.1457868218421936
.,0.3287222981452942,0.35783761739730835,0.39295488595962524,0.16064757108688354,0.4383580684661865,0.21646222472190857,0.27113810181617737,0.4130953550338745
