,how,many,cameras,did,eyevision,360,utilize,?
cbs,0.2092750519514084,0.1890554130077362,0.22888387739658356,0.15259867906570435,0.3070298135280609,0.2383151352405548,0.17339716851711273,0.14594407379627228
introduced,0.13687412440776825,0.24287202954292297,0.17623065412044525,0.17650672793388367,0.26413843035697937,0.049528613686561584,0.1852990835905075,0.16386865079402924
new,0.20832711458206177,0.2992318272590637,0.16705705225467682,0.227974995970726,0.25773105025291443,0.1701173484325409,0.2091403305530548,0.14782847464084625
features,0.18748131394386292,0.33295509219169617,0.34826380014419556,0.18914446234703064,0.3496845066547394,0.17379720509052277,0.21943959593772888,0.23497378826141357
during,0.26830652356147766,0.3661181330680847,0.21300464868545532,0.30679523944854736,0.24272076785564423,0.06494943052530289,0.14030328392982483,0.1325719803571701
the,0.33890387415885925,0.4335206151008606,0.2402329444885254,0.34736719727516174,0.2950143814086914,0.22318391501903534,0.1919512152671814,0.22068053483963013
telecast,0.1678992211818695,0.20507486164569855,0.36042580008506775,0.18312248587608337,0.24143357574939728,0.2156037539243698,0.27977263927459717,0.1429772824048996
",",0.22659391164779663,0.40610817074775696,0.22994861006736755,0.3015086054801941,0.34547314047813416,0.1825614869594574,0.1809660941362381,0.31091248989105225
including,0.20270724594593048,0.6119236350059509,0.24088191986083984,0.26678287982940674,0.22981905937194824,0.18546564877033234,0.20359885692596436,0.1633303165435791
pylon,0.16375921666622162,0.22336788475513458,0.2908380925655365,0.14356334507465363,0.30994752049446106,0.13454356789588928,0.2972552478313446,0.1543668806552887
cameras,0.23248180747032166,0.29051297903060913,1.0000001192092896,0.26358070969581604,0.39013251662254333,0.049492236226797104,0.35185277462005615,0.1492827832698822
and,0.33647966384887695,0.5296266674995422,0.24447834491729736,0.34479495882987976,0.3252676725387573,0.1540866196155548,0.24746540188789368,0.20544172823429108
microphones,0.3013441860675812,0.27209722995758057,0.572182834148407,0.19445736706256866,0.37088727951049805,0.08018007129430771,0.3637637794017792,0.15805093944072723
along,0.2501010298728943,0.280875027179718,0.14359591901302338,0.18832118809223175,0.14282241463661194,0.15900114178657532,0.21047203242778778,0.17134909331798553
with,0.3525622487068176,0.35744401812553406,0.19811248779296875,0.25472134351730347,0.23728790879249573,0.11169694364070892,0.24751026928424835,0.2433311939239502
eyevision,0.30390748381614685,0.22893793880939484,0.39013251662254333,0.2567465007305145,1.0,0.08677451312541962,0.2610810697078705,0.30570414662361145
360—an,0.2012142688035965,0.164206400513649,0.12500475347042084,0.11449457705020905,0.16456536948680878,0.031929630786180496,0.16878722608089447,0.09883584082126617
array,0.2376176118850708,0.20877838134765625,0.32854369282722473,0.08377701789140701,0.3079123795032501,0.10669529438018799,0.3261282444000244,0.18988128006458282
of,0.2480744868516922,0.37253960967063904,0.16742980480194092,0.2513895630836487,0.28018367290496826,0.1987888365983963,0.2105572372674942,0.1826142966747284
36,-0.2014898806810379,-0.12653297185897827,-0.19595745205879211,-0.26229310035705566,-0.3232574462890625,0.40412142872810364,-0.12357734143733978,-0.2611904740333557
cameras,0.23248180747032166,0.29051297903060913,1.0000001192092896,0.26358070969581604,0.39013251662254333,0.049492236226797104,0.35185277462005615,0.1492827832698822
along,0.2501010298728943,0.280875027179718,0.14359591901302338,0.18832118809223175,0.14282241463661194,0.15900114178657532,0.21047203242778778,0.17134909331798553
the,0.33890387415885925,0.4335206151008606,0.2402329444885254,0.34736719727516174,0.2950143814086914,0.22318391501903534,0.1919512152671814,0.22068053483963013
upper,0.09489704668521881,0.14438216388225555,0.12892523407936096,0.14103727042675018,0.21447080373764038,0.17753443121910095,0.15093964338302612,0.051342256367206573
deck,0.1663355678319931,0.1276504546403885,0.2718364894390106,0.1674564927816391,0.19541975855827332,0.13905265927314758,0.26997101306915283,0.12176196277141571
that,0.557814359664917,0.5391656160354614,0.3057618737220764,0.47518548369407654,0.33709338307380676,0.06037105619907379,0.3263801336288452,0.32716336846351624
can,0.49246567487716675,0.4275496006011963,0.3125510513782501,0.32383522391319275,0.3011507987976074,0.07197602838277817,0.3745722770690918,0.3226337134838104
be,0.4158933162689209,0.3961109519004822,0.24669234454631805,0.22657383978366852,0.33757224678993225,0.0550774484872818,0.3362686038017273,0.3324260413646698
used,0.34819337725639343,0.38759201765060425,0.3231108784675598,0.30443844199180603,0.24234066903591156,0.11088816076517105,0.4079183340072632,0.22430120408535004
to,0.44169697165489197,0.40243685245513916,0.28243497014045715,0.4452643394470215,0.2628280222415924,0.05747020244598389,0.33840489387512207,0.29463258385658264
provide,0.3199661672115326,0.2869836390018463,0.229058176279068,0.2528877258300781,0.2684629261493683,0.12262898683547974,0.4611057639122009,0.22704634070396423
a,0.29312583804130554,0.2872205972671509,0.19803708791732788,0.2552328109741211,0.3394078016281128,0.12020455300807953,0.23179173469543457,0.23916715383529663
360-degree,0.201051265001297,0.2254703789949417,0.20468385517597198,0.19789327681064606,0.2898111939430237,0.053646571934223175,0.18749260902404785,0.11276638507843018
