,in,what,year,was,the,first,geological,map,of,the,u.s.,produced,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.49448907375335693,0.2813860774040222,0.2702621817588806,0.733189046382904,1.0,0.06592652946710587,0.22045251727104187,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.3099139928817749,0.5022147297859192,0.49448907375335693,1.0,0.1970364898443222,0.1773800551891327,0.3536086082458496,0.49448907375335693,0.07239635288715363,0.2504335343837738,0.18701928853988647
geological,0.24111470580101013,0.2686845362186432,0.15296390652656555,0.14776946604251862,0.2813860774040222,0.1970364898443222,1.0,0.3436773717403412,0.3277883529663086,0.2813860774040222,-0.21096621453762054,0.1778002828359604,0.16050557792186737
map,0.2386031597852707,0.23936687409877777,0.11671192944049835,0.1354881227016449,0.2702621817588806,0.1773800551891327,0.3436773717403412,1.0,0.22708505392074585,0.2702621817588806,-0.020549096167087555,0.1120261549949646,0.1548176109790802
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.3536086082458496,0.3277883529663086,0.22708505392074585,1.0,0.733189046382904,0.011562774889171124,0.18961067497730255,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.49448907375335693,0.2813860774040222,0.2702621817588806,0.733189046382904,1.0,0.06592652946710587,0.22045251727104187,0.22068053483963013
u.s.,-0.003064807504415512,0.11178889125585556,0.1071796864271164,0.06837434321641922,0.06592652946710587,0.07239635288715363,-0.21096621453762054,-0.020549096167087555,0.011562774889171124,0.06592652946710587,0.9999999403953552,-0.1548854559659958,0.07886100560426712
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.14776946604251862,0.1354881227016449,0.4069072902202606,0.48711544275283813,0.06837434321641922,0.28463777899742126,0.18412111699581146
produced,0.2542861998081207,0.1393624097108841,0.16949312388896942,0.28463777899742126,0.22045251727104187,0.2504335343837738,0.1778002828359604,0.1120261549949646,0.18961067497730255,0.22045251727104187,-0.1548854559659958,1.0000001192092896,0.1623450517654419
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.24111470580101013,0.2386031597852707,0.5696388483047485,0.6662389636039734,-0.003064807504415512,0.2542861998081207,0.20430970191955566
1809,0.0505300834774971,0.06016992777585983,-0.07362627238035202,-0.0740683376789093,0.020253002643585205,-0.07923607528209686,0.0667257234454155,0.07764514535665512,0.07371757179498672,0.020253002643585205,-0.12229961901903152,-0.028967032209038734,0.0044730654917657375
by,0.370934396982193,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.4408751428127289,0.3877052962779999,0.15095338225364685,0.21742959320545197,0.3646814823150635,0.4408751428127289,0.018699808046221733,0.4647648334503174,0.17966607213020325
william,0.21605195105075836,0.24990826845169067,0.12221778929233551,0.28444796800613403,0.21537061035633087,0.26558709144592285,0.20672599971294403,0.06501513719558716,0.20272590219974518,0.21537061035633087,0.0967981293797493,0.1404700130224228,0.14462219178676605
maclure,0.2512715756893158,0.21188396215438843,0.1174817830324173,0.20715020596981049,0.2847614884376526,0.2005482316017151,0.20303095877170563,0.19890281558036804,0.25085097551345825,0.2847614884376526,-0.04015904664993286,0.19172066450119019,0.22012583911418915
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.22936223447322845,0.20840123295783997,0.5352458953857422,0.5934505462646484,0.09558769315481186,0.2634154260158539,0.4130953550338745
