,when,was,the,colony,of,new,south,wales,founded,?
after,0.5331412553787231,0.49306565523147583,0.4565047025680542,0.22339124977588654,0.3867455720901489,0.2620960772037506,0.21278640627861023,0.19684700667858124,0.25701573491096497,0.16608688235282898
the,0.5091903209686279,0.48711544275283813,1.0,0.2740810811519623,0.733189046382904,0.3845241069793701,0.3129390776157379,0.23852568864822388,0.2840350568294525,0.22068053483963013
founding,0.1720808744430542,0.36926978826522827,0.34138360619544983,0.2586214244365692,0.3665546774864197,0.20588254928588867,0.19075994193553925,0.20231452584266663,0.6531547904014587,0.1416333168745041
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2552715241909027,1.0,0.343457967042923,0.33382371068000793,0.23133093118667603,0.24571022391319275,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2740810811519623,0.733189046382904,0.3845241069793701,0.3129390776157379,0.23852568864822388,0.2840350568294525,0.22068053483963013
colony,0.23867273330688477,0.25879696011543274,0.2740810811519623,1.0000001192092896,0.2552715241909027,0.29187142848968506,0.26421207189559937,0.23250383138656616,0.2682953476905823,0.13831071555614471
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2552715241909027,1.0,0.343457967042923,0.33382371068000793,0.23133093118667603,0.24571022391319275,0.1826142966747284
new,0.257220059633255,0.2748313844203949,0.3845241069793701,0.29187142848968506,0.343457967042923,0.9999999403953552,0.31787005066871643,0.3829886019229889,0.13345995545387268,0.14782847464084625
south,0.18115942180156708,0.2792486846446991,0.3129390776157379,0.26421207189559937,0.33382371068000793,0.31787005066871643,1.0000001192092896,0.427888423204422,0.20712271332740784,0.12336621433496475
wales,0.17104144394397736,0.18637675046920776,0.23852568864822388,0.23250383138656616,0.23133093118667603,0.3829886019229889,0.427888423204422,1.0000001192092896,0.16561482846736908,0.15627945959568024
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.25087448954582214,0.5696388483047485,0.3758552670478821,0.33642083406448364,0.18714384734630585,0.24877111613750458,0.20430970191955566
1788,0.02035507746040821,0.028817273676395416,0.0961972028017044,0.09447211772203445,0.12952084839344025,-0.026753384619951248,0.1573045253753662,0.0440523736178875,0.16305646300315857,0.10552866011857986
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23671650886535645,0.4946078956127167,0.36073189973831177,0.3256652057170868,0.19783782958984375,0.24976085126399994,0.31091248989105225
australia,0.1958855390548706,0.2358046919107437,0.26828548312187195,0.23187807202339172,0.2669609785079956,0.3481972813606262,0.42718440294265747,0.5489135980606079,0.15073156356811523,0.15702682733535767
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.25879696011543274,0.4069072902202606,0.2748313844203949,0.2792486846446991,0.18637675046920776,0.36917948722839355,0.18412111699581146
divided,0.19703912734985352,0.16204190254211426,0.34601110219955444,0.16474632918834686,0.37450557947158813,0.16601842641830444,0.2806827127933502,0.10974371433258057,0.1764565110206604,0.10190024226903915
into,0.389646977186203,0.2322220653295517,0.39493247866630554,0.16771237552165985,0.32255905866622925,0.2611604928970337,0.21210846304893494,0.12971077859401703,0.09455183148384094,0.15662476420402527
an,0.33026179671287537,0.3694365322589874,0.4207492768764496,0.13776826858520508,0.32280945777893066,0.19160676002502441,0.2024267613887787,0.1687268614768982,0.13900865614414215,0.19793890416622162
eastern,0.22923262417316437,0.23346775770187378,0.3928247392177582,0.22462882101535797,0.33281487226486206,0.21853409707546234,0.4307703673839569,0.20017626881599426,0.20986999571323395,0.20060817897319794
half,0.2626088559627533,0.21022500097751617,0.3189295828342438,0.09157166630029678,0.2784358561038971,0.14872649312019348,0.18308544158935547,0.13081349432468414,0.059855394065380096,0.07471233606338501
named,0.2802571952342987,0.37528327107429504,0.3521348536014557,0.21767252683639526,0.2820465862751007,0.24223081767559052,0.2072926163673401,0.21640457212924957,0.3635748326778412,0.1297498345375061
new,0.257220059633255,0.2748313844203949,0.3845241069793701,0.29187142848968506,0.343457967042923,0.9999999403953552,0.31787005066871643,0.3829886019229889,0.13345995545387268,0.14782847464084625
south,0.18115942180156708,0.2792486846446991,0.3129390776157379,0.26421207189559937,0.33382371068000793,0.31787005066871643,1.0000001192092896,0.427888423204422,0.20712271332740784,0.12336621433496475
wales,0.17104144394397736,0.18637675046920776,0.23852568864822388,0.23250383138656616,0.23133093118667603,0.3829886019229889,0.427888423204422,1.0000001192092896,0.16561482846736908,0.15627945959568024
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.2406650185585022,0.5116966962814331,0.31402453780174255,0.3140619993209839,0.2818523943424225,0.22426098585128784,0.20544172823429108
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.20176295936107635,0.5052502155303955,0.3214259147644043,0.23680485785007477,0.16283482313156128,0.1686933934688568,0.23916715383529663
western,0.2197389006614685,0.2864105999469757,0.37920868396759033,0.23202861845493317,0.32974064350128174,0.22696338593959808,0.4157097041606903,0.232095867395401,0.18686732649803162,0.17439141869544983
half,0.2626088559627533,0.21022500097751617,0.3189295828342438,0.09157166630029678,0.2784358561038971,0.14872649312019348,0.18308544158935547,0.13081349432468414,0.059855394065380096,0.07471233606338501
named,0.2802571952342987,0.37528327107429504,0.3521348536014557,0.21767252683639526,0.2820465862751007,0.24223081767559052,0.2072926163673401,0.21640457212924957,0.3635748326778412,0.1297498345375061
