,what,innovation,in,mongolian,language,is,credited,to,genghis,khan,?
he,0.3114890456199646,0.21125023066997528,0.41690486669540405,0.12671193480491638,0.20472171902656555,0.36230841279029846,0.21426860988140106,0.385390967130661,0.28288567066192627,0.24136358499526978,0.2089974731206894
is,0.28837618231773376,0.2347158044576645,0.5394441485404968,0.20271806418895721,0.270936518907547,1.0,0.13009434938430786,0.42745086550712585,0.1866190880537033,0.20103248953819275,0.22961433231830597
also,0.42747777700424194,0.2467564344406128,0.5073733329772949,0.26170778274536133,0.29006239771842957,0.5012649297714233,0.24997232854366302,0.5348826050758362,0.2539297640323639,0.21398134529590607,0.21848613023757935
given,0.21883496642112732,0.19497783482074738,0.2528568208217621,0.11259814351797104,0.17185838520526886,0.249215230345726,0.18985147774219513,0.3428947925567627,0.16919517517089844,0.11854389309883118,0.2570464313030243
credit,0.24852240085601807,0.30872026085853577,0.07863761484622955,0.11401480436325073,0.11249588429927826,0.07379506528377533,0.6531762480735779,0.20738251507282257,0.07997544854879379,0.12457279115915298,0.13371090590953827
for,0.3017193675041199,0.3291509747505188,0.4322226941585541,0.1855597198009491,0.23522019386291504,0.43268078565597534,0.19538459181785583,0.4451248347759247,0.14123353362083435,0.13388998806476593,0.264628142118454
the,0.42745697498321533,0.3283994793891907,0.6662389636039734,0.2657795250415802,0.30198320746421814,0.5823672413825989,0.19653713703155518,0.535392165184021,0.3448939025402069,0.21067845821380615,0.22068053483963013
introduction,0.2245079129934311,0.4215381443500519,0.20148611068725586,0.15952928364276886,0.23387840390205383,0.16057826578617096,0.24323202669620514,0.24349944293498993,0.1498209685087204,0.08796080201864243,0.27021539211273193
of,0.33290785551071167,0.3399965465068817,0.5696388483047485,0.22608324885368347,0.25272229313850403,0.4854315221309662,0.21547365188598633,0.41548454761505127,0.2938849925994873,0.17124508321285248,0.1826142966747284
the,0.42745697498321533,0.3283994793891907,0.6662389636039734,0.2657795250415802,0.30198320746421814,0.5823672413825989,0.19653713703155518,0.535392165184021,0.3448939025402069,0.21067845821380615,0.22068053483963013
traditional,0.20066824555397034,0.23272953927516937,0.2736763060092926,0.25000420212745667,0.23219211399555206,0.24577821791172028,0.19034966826438904,0.2509959638118744,0.18477709591388702,0.11961033195257187,0.1327509582042694
mongolian,0.15557456016540527,0.15289227664470673,0.1663515418767929,0.9999999403953552,0.26692408323287964,0.20271806418895721,0.12025581300258636,0.152916818857193,0.463535338640213,0.4463278353214264,0.13122369349002838
script,0.23662243783473969,0.15442968904972076,0.17682331800460815,0.3014172613620758,0.5002512335777283,0.17416605353355408,0.13096344470977783,0.20386800169944763,0.23327475786209106,0.25175151228904724,0.24144527316093445
and,0.31309178471565247,0.2642185688018799,0.4954058527946472,0.22904802858829498,0.24699117243289948,0.3859752118587494,0.19575771689414978,0.48971283435821533,0.26551535725593567,0.22885166108608246,0.20544172823429108
the,0.42745697498321533,0.3283994793891907,0.6662389636039734,0.2657795250415802,0.30198320746421814,0.5823672413825989,0.19653713703155518,0.535392165184021,0.3448939025402069,0.21067845821380615,0.22068053483963013
creation,0.2653278112411499,0.3575282096862793,0.22394786775112152,0.08486192673444748,0.2130328267812729,0.2773818373680115,0.2811678647994995,0.28549936413764954,0.1456770896911621,0.12513935565948486,0.2407430112361908
of,0.33290785551071167,0.3399965465068817,0.5696388483047485,0.22608324885368347,0.25272229313850403,0.4854315221309662,0.21547365188598633,0.41548454761505127,0.2938849925994873,0.17124508321285248,0.1826142966747284
the,0.42745697498321533,0.3283994793891907,0.6662389636039734,0.2657795250415802,0.30198320746421814,0.5823672413825989,0.19653713703155518,0.535392165184021,0.3448939025402069,0.21067845821380615,0.22068053483963013
ikh,0.17602427303791046,0.08405992388725281,0.15969127416610718,0.32306721806526184,0.22905395925045013,0.1562555581331253,0.062450382858514786,0.1514715850353241,0.494457870721817,0.5630743503570557,0.19104276597499847
zasag,0.22751416265964508,0.1496860831975937,0.23161742091178894,0.3454987704753876,0.28268206119537354,0.28241652250289917,0.1605045199394226,0.21262261271476746,0.3965557813644409,0.2867058217525482,0.17681355774402618
