,what,was,goldenson,'s,1991,book,about,abc,titled,?
however,0.4480680823326111,0.37327632308006287,0.2233673334121704,0.011690815910696983,0.07899348437786102,0.22346045076847076,0.37023138999938965,0.13561899960041046,0.22246360778808594,0.2152075469493866
",",0.3087472915649414,0.45456063747406006,0.3194567561149597,-0.0016132977325469255,0.1221209466457367,0.23644568026065826,0.3877100944519043,0.2097204476594925,0.25777438282966614,0.31091248989105225
abc,0.1317344456911087,0.21565799415111542,0.29072654247283936,0.06670809537172318,-0.006156047340482473,0.16368414461612701,0.18492475152015686,1.0000001192092896,0.27584215998649597,0.19065172970294952
's,0.02692362666130066,0.008974763564765453,0.09304779767990112,0.9999999403953552,-0.04158582538366318,0.03493255004286766,-0.020936643704771996,0.06670809537172318,-0.02731235884130001,-0.023395681753754616
issues,0.33279702067375183,0.2080516368150711,0.1653369516134262,-0.05637482926249504,0.1502673327922821,0.22015990316867828,0.2578675150871277,0.18246594071388245,0.20476309955120087,0.320565789937973
with,0.2464839518070221,0.27411898970603943,0.22288626432418823,-0.04624466598033905,-0.014840502291917801,0.17745907604694366,0.3347385823726654,0.17432008683681488,0.23445595800876617,0.2433311939239502
its,0.30393704771995544,0.3518870174884796,0.19882462918758392,0.03202139586210251,-0.08230165392160416,0.18118256330490112,0.3361809253692627,0.19045390188694,0.17469756305217743,0.15103481709957123
transition,0.26982825994491577,0.22569464147090912,0.16526031494140625,-0.032827526330947876,-0.025245297700166702,0.11221000552177429,0.1634366512298584,0.12583263218402863,0.12651212513446808,0.15479432046413422
to,0.455847829580307,0.3636345863342285,0.18715453147888184,0.03782717138528824,0.11084804683923721,0.20275522768497467,0.391953706741333,0.1762417107820511,0.22964146733283997,0.29463258385658264
color,0.2746529281139374,0.15961390733718872,0.25134918093681335,-0.02538621611893177,-0.07134415954351425,0.15527771413326263,0.1730925589799881,0.1639925241470337,0.16558797657489777,0.21299609541893005
became,0.1434093862771988,0.6575068235397339,0.167678564786911,0.0067522358149290085,0.07489775866270065,0.15799826383590698,0.1529964655637741,0.14350707828998566,0.187978133559227,0.11374033987522125
secondary,0.20388361811637878,0.12099137902259827,0.08257235586643219,-0.1052255854010582,-0.026098622009158134,0.18054723739624023,0.18064267933368683,0.03982029855251312,0.13032251596450806,0.18118004500865936
compared,0.241532102227211,0.22795094549655914,0.166495680809021,0.04780092462897301,-0.0778098851442337,0.15357638895511627,0.3156428337097168,0.13018988072872162,0.12672527134418488,0.21399109065532684
to,0.455847829580307,0.3636345863342285,0.18715453147888184,0.03782717138528824,0.11084804683923721,0.20275522768497467,0.391953706741333,0.1762417107820511,0.22964146733283997,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.28907305002212524,-0.01540423184633255,0.002508036559447646,0.2652374505996704,0.37995871901512146,0.2068762183189392,0.267250657081604,0.22068053483963013
network,0.16917307674884796,0.1994880586862564,0.17995120584964752,0.07819218933582306,-0.046430137008428574,0.12557479739189148,0.1704506278038025,0.4295894205570221,0.15389476716518402,0.17853789031505585
's,0.02692362666130066,0.008974763564765453,0.09304779767990112,0.9999999403953552,-0.04158582538366318,0.03493255004286766,-0.020936643704771996,0.06670809537172318,-0.02731235884130001,-0.023395681753754616
financial,0.1900392472743988,0.24977709352970123,0.22498281300067902,0.06992136687040329,0.12984699010849,0.12287319451570511,0.19825664162635803,0.1747773438692093,0.09186457097530365,0.06444920599460602
problems,0.3306994140148163,0.1851695030927658,0.20185592770576477,-0.0541396401822567,0.07033827155828476,0.1491025984287262,0.2563410997390747,0.09929992258548737,0.1541372388601303,0.2638136148452759
;,0.10986888408660889,0.0754367932677269,0.09767092764377594,0.006909397430717945,-0.011942113749682903,0.02803761325776577,0.06296145915985107,-0.0012340332614257932,0.026000289246439934,0.10349778085947037
in,0.30808621644973755,0.45514053106307983,0.2430626004934311,-0.037580832839012146,0.0019440409960225224,0.2527170181274414,0.39797019958496094,0.1697147786617279,0.2624373435974121,0.20430970191955566
1964,-0.0811573788523674,-0.10244843363761902,-0.03956802561879158,0.05917205661535263,-0.06352564692497253,-0.013477441854774952,-0.07129708677530289,-0.1136346235871315,-0.04797886312007904,0.041380032896995544
",",0.3087472915649414,0.45456063747406006,0.3194567561149597,-0.0016132977325469255,0.1221209466457367,0.23644568026065826,0.3877100944519043,0.2097204476594925,0.25777438282966614,0.31091248989105225
