,what,is,another,term,for,year,12,of,education,?
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2740369141101837,0.4739971458911896,0.3609684407711029,0.28907760977745056,0.733189046382904,0.23982903361320496,0.22068053483963013
secondary,0.20388361811637878,0.19772830605506897,0.25690019130706787,0.18002641201019287,0.2065851241350174,0.16393998265266418,0.08339552581310272,0.219074085354805,0.4472634196281433,0.18118004500865936
level,0.27376922965049744,0.24803997576236725,0.20499542355537415,0.214185431599617,0.23426367342472076,0.14866961538791656,0.0995064303278923,0.23504668474197388,0.3096246123313904,0.20528386533260345
includes,0.17138352990150452,0.4033885896205902,0.17415325343608856,0.22192968428134918,0.3552350699901581,0.0900857225060463,0.13427221775054932,0.4359378218650818,0.14516983926296234,0.14011523127555847
schools,0.1820785105228424,0.2022145688533783,0.16504782438278198,0.1905326247215271,0.2320515662431717,0.1730971336364746,0.048512887209653854,0.265506386756897,0.6035618185997009,0.18349280953407288
offering,0.24005436897277832,0.16401077806949615,0.25824791193008423,0.11315516382455826,0.3597825765609741,0.16169394552707672,0.09413128346204758,0.21607820689678192,0.30945640802383423,0.15441901981830597
years,0.1981470286846161,0.19551363587379456,0.20923392474651337,0.22886784374713898,0.2878222167491913,0.5195499062538147,0.0803728774189949,0.2904134690761566,0.24918466806411743,0.1914375126361847
7,-0.1699475795030594,-0.08589375764131546,-0.18175460398197174,-0.12611672282218933,-0.11536749452352524,-0.12103487551212311,-0.07281036674976349,-0.04983885586261749,-0.012391302734613419,-0.15092156827449799
through,0.23167094588279724,0.27805060148239136,0.2753884196281433,0.19420595467090607,0.3172857463359833,0.14608070254325867,0.07665946334600449,0.3647414743900299,0.24807149171829224,0.16913433372974396
12,0.1696145385503769,0.33493560552597046,0.2705847918987274,0.05533110722899437,0.08460327982902527,0.10855238884687424,1.0000001192092896,0.2886716425418854,-0.06571482867002487,0.10021790862083435
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.16755855083465576,0.3357032239437103,0.2556702494621277,0.10623219609260559,0.35032153129577637,0.1691931039094925,0.40561532974243164
year,0.15184831619262695,0.2402215600013733,0.22209987044334412,0.2334945797920227,0.29294124245643616,1.0,0.10855238884687424,0.2578314542770386,0.18821442127227783,0.18315006792545319
twelve,0.15996748208999634,0.17539331316947937,0.189558744430542,0.1304371953010559,0.19891567528247833,0.2866242229938507,0.012943614274263382,0.288763165473938,0.10377895087003708,0.06192852556705475
is,0.28837618231773376,1.0,0.41278526186943054,0.270183801651001,0.43268078565597534,0.2402215600013733,0.33493560552597046,0.4854315221309662,0.18778188526630402,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.21254785358905792,0.25956669449806213,0.363901823759079,0.20408862829208374,0.19427114725112915,0.35814476013183594,0.10457874089479446,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.3282026946544647,0.3224089443683624,0.44774648547172546,0.28440728783607483,0.19093585014343262,0.3886612355709076,0.2414141446352005,0.27043893933296204
lower,0.20079238712787628,0.20806168019771576,0.16173318028450012,0.10933704674243927,0.15945355594158173,0.10991223156452179,0.2100987583398819,0.31757521629333496,0.21266406774520874,0.08471795171499252
sixth,0.13433639705181122,0.2980344891548157,0.2723660469055176,0.12107747048139572,0.1952703595161438,0.26815932989120483,0.06700744479894638,0.2562638819217682,0.20484822988510132,0.11620894819498062
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.14937621355056763,0.3639558255672455,0.24282371997833252,0.1113215982913971,0.3680361211299896,0.19257274270057678,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.22272127866744995,0.5064792633056641,0.2506658732891083,0.18034417927265167,0.5116966962814331,0.308173805475235,0.20544172823429108
year,0.15184831619262695,0.2402215600013733,0.22209987044334412,0.2334945797920227,0.29294124245643616,1.0,0.10855238884687424,0.2578314542770386,0.18821442127227783,0.18315006792545319
13,-0.0796622633934021,-0.007720510475337505,0.011964811012148857,-0.009591315872967243,-0.016487080603837967,0.044694337993860245,-0.01952856220304966,0.019282439723610878,0.0239355880767107,-0.11384815722703934
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.16755855083465576,0.3357032239437103,0.2556702494621277,0.10623219609260559,0.35032153129577637,0.1691931039094925,0.40561532974243164
upper,0.1592642068862915,0.2177516371011734,0.1494065225124359,0.11012937873601913,0.12166716158390045,0.09775688499212265,0.16866765916347504,0.25818127393722534,0.2005116045475006,0.051342256367206573
sixth,0.13433639705181122,0.2980344891548157,0.2723660469055176,0.12107747048139572,0.1952703595161438,0.26815932989120483,0.06700744479894638,0.2562638819217682,0.20484822988510132,0.11620894819498062
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.14937621355056763,0.3639558255672455,0.24282371997833252,0.1113215982913971,0.3680361211299896,0.19257274270057678,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.18456575274467468,0.4726039469242096,0.32538118958473206,0.20240069925785065,0.5352458953857422,0.27047446370124817,0.4130953550338745
