,what,is,used,to,quantify,the,intuitive,undestanding,of,forces,?
temperature,0.26338207721710205,0.2979726195335388,0.23570287227630615,0.26598888635635376,0.22213202714920044,0.27585095167160034,0.2976740598678589,0.25485241413116455,0.21649840474128723,0.19844642281532288,0.2011885941028595
),0.26259949803352356,0.37732169032096863,0.1905621439218521,0.31236231327056885,0.10000354051589966,0.3456730246543884,0.22963829338550568,0.18968737125396729,0.3680361211299896,0.20263166725635529,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.3120402991771698,0.44245919585227966,0.1972116231918335,0.4933079481124878,0.21733921766281128,0.2362801730632782,0.4946078956127167,0.2544684410095215,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.3718377649784088,0.535392165184021,0.227126806974411,1.0,0.16181163489818573,0.41608890891075134,0.733189046382904,0.3134811818599701,0.22068053483963013
intuitive,0.34618091583251953,0.24536116421222687,0.23858384788036346,0.2597629427909851,0.4612393081188202,0.16181163489818573,0.9999998807907104,0.3826710879802704,0.24991640448570251,0.15115609765052795,0.34172603487968445
understanding,0.4748767614364624,0.2874155342578888,0.24300330877304077,0.3789423108100891,0.5134501457214355,0.3089916408061981,0.4845937192440033,0.5972866415977478,0.31433331966400146,0.21859560906887054,0.3107462525367737
of,0.33290785551071167,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.29776817560195923,0.733189046382904,0.24991640448570251,0.4189511239528656,1.0,0.3090144991874695,0.1826142966747284
forces,0.2112482488155365,0.18792390823364258,0.15227629244327545,0.2581802308559418,0.21433496475219727,0.3134811818599701,0.15115609765052795,0.315064013004303,0.3090144991874695,1.0,0.16984491050243378
is,0.28837618231773376,1.0,0.3288823366165161,0.42745086550712585,0.25406917929649353,0.5823672413825989,0.24536116421222687,0.31389129161834717,0.4854315221309662,0.18792390823364258,0.22961433231830597
quantified,0.30565357208251953,0.27798768877983093,0.3228471577167511,0.23689159750938416,0.8243014812469482,0.28043144941329956,0.47830823063850403,0.41236206889152527,0.3509504795074463,0.21578755974769592,0.26952609419822693
using,0.27984681725502014,0.26543745398521423,0.6102309226989746,0.3678804934024811,0.2676124572753906,0.28364112973213196,0.2968096137046814,0.26511695981025696,0.24298200011253357,0.13638299703598022,0.2804589569568634
precise,0.3571929335594177,0.2903004288673401,0.38723024725914,0.3345707058906555,0.4454765319824219,0.32124680280685425,0.43537041544914246,0.3155045509338379,0.25493818521499634,0.14239124953746796,0.20396026968955994
operational,0.2418915033340454,0.2255316823720932,0.3054748773574829,0.28347864747047424,0.29429545998573303,0.2780027985572815,0.34939441084861755,0.3188473582267761,0.328056275844574,0.3480064570903778,0.1597091555595398
definitions,0.3369276225566864,0.2684614956378937,0.34227150678634644,0.30819034576416016,0.4390117824077606,0.24870915710926056,0.44643691182136536,0.3361320197582245,0.2772957384586334,0.19424867630004883,0.3035217523574829
