,what,type,of,fossils,were,found,in,china,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2495197057723999,0.3906462490558624,0.3452354073524475,0.6662389636039734,0.3110525608062744,0.22068053483963013
early,0.2454567849636078,0.24463579058647156,0.30937549471855164,0.2645024359226227,0.39198037981987,0.1977369338274002,0.34672921895980835,0.25833550095558167,0.15272949635982513
cambrian,0.18002451956272125,0.16587413847446442,0.23301354050636292,0.5108596682548523,0.2286975234746933,0.1903088092803955,0.223274827003479,0.2551741898059845,0.10118120908737183
sessile,0.1862797886133194,0.25128069519996643,0.1755376160144806,0.3879064917564392,0.10968560725450516,0.2588801085948944,0.17233312129974365,0.13421808183193207,0.15263627469539642
frond-like,0.334491491317749,0.25066617131233215,0.35016122460365295,0.37349528074264526,0.3534473180770874,0.37092697620391846,0.31779932975769043,0.1919707953929901,0.2274358570575714
fossil,0.22930388152599335,0.1545419543981552,0.22371989488601685,0.870537519454956,0.18090227246284485,0.385284960269928,0.22461621463298798,0.21509949862957,0.15712964534759521
stromatoveris,0.23826351761817932,0.20051443576812744,0.315493643283844,0.47075405716896057,0.2651025056838989,0.30413779616355896,0.2838645279407501,0.22000589966773987,0.18349947035312653
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21695511043071747,0.36755475401878357,0.27385151386260986,0.5201468467712402,0.27650898694992065,0.31091248989105225
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.20264261960983276,0.29991888999938965,0.15488772094249725,0.4274188280105591,0.17287437617778778,0.19969791173934937
china,0.13832437992095947,0.1468234360218048,0.27699828147888184,0.2526704967021942,0.2312094271183014,0.20182760059833527,0.267821341753006,1.0000001192092896,0.18007943034172058
's,0.02692362666130066,0.05257158726453781,-0.03817026689648628,0.03409503400325775,0.007088581565767527,0.005866709165275097,-0.037580832839012146,0.023593749850988388,-0.023395681753754616
chengjiang,0.17132003605365753,0.14640507102012634,0.2565031051635742,0.2013465166091919,0.19021528959274292,0.18492183089256287,0.23617690801620483,0.7249496579170227,0.2237432599067688
lagerstätte,0.28160586953163147,0.19662265479564667,0.327605277299881,0.609586238861084,0.3057270646095276,0.4104319214820862,0.37890303134918213,0.26030027866363525,0.22385409474372864
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23379240930080414,0.42175528407096863,0.27978911995887756,0.4954058527946472,0.27966102957725525,0.20544172823429108
dated,0.15505221486091614,0.13723517954349518,0.210488960146904,0.3590318262577057,0.20317693054676056,0.23273491859436035,0.1982845962047577,0.21649734675884247,0.215650275349617
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.22865045070648193,0.31913647055625916,0.25225648283958435,0.45010748505592346,0.1938052773475647,0.29463258385658264
about,0.47976887226104736,0.1371919810771942,0.40939709544181824,0.2782515585422516,0.29814305901527405,0.2971428334712982,0.39797019958496094,0.18977688252925873,0.302409827709198
515,0.18805226683616638,0.09869492799043655,0.3018823564052582,0.2103787511587143,0.1501341313123703,0.1751323938369751,0.21489743888378143,0.20295459032058716,0.06722166389226913
million,0.22197039425373077,0.11320874094963074,0.21686489880084991,0.3239833414554596,0.25957414507865906,0.14410199224948883,0.2596224844455719,0.26204222440719604,0.23092924058437347
years,0.1981470286846161,0.13421817123889923,0.2904134690761566,0.33178845047950745,0.3048669695854187,0.21100080013275146,0.33554986119270325,0.23277819156646729,0.1914375126361847
ago,0.30667418241500854,0.17752598226070404,0.20083805918693542,0.4381564259529114,0.276393324136734,0.25708508491516113,0.2414315938949585,0.22036191821098328,0.2202194780111313
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21695511043071747,0.36755475401878357,0.27385151386260986,0.5201468467712402,0.27650898694992065,0.31091248989105225
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.20723609626293182,0.29386836290359497,0.3526395261287689,0.5394441485404968,0.1968986988067627,0.22961433231830597
very,0.37053924798965454,0.21407891809940338,0.34437474608421326,0.26747944951057434,0.3175065517425537,0.30070754885673523,0.3209688663482666,0.18931786715984344,0.20864155888557434
similar,0.30608364939689636,0.30731043219566345,0.2911645472049713,0.23019683361053467,0.28374379873275757,0.24447132647037506,0.28091391921043396,0.1482543647289276,0.23309361934661865
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.22865045070648193,0.31913647055625916,0.25225648283958435,0.45010748505592346,0.1938052773475647,0.29463258385658264
vendobionta,0.18817013502120972,0.2435251921415329,0.2765115201473236,0.3384872078895569,0.20544767379760742,0.25156423449516296,0.32168516516685486,0.26166099309921265,0.2536412179470062
of,0.33290785551071167,0.18112817406654358,1.0,0.2560483515262604,0.34038281440734863,0.2982911467552185,0.5696388483047485,0.27699828147888184,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2495197057723999,0.3906462490558624,0.3452354073524475,0.6662389636039734,0.3110525608062744,0.22068053483963013
preceding,0.1640017181634903,0.13079571723937988,0.27681562304496765,0.21236968040466309,0.20307056605815887,0.1183755025267601,0.23244428634643555,0.19874820113182068,0.18089358508586884
ediacaran,0.2511945962905884,0.23365776240825653,0.29089632630348206,0.5900708436965942,0.17839664220809937,0.31989115476608276,0.22689197957515717,0.31001317501068115,0.2199965864419937
period,0.24507179856300354,0.19952473044395447,0.2698146104812622,0.2195097804069519,0.2902187407016754,0.13365647196769714,0.23051127791404724,0.26020902395248413,0.18706195056438446
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2062237411737442,0.3378238379955292,0.3618174195289612,0.5591574311256409,0.2979343831539154,0.4130953550338745
