,which,senator,was,a,strong,advocate,for,the,pico,act,?
the,0.6521818041801453,0.2008991688489914,0.48711544275283813,0.5829201340675354,0.22482411563396454,0.16703304648399353,0.4739971458911896,1.0,0.20949006080627441,0.28682878613471985,0.22068053483963013
proposal,0.27661120891571045,0.20009112358093262,0.21197108924388885,0.2847301959991455,0.17461414635181427,0.24531909823417664,0.2781776189804077,0.24154584109783173,0.1292753368616104,0.21621251106262207,0.362845778465271
was,0.2830964922904968,0.25540414452552795,1.0000001192092896,0.4508470594882965,0.21312883496284485,0.24468748271465302,0.3863949179649353,0.48711544275283813,0.13371537625789642,0.1887621134519577,0.18412111699581146
sent,0.21585705876350403,0.23550327122211456,0.3192673325538635,0.24201522767543793,0.12225945293903351,0.19732527434825897,0.27045202255249023,0.3010627329349518,0.041590701788663864,0.16515687108039856,0.10903520882129669
to,0.5345056653022766,0.19036507606506348,0.3636345863342285,0.45503583550453186,0.2913058400154114,0.21481721103191376,0.4451248347759247,0.535392165184021,0.15630114078521729,0.24833928048610687,0.29463258385658264
washington,0.176166832447052,0.3202052116394043,0.24854253232479095,0.17264322936534882,0.07027798146009445,0.21916960179805756,0.2088308036327362,0.24987076222896576,0.21231934428215027,0.2012438029050827,0.157786026597023
",",0.3658004403114319,0.26308193802833557,0.45456063747406006,0.427140474319458,0.3008308410644531,0.26894113421440125,0.4464869201183319,0.4933079481124878,0.24494405090808868,0.1787904053926468,0.31091248989105225
d.c.,0.0055712005123496056,-0.10082487761974335,0.027350224554538727,0.029680414125323296,-0.032177526503801346,0.0016234328504651785,0.028750764206051826,-0.030088720843195915,-0.08898724615573883,-0.03979191184043884,-0.06381701678037643
with,0.46403205394744873,0.1536080539226532,0.27411898970603943,0.3783375024795532,0.3258751928806305,0.16500705480575562,0.39140474796295166,0.4223487675189972,0.17719832062721252,0.18591532111167908,0.2433311939239502
a,0.56894451379776,0.21295732259750366,0.4508470594882965,1.0,0.3321513831615448,0.23267892003059387,0.44038116931915283,0.5829201340675354,0.17185522615909576,0.2060188204050064,0.23916715383529663
strong,0.32346853613853455,0.09842248260974884,0.21312883496284485,0.3321513831615448,1.0,0.20136545598506927,0.21840542554855347,0.22482411563396454,0.12202291190624237,0.21267935633659363,0.11990999430418015
advocate,0.12648089230060577,0.28507789969444275,0.24468748271465302,0.23267892003059387,0.20136545598506927,1.0,0.27904030680656433,0.16703304648399353,0.10652843862771988,0.203768789768219,0.19954998791217804
in,0.4840516746044159,0.18609043955802917,0.45514053106307983,0.539380669593811,0.21198557317256927,0.16992348432540894,0.4322226941585541,0.6662389636039734,0.19410894811153412,0.22050046920776367,0.20430970191955566
senator,0.07663562893867493,1.0,0.25540414452552795,0.21295732259750366,0.09842248260974884,0.28507789969444275,0.14988058805465698,0.2008991688489914,0.24661388993263245,0.12065540254116058,0.1479560136795044
milton,0.20389550924301147,0.2326977401971817,0.2417294830083847,0.22242267429828644,0.10755005478858948,0.18042424321174622,0.14656542241573334,0.20148779451847076,0.19256721436977386,0.12504930794239044,0.1688244491815567
latham,0.18981121480464935,0.31003209948539734,0.20136111974716187,0.24705001711845398,0.15020188689231873,0.2516680061817169,0.16754552721977234,0.20937307178974152,0.13283920288085938,0.11768729239702225,0.1284170150756836
.,0.45942068099975586,0.266946941614151,0.40146201848983765,0.50484299659729,0.2886887490749359,0.22176724672317505,0.4726039469242096,0.5934505462646484,0.2257966250181198,0.2025400698184967,0.4130953550338745
