,which,type,of,law,makes,eu,institutions,and,its,member,states,follow,the,law,?
while,0.38669952750205994,0.10300906002521515,0.3366928696632385,0.2214563637971878,0.28580355644226074,0.15644215047359467,0.17889946699142456,0.45699796080589294,0.3084518015384674,0.17600251734256744,0.21951094269752502,0.28325673937797546,0.39804592728614807,0.2214563637971878,0.21076419949531555
constitutional,0.2864847183227539,0.11245497316122055,0.3563419580459595,0.5433541536331177,0.1521010547876358,0.2730419635772705,0.6082078814506531,0.2651209533214569,0.22401699423789978,0.20804935693740845,0.36130639910697937,0.201106995344162,0.2926941215991974,0.5433541536331177,0.2199033498764038
law,0.20205146074295044,0.051303401589393616,0.2816956341266632,1.0000001192092896,0.12979798018932343,0.20359504222869873,0.38910791277885437,0.254730761051178,0.14864613115787506,0.17515966296195984,0.2508668601512909,0.28822946548461914,0.24548950791358948,1.0000001192092896,0.1528988480567932
concerns,0.234709233045578,0.10978055000305176,0.18160763382911682,0.20987725257873535,0.20506657660007477,0.17792487144470215,0.3067786395549774,0.2781383991241455,0.21521273255348206,0.07804936915636063,0.1481885462999344,0.27041855454444885,0.23063859343528748,0.20987725257873535,0.3555730879306793
the,0.6521818041801453,0.21819381415843964,0.733189046382904,0.24548950791358948,0.3029823303222656,0.14126400649547577,0.2776423394680023,0.5171257257461548,0.559237003326416,0.2806392312049866,0.3463578522205353,0.3197029232978821,1.0,0.24548950791358948,0.22068053483963013
european,0.2234036773443222,0.16010501980781555,0.2507138252258301,0.17164482176303864,0.09136402606964111,0.46552222967147827,0.26148170232772827,0.24143946170806885,0.1742284595966339,0.24138560891151428,0.25554242730140686,0.13600800931453705,0.3423081040382385,0.17164482176303864,0.14560863375663757
union,0.23846890032291412,0.03160056099295616,0.2642118036746979,0.19371826946735382,0.09157811105251312,0.3292396068572998,0.2973901629447937,0.2594362497329712,0.22658714652061462,0.23030449450016022,0.30693942308425903,0.19575269520282745,0.24421639740467072,0.19371826946735382,0.07797172665596008
's,0.03856118768453598,0.05257158726453781,-0.03817026689648628,-0.06109188124537468,0.053655147552490234,0.02064049430191517,-0.033028494566679,0.06895173341035843,0.03202139586210251,-0.031640440225601196,-0.004298824816942215,-0.030512675642967224,-0.01540423184633255,-0.06109188124537468,-0.023395681753754616
governance,0.33187419176101685,0.13760808110237122,0.34519848227500916,0.35446998476982117,0.17096590995788574,0.21581856906414032,0.5062427520751953,0.2939486801624298,0.3025504946708679,0.23014530539512634,0.27295422554016113,0.29947856068611145,0.30334189534187317,0.35446998476982117,0.19755220413208008
structure,0.4027908146381378,0.2479354441165924,0.2599511742591858,0.1710921823978424,0.21083524823188782,0.10908470302820206,0.2915935218334198,0.24419280886650085,0.31056487560272217,0.11670070141553879,0.1335165947675705,0.2507196068763733,0.2933249771595001,0.1710921823978424,0.1770772784948349
",",0.3658004403114319,0.1804078221321106,0.4946078956127167,0.24953721463680267,0.2926395535469055,0.1565755307674408,0.25403106212615967,0.6633074283599854,0.33157986402511597,0.25757819414138794,0.3315127193927765,0.3021566867828369,0.4933079481124878,0.24953721463680267,0.31091248989105225
administrative,0.2209426909685135,0.1090308129787445,0.3186163008213043,0.2302519977092743,0.10633035749197006,0.22867801785469055,0.33237722516059875,0.2250182032585144,0.2109013795852661,0.20063677430152893,0.19568386673927307,0.16347888112068176,0.25410786271095276,0.2302519977092743,0.15912041068077087
