,what,was,ban,ki-moon,the,secretary,general,of,?
in,0.30808621644973755,0.45514053106307983,0.16131305694580078,0.19320295751094818,0.6662389636039734,0.22551915049552917,0.259066641330719,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,0.1830999106168747,0.27764788269996643,1.0,0.23160062730312347,0.28634732961654663,0.733189046382904,0.22068053483963013
words,0.3355468809604645,0.1941533237695694,0.14202959835529327,0.21096962690353394,0.29205581545829773,0.05736379697918892,0.15702210366725922,0.26259833574295044,0.27074310183525085
of,0.33290785551071167,0.4069072902202606,0.15118597447872162,0.2221912443637848,0.733189046382904,0.21537087857723236,0.28352999687194824,1.0,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.1830999106168747,0.27764788269996643,1.0,0.23160062730312347,0.28634732961654663,0.733189046382904,0.22068053483963013
secretary,0.14278742671012878,0.2750075161457062,0.2743028402328491,0.16044165194034576,0.23160062730312347,0.9999999403953552,0.3713289499282837,0.21537087857723236,0.10113837569952011
general,0.24928055703639984,0.2445744127035141,0.2036057859659195,0.1496732383966446,0.28634732961654663,0.3713289499282837,1.0000001192092896,0.28352999687194824,0.1972234547138214
of,0.33290785551071167,0.4069072902202606,0.15118597447872162,0.2221912443637848,0.733189046382904,0.21537087857723236,0.28352999687194824,1.0,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.1830999106168747,0.27764788269996643,1.0,0.23160062730312347,0.28634732961654663,0.733189046382904,0.22068053483963013
united,0.20036718249320984,0.31727492809295654,0.21193119883537292,0.24894538521766663,0.34367692470550537,0.3797130286693573,0.2596476078033447,0.3187655806541443,0.17266890406608582
nations,0.19211222231388092,0.2097785323858261,0.31078246235847473,0.2770555317401886,0.3506215214729309,0.39454665780067444,0.2309069186449051,0.27521562576293945,0.20999202132225037
ban,0.2884827256202698,0.18856120109558105,1.0000001192092896,0.28178057074546814,0.1830999106168747,0.2743028402328491,0.2036057859659195,0.15118597447872162,0.29495060443878174
ki-moon,0.16860631108283997,0.2766406536102295,0.28178057074546814,1.0000001192092896,0.27764788269996643,0.16044165194034576,0.1496732383966446,0.2221912443637848,0.1735510528087616
:,-0.12022944539785385,0.002802103292196989,-0.028117720037698746,-0.10491030663251877,-0.03403344005346298,0.018662497401237488,0.008705174550414085,-0.08807745575904846,-0.07156077772378922
``,0.008517155423760414,-0.012679691426455975,0.1168811023235321,-0.04825146868824959,0.029072100296616554,0.07340669631958008,0.09047812968492508,0.06780257821083069,0.0685480609536171
while,0.35511791706085205,0.3253832161426544,0.23260094225406647,0.21154841780662537,0.39804592728614807,0.13687962293624878,0.19463972747325897,0.3366928696632385,0.21076419949531555
economic,0.18082544207572937,0.1954469084739685,0.26672279834747314,0.1346968710422516,0.282455176115036,0.2540994882583618,0.18012739717960358,0.3030148148536682,0.1206481084227562
growth,0.1739405393600464,0.1385122835636139,0.09070440381765366,0.055737972259521484,0.2912366986274719,0.14354027807712555,0.12096951901912689,0.2679378092288971,0.07547862827777863
is,0.28837618231773376,0.5810302495956421,0.20151987671852112,0.2656586170196533,0.5823672413825989,0.14854203164577484,0.20144300162792206,0.4854315221309662,0.22961433231830597
necessary,0.3794087767601013,0.14205975830554962,0.3182486891746521,0.13705794513225555,0.28364068269729614,0.15650787949562073,0.17224350571632385,0.26879626512527466,0.3430270850658417
",",0.3087472915649414,0.45456063747406006,0.2151244729757309,0.27234840393066406,0.4933079481124878,0.24522995948791504,0.3022127151489258,0.4946078956127167,0.31091248989105225
it,0.45803478360176086,0.4577186405658722,0.24239091575145721,0.2807372510433197,0.6251175999641418,0.14919206500053406,0.21158641576766968,0.38761502504348755,0.25732165575027466
is,0.28837618231773376,0.5810302495956421,0.20151987671852112,0.2656586170196533,0.5823672413825989,0.14854203164577484,0.20144300162792206,0.4854315221309662,0.22961433231830597
not,0.5449194312095642,0.2888734042644501,0.3125641942024231,0.16740643978118896,0.4310511648654938,0.12748879194259644,0.19737575948238373,0.3307090103626251,0.41942933201789856
sufficient,0.34977179765701294,0.17240363359451294,0.2594902813434601,0.1368960291147232,0.27501294016838074,0.16175317764282227,0.2336491495370865,0.23525285720825195,0.2950035035610199
for,0.3017193675041199,0.3863949179649353,0.2181331366300583,0.2161816507577896,0.4739971458911896,0.20553922653198242,0.23497237265110016,0.4185989499092102,0.264628142118454
progress,0.2752872407436371,0.14284062385559082,0.21980850398540497,0.14566625654697418,0.3132456839084625,0.17292894423007965,0.09892760217189789,0.27725252509117126,0.20267242193222046
on,0.34226128458976746,0.3909217119216919,0.24485474824905396,0.2582556903362274,0.5107308030128479,0.18767742812633514,0.18019753694534302,0.3966929316520691,0.2714994251728058
reducing,0.16407831013202667,0.11433915793895721,0.12596102058887482,0.11831893026828766,0.2389497607946396,0.16900819540023804,0.14772549271583557,0.23143820464611053,0.1068432405591011
poverty,0.20925714075565338,0.11465673893690109,0.15757130086421967,0.17241722345352173,0.20494918525218964,0.1606092005968094,0.0773434117436409,0.2334604412317276,0.16537553071975708
.,0.3567904531955719,0.40146201848983765,0.20274263620376587,0.2555936872959137,0.5934505462646484,0.2235480397939682,0.2929490804672241,0.5352458953857422,0.4130953550338745
'',0.08143015950918198,0.04456103965640068,-0.00396456615999341,-0.027158508077263832,0.041273195296525955,-0.03673524037003517,0.022419413551688194,0.13035868108272552,0.018684765323996544
