,what,is,the,average,width,of,the,rhine,?
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.1320570707321167,0.1732325255870819,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.25883322954177856,0.17520734667778015,0.38761502504348755,0.6251175999641418,0.17693428695201874,0.25732165575027466
approaches,0.29933157563209534,0.24784541130065918,0.2746894657611847,0.23684023320674896,0.18872012197971344,0.2620902359485626,0.2746894657611847,0.11200511455535889,0.16919754445552826
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.23279894888401031,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
dutch,0.1643560230731964,0.12900666892528534,0.1705695390701294,0.09843648225069046,0.05559714883565903,0.14408773183822632,0.1705695390701294,0.31772172451019287,0.1081366017460823
border,0.26696228981018066,0.22676031291484833,0.2856229841709137,0.13729585707187653,0.46656784415245056,0.24084383249282837,0.2856229841709137,0.32308438420295715,0.1706928312778473
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23098047077655792,0.16640038788318634,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.23279894888401031,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.13968418538570404,0.16182301938533783,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.27553778886795044,0.18390773236751556,0.3909035325050354,0.4177538752555847,0.12709470093250275,0.15994466841220856
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.27438971400260925,0.11820562183856964,0.32280945777893066,0.4207492768764496,0.07200640439987183,0.19793890416622162
annual,0.14798973500728607,0.20538382232189178,0.2958983778953552,0.35461482405662537,0.13070352375507355,0.29535046219825745,0.2958983778953552,0.12795452773571014,0.1083487942814827
mean,0.35852181911468506,0.3152560591697693,0.25977957248687744,0.3111130893230438,0.1858394593000412,0.27551960945129395,0.25977957248687744,0.10673598945140839,0.36234524846076965
discharge,0.19507750868797302,0.17916791141033173,0.2714732885360718,0.3206624984741211,0.19906535744667053,0.24374468624591827,0.2714732885360718,0.22111549973487854,0.13592740893363953
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23717734217643738,0.2196715921163559,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
"2,290",-0.06856036931276321,-0.10484781861305237,-0.05361589789390564,-0.11295768618583679,-0.18225176632404327,-0.04037247970700264,-0.05361589789390564,-0.05465353652834892,-0.12841123342514038
m3/s,0.21050168573856354,0.14450658857822418,0.21639159321784973,0.2121969610452652,0.19906054437160492,0.2116190493106842,0.21639159321784973,0.1787276417016983,0.11470148712396622
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.20423224568367004,0.2490641176700592,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.40561532974243164
"81,000",-0.0844876691699028,0.10524282604455948,0.0763436108827591,-0.007772237062454224,-0.01757262833416462,0.006051149684935808,0.0763436108827591,0.08013452589511871,-0.10073599219322205
cu,0.29675185680389404,0.16364990174770355,0.1260254830121994,0.15857580304145813,0.1654091477394104,0.11184985190629959,0.1260254830121994,0.08786342293024063,0.3576068878173828
ft/s,0.29451486468315125,0.2292538583278656,0.22741563618183136,0.401815265417099,0.39887863397598267,0.17706529796123505,0.22741563618183136,0.23744693398475647,0.27464672923088074
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20956556499004364,0.26366931200027466,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2138829380273819,0.18966911733150482,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.27438971400260925,0.11820562183856964,0.32280945777893066,0.4207492768764496,0.07200640439987183,0.19793890416622162
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,1.0,0.2127116322517395,0.23717734217643738,0.27058175206184387,0.13968418538570404,0.21764592826366425
width,0.24684514105319977,0.17843221127986908,0.23279894888401031,0.2127116322517395,1.0,0.2196715921163559,0.23279894888401031,0.16182301938533783,0.17590105533599854
