,how,many,types,of,science,fiction,have,been,impacted,by,tesla,?
the,0.33890387415885925,0.4335206151008606,0.23509301245212555,0.733189046382904,0.24037593603134155,0.20230287313461304,0.40389683842658997,0.3563927710056305,0.2348020076751709,0.4408751428127289,0.1324402391910553,0.22068053483963013
impact,0.26374930143356323,0.24258242547512054,0.1516590267419815,0.21139270067214966,0.2208889275789261,0.20980960130691528,0.31931746006011963,0.29679369926452637,0.7615166902542114,0.17438781261444092,0.13133373856544495,0.18429921567440033
of,0.2480744868516922,0.37253960967063904,0.2447618544101715,1.0,0.2616958022117615,0.1798480898141861,0.3802283704280853,0.31685134768486023,0.2348475158214569,0.3646814823150635,0.18837453424930573,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.23509301245212555,0.733189046382904,0.24037593603134155,0.20230287313461304,0.40389683842658997,0.3563927710056305,0.2348020076751709,0.4408751428127289,0.1324402391910553,0.22068053483963013
technologies,0.21965640783309937,0.29259365797042847,0.258000910282135,0.20219539105892181,0.44837406277656555,0.31953611969947815,0.21912653744220734,0.2429640144109726,0.1808656007051468,0.17029938101768494,0.3657195270061493,0.1638062298297882
invented,0.2116408497095108,0.2561112642288208,0.24553117156028748,0.18887928128242493,0.19139958918094635,0.17385981976985931,0.21547511219978333,0.2212478220462799,0.1458752602338791,0.24488699436187744,0.3097662925720215,0.13781782984733582
or,0.3378981947898865,0.36905089020729065,0.41673311591148376,0.3792596757411957,0.1796393245458603,0.221563458442688,0.46389055252075195,0.32461076974868774,0.23683488368988037,0.30274316668510437,0.1529218554496765,0.32389625906944275
envisioned,0.20849594473838806,0.2220020443201065,0.08178332448005676,0.32703647017478943,0.22636215388774872,0.2372628152370453,0.19217033684253693,0.2908582091331482,0.26243165135383606,0.3296319246292114,0.24841411411762238,0.15805254876613617
by,0.34370526671409607,0.3409687578678131,0.15044783055782318,0.3646814823150635,0.20686732232570648,0.21986433863639832,0.3359639644622803,0.39107078313827515,0.2541993260383606,1.0000001192092896,0.16513796150684357,0.17966607213020325
tesla,0.19128404557704926,0.15282970666885376,0.1195170134305954,0.18837453424930573,0.217654287815094,0.12418979406356812,0.12181562930345535,0.049614984542131424,0.059295639395713806,0.16513796150684357,0.9999999403953552,0.10250775516033173
is,0.22544461488723755,0.2649032473564148,0.21496213972568512,0.4854315221309662,0.2747138440608978,0.2462390810251236,0.3613572418689728,0.39566612243652344,0.13051168620586395,0.3899846076965332,0.14061255753040314,0.22961433231830597
a,0.29312583804130554,0.2872205972671509,0.27099108695983887,0.5052502155303955,0.2378881424665451,0.20890182256698608,0.338716596364975,0.3315402865409851,0.20443657040596008,0.32094135880470276,0.2211925983428955,0.23916715383529663
recurring,0.22519181668758392,0.3092394471168518,0.20264343917369843,0.16064214706420898,0.25073784589767456,0.39447328448295593,0.22991208732128143,0.26520347595214844,0.2212217152118683,0.15789540112018585,0.06761917471885681,0.18640388548374176
theme,0.1570068746805191,0.2576037049293518,0.20503674447536469,0.17537155747413635,0.24003592133522034,0.28515350818634033,0.19004344940185547,0.21664969623088837,0.15724322199821472,0.19824901223182678,0.11790701746940613,0.21507632732391357
in,0.2601168751716614,0.41474202275276184,0.18516337871551514,0.5696388483047485,0.269875705242157,0.2784067988395691,0.36843645572662354,0.3515113592147827,0.21262972056865692,0.370934396982193,0.17097744345664978,0.20430970191955566
several,0.28568220138549805,0.7239733338356018,0.32817596197128296,0.3271615505218506,0.19506396353244781,0.23468147218227386,0.45253247022628784,0.5172662734985352,0.2900984287261963,0.3275541365146637,0.12530387938022614,0.15595775842666626
types,0.3203487992286682,0.4814179539680481,1.0,0.2447618544101715,0.16912581026554108,0.1483067125082016,0.3764505088329315,0.26826557517051697,0.14900438487529755,0.15044783055782318,0.1195170134305954,0.1285012811422348
of,0.2480744868516922,0.37253960967063904,0.2447618544101715,1.0,0.2616958022117615,0.1798480898141861,0.3802283704280853,0.31685134768486023,0.2348475158214569,0.3646814823150635,0.18837453424930573,0.1826142966747284
science,0.23506508767604828,0.2819631099700928,0.16912581026554108,0.2616958022117615,1.0,0.6595393419265747,0.20438560843467712,0.18785199522972107,0.138374462723732,0.20686732232570648,0.217654287815094,0.17974960803985596
fiction,0.1881372034549713,0.23496581614017487,0.1483067125082016,0.1798480898141861,0.6595393419265747,1.0,0.20300185680389404,0.1918732225894928,0.17710988223552704,0.21986433863639832,0.12418979406356812,0.19665013253688812
.,0.3287222981452942,0.3974229395389557,0.2097296416759491,0.5352458953857422,0.21781636774539948,0.20628853142261505,0.41614407300949097,0.33645182847976685,0.24438737332820892,0.3936232924461365,0.17949827015399933,0.4130953550338745
