,what,year,was,the,latest,addition,to,the,church,of,st.,andrew,?
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2858807146549225,0.32955414056777954,0.535392165184021,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.22068053483963013
present,0.30940163135528564,0.15286490321159363,0.1278916448354721,0.2829846143722534,0.11066287010908127,0.20221363008022308,0.2453051209449768,0.2829846143722534,0.1582626849412918,0.3116828501224518,0.07845359295606613,0.14311464130878448,0.21759982407093048
building,0.23529528081417084,0.17191562056541443,0.237406387925148,0.3159640431404114,0.142589271068573,0.20481546223163605,0.2658686637878418,0.3159640431404114,0.37474581599235535,0.26200541853904724,0.2061094045639038,0.1523696482181549,0.13549931347370148
was,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.2410878986120224,0.2078816294670105,0.3636345863342285,0.48711544275283813,0.24960921704769135,0.4069072902202606,0.17142929136753082,0.3215606212615967,0.18412111699581146
begun,0.2296452522277832,0.2384742796421051,0.2829301357269287,0.2750677764415741,0.2983740568161011,0.2196035385131836,0.22838421165943146,0.2750677764415741,0.26716798543930054,0.23892870545387268,0.1808898150920868,0.14746056497097015,0.13816508650779724
in,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.19638006389141083,0.3033084571361542,0.45010748505592346,0.6662389636039734,0.2493300437927246,0.5696388483047485,0.15931649506092072,0.17072397470474243,0.20430970191955566
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2858807146549225,0.32955414056777954,0.535392165184021,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.22068053483963013
12th,0.1207122877240181,0.23945419490337372,0.2558962404727936,0.27435246109962463,0.17990918457508087,0.0809706598520279,0.17596735060214996,0.27435246109962463,0.09623774141073227,0.19726771116256714,0.26249000430107117,0.15215559303760529,0.05097517371177673
century,0.20422613620758057,0.3134029805660248,0.3521432876586914,0.3617299497127533,0.1817806214094162,0.1588878333568573,0.20143604278564453,0.3617299497127533,0.3047577142715454,0.2826060354709625,0.14819175004959106,0.15544986724853516,0.1026201918721199
and,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.22890520095825195,0.3508087992668152,0.48971283435821533,0.5171257257461548,0.1976170688867569,0.5116966962814331,0.22686052322387695,0.21289494633674622,0.20544172823429108
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2858807146549225,0.32955414056777954,0.535392165184021,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.22068053483963013
last,0.23175878822803497,0.3419959247112274,0.32424551248550415,0.3698786795139313,0.3681011497974396,0.15408645570278168,0.30156898498535156,0.3698786795139313,0.11115076392889023,0.3052992522716522,0.1263762265443802,0.08173089474439621,0.22371746599674225
addition,0.20643717050552368,0.1745775192975998,0.2078816294670105,0.32955414056777954,0.11767792701721191,1.0,0.29394859075546265,0.32955414056777954,0.15831126272678375,0.27503931522369385,0.1092262789607048,0.17527905106544495,0.19187232851982117
to,0.455847829580307,0.23523004353046417,0.3636345863342285,0.535392165184021,0.2529020309448242,0.29394859075546265,1.0,0.535392165184021,0.24439501762390137,0.41548454761505127,0.20982599258422852,0.19888398051261902,0.29463258385658264
it,0.45803478360176086,0.2363913208246231,0.4577186405658722,0.6251175999641418,0.21884483098983765,0.267532616853714,0.513711154460907,0.6251175999641418,0.23105517029762268,0.38761502504348755,0.11486785858869553,0.17079833149909973,0.25732165575027466
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.21576641499996185,0.3040202856063843,0.44245919585227966,0.4933079481124878,0.2707274258136749,0.4946078956127167,0.26603782176971436,0.2728791832923889,0.31091248989105225
apart,0.3046720027923584,0.09995583444833755,0.1961895227432251,0.28010323643684387,0.10923583060503006,0.23818518221378326,0.29252201318740845,0.28010323643684387,0.14969812333583832,0.25376787781715393,0.1329801380634308,0.08131803572177887,0.11720603704452515
from,0.2737620174884796,0.2101740688085556,0.31171464920043945,0.40150508284568787,0.22880563139915466,0.1770325005054474,0.4069952368736267,0.40150508284568787,0.1894836276769638,0.4249346852302551,0.1564422845840454,0.14172323048114777,0.19969791173934937
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2858807146549225,0.32955414056777954,0.535392165184021,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.22068053483963013
vestries,0.11953353136777878,0.12707026302814484,0.18809272348880768,0.2389317899942398,0.02531796507537365,0.2853909432888031,0.21610933542251587,0.2389317899942398,0.252616822719574,0.217672660946846,0.1623164266347885,0.17434941232204437,0.15910109877586365
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.21576641499996185,0.3040202856063843,0.44245919585227966,0.4933079481124878,0.2707274258136749,0.4946078956127167,0.26603782176971436,0.2728791832923889,0.31091248989105225
was,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.2410878986120224,0.2078816294670105,0.3636345863342285,0.48711544275283813,0.24960921704769135,0.4069072902202606,0.17142929136753082,0.3215606212615967,0.18412111699581146
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2858807146549225,0.32955414056777954,0.535392165184021,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.22068053483963013
main,0.2344268560409546,0.11584190279245377,0.21035033464431763,0.38631999492645264,0.22923879325389862,0.2882722318172455,0.26116618514060974,0.38631999492645264,0.17608977854251862,0.3177044689655304,0.14345663785934448,0.05866628140211105,0.1665669083595276
