,who,released,a,disco,version,of,the,doctor,who,theme,?
[,0.011881873942911625,0.21417824923992157,0.03893941268324852,0.3449675738811493,0.14466188848018646,0.010817250236868858,0.07130392640829086,0.09639045596122742,0.011881873942911625,0.23362614214420319,0.011015460826456547
note,0.208273783326149,0.12132672220468521,0.2587586045265198,0.18844807147979736,0.30156299471855164,0.1706424355506897,0.255229115486145,0.16248038411140442,0.208273783326149,0.14539147913455963,0.2754004895687103
6,0.06694239377975464,-0.008453933522105217,0.023897485807538033,0.0903477817773819,0.0518689826130867,0.055943556129932404,0.041227471083402634,0.026279309764504433,0.06694239377975464,-0.06804819405078888,0.045001473277807236
],0.03976386412978172,0.03719226270914078,-0.049516137689352036,0.011892189271748066,-0.07807204127311707,-0.035044461488723755,-0.04779602214694023,-0.048316486179828644,0.03976386412978172,-0.0785275250673294,-0.0022520492784678936
in,0.2792111933231354,0.2659924626350403,0.539380669593811,0.15415321290493011,0.19599339365959167,0.5696388483047485,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.21164380013942719,0.20430970191955566
1978,-0.09070061147212982,-0.06582091748714447,0.07501233369112015,0.004661467391997576,0.07786823809146881,0.13908278942108154,0.1314823180437088,-0.017560312524437904,-0.09070061147212982,0.05105770751833916,0.06364871561527252
a,0.36608949303627014,0.23456448316574097,1.0,0.19723480939865112,0.27132871747016907,0.5052502155303955,0.5829201340675354,0.22883038222789764,0.36608949303627014,0.2278088480234146,0.23916715383529663
disco,0.1301581710577011,0.302901953458786,0.19723480939865112,0.9999999403953552,0.2468753606081009,0.14281831681728363,0.18790096044540405,0.11815548688173294,0.1301581710577011,0.32810020446777344,0.14864695072174072
version,0.17217524349689484,0.32352519035339355,0.27132871747016907,0.2468753606081009,1.0000001192092896,0.14166875183582306,0.27268242835998535,0.16003715991973877,0.17217524349689484,0.3038923144340515,0.2573966085910797
of,0.2827862501144409,0.17721395194530487,0.5052502155303955,0.14281831681728363,0.14166875183582306,1.0,0.733189046382904,0.16895952820777893,0.2827862501144409,0.17537155747413635,0.1826142966747284
the,0.3733934462070465,0.24578391015529633,0.5829201340675354,0.18790096044540405,0.27268242835998535,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.22068053483963013
theme,0.1836521327495575,0.25492361187934875,0.2278088480234146,0.32810020446777344,0.3038923144340515,0.17537155747413635,0.2470158040523529,0.17665699124336243,0.1836521327495575,0.9999998807907104,0.21507632732391357
was,0.3318818509578705,0.32720035314559937,0.4508470594882965,0.17274609208106995,0.297456830739975,0.4069072902202606,0.48711544275283813,0.19672659039497375,0.3318818509578705,0.21860456466674805,0.18412111699581146
released,0.15033993124961853,1.0,0.23456448316574097,0.302901953458786,0.32352519035339355,0.17721395194530487,0.24578391015529633,0.16010989248752594,0.15033993124961853,0.25492361187934875,0.20329579710960388
in,0.2792111933231354,0.2659924626350403,0.539380669593811,0.15415321290493011,0.19599339365959167,0.5696388483047485,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.21164380013942719,0.20430970191955566
the,0.3733934462070465,0.24578391015529633,0.5829201340675354,0.18790096044540405,0.27268242835998535,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.22068053483963013
uk,0.10701356083154678,0.26469606161117554,0.19665123522281647,0.24415549635887146,0.1834692358970642,0.21513383090496063,0.2143084555864334,0.08348814398050308,0.10701356083154678,0.19620655477046967,0.20222434401512146
",",0.3365725874900818,0.2775750756263733,0.427140474319458,0.19080086052417755,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.21865783631801605,0.31091248989105225
denmark,0.212678462266922,0.157013401389122,0.1638673096895218,0.18238727748394012,0.16573360562324524,0.23152917623519897,0.2167552262544632,0.1095968708395958,0.212678462266922,0.18240730464458466,0.12332404404878616
and,0.41279885172843933,0.2706851661205292,0.3739250600337982,0.22075426578521729,0.1978406310081482,0.5116966962814331,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.2354547381401062,0.20544172823429108
australia,0.21276454627513885,0.21793247759342194,0.17524918913841248,0.13990314304828644,0.13396959006786346,0.2669609785079956,0.26828548312187195,0.15429547429084778,0.21276454627513885,0.1778440922498703,0.15702682733535767
by,0.39727845788002014,0.31595227122306824,0.32094135880470276,0.18436972796916962,0.21702225506305695,0.3646814823150635,0.4408751428127289,0.13681447505950928,0.39727845788002014,0.19824901223182678,0.17966607213020325
the,0.3733934462070465,0.24578391015529633,0.5829201340675354,0.18790096044540405,0.27268242835998535,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.2470158040523529,0.22068053483963013
group,0.33690139651298523,0.20232895016670227,0.2594761848449707,0.25919267535209656,0.14085935056209564,0.25542253255844116,0.30795547366142273,0.08302818983793259,0.33690139651298523,0.13971875607967377,0.13827809691429138
mankind,0.25386086106300354,0.15605288743972778,0.20854520797729492,0.17302200198173523,0.18337176740169525,0.243864044547081,0.29311031103134155,0.2517130970954895,0.25386086106300354,0.25667333602905273,0.20777957141399384
",",0.3365725874900818,0.2775750756263733,0.427140474319458,0.19080086052417755,0.2078275829553604,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.21865783631801605,0.31091248989105225
which,0.3688730001449585,0.2545137405395508,0.56894451379776,0.23529520630836487,0.28911566734313965,0.5011631846427917,0.6521818041801453,0.19030126929283142,0.3688730001449585,0.25756725668907166,0.25814583897590637
reached,0.14704298973083496,0.3505682945251465,0.21212449669837952,0.23250968754291534,0.15573741495609283,0.18604008853435516,0.29860952496528625,0.106363445520401,0.14704298973083496,0.1334511935710907,0.1518019139766693
number,0.21304799616336823,0.23365187644958496,0.2992287278175354,0.2109670490026474,0.1982547640800476,0.2778518795967102,0.35145696997642517,0.12537972629070282,0.21304799616336823,0.15484444797039032,0.19256845116615295
24,-0.03541684150695801,-0.08705784380435944,-0.04486379772424698,-0.05066373571753502,-0.09476033598184586,-0.02356693148612976,0.009148004464805126,0.009352179244160652,-0.03541684150695801,-0.07736188173294067,0.016154835000634193
in,0.2792111933231354,0.2659924626350403,0.539380669593811,0.15415321290493011,0.19599339365959167,0.5696388483047485,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.21164380013942719,0.20430970191955566
