,where,do,plenary,meetings,take,place,?
plenary,0.24313727021217346,0.2196377068758011,0.9999999403953552,0.3779415488243103,0.2150980830192566,0.23108741641044617,0.14263968169689178
meetings,0.26895588636398315,0.23015205562114716,0.3779415488243103,1.0,0.2817825973033905,0.30944496393203735,0.17293356359004974
in,0.5344807505607605,0.23402775824069977,0.286718487739563,0.24394764006137848,0.21975718438625336,0.38128477334976196,0.20430970191955566
the,0.5003893971443176,0.30239659547805786,0.34974274039268494,0.31532901525497437,0.31620436906814575,0.4179787337779999,0.22068053483963013
debating,0.276634156703949,0.30182090401649475,0.26087266206741333,0.4672240614891052,0.2576184570789337,0.2599162459373474,0.25251495838165283
chamber,0.24444323778152466,0.10256186872720718,0.2249927669763565,0.23115618526935577,0.11407864093780518,0.20627760887145996,0.04307165369391441
usually,0.4019157886505127,0.3498661518096924,0.2585792541503906,0.3085578382015228,0.2834988534450531,0.2219981700181961,0.19435347616672516
take,0.31621453166007996,0.40664049983024597,0.2150980830192566,0.2817825973033905,1.0,0.3971441090106964,0.21897350251674652
place,0.4786618947982788,0.2542041838169098,0.23108741641044617,0.30944496393203735,0.3971441090106964,1.0,0.2455766350030899
on,0.37630224227905273,0.3025321364402771,0.17568251490592957,0.2744849622249603,0.27423644065856934,0.32431602478027344,0.2714994251728058
wednesday,0.15600676834583282,0.1922561079263687,0.16131505370140076,0.2803635001182556,0.20367644727230072,0.21960236132144928,0.19706036150455475
afternoons,0.20788730680942535,0.20595073699951172,0.19739961624145508,0.29100120067596436,0.17402981221675873,0.2530900537967682,0.17047424614429474
from,0.3713873624801636,0.20424067974090576,0.15832997858524323,0.1672109067440033,0.21964672207832336,0.31214648485183716,0.19969791173934937
2,-0.060391753911972046,-0.09570206701755524,0.013007565401494503,0.03563370928168297,0.04550151526927948,-0.02660764940083027,0.001977203879505396
pm,0.10388312488794327,0.13409863412380219,0.1033160388469696,0.1646534651517868,0.17608901858329773,0.15050770342350006,0.1601153314113617
to,0.47735077142715454,0.38876664638519287,0.2691715657711029,0.2931969165802002,0.4075521230697632,0.3346366882324219,0.29463258385658264
6,0.09943273663520813,0.10582158714532852,0.013838060200214386,0.047230783849954605,0.15790387988090515,-0.04908852279186249,0.045001473277807236
pm,0.10388312488794327,0.13409863412380219,0.1033160388469696,0.1646534651517868,0.17608901858329773,0.15050770342350006,0.1601153314113617
and,0.43859338760375977,0.276123583316803,0.21317486464977264,0.27042466402053833,0.296702116727829,0.2813849449157715,0.20544172823429108
on,0.37630224227905273,0.3025321364402771,0.17568251490592957,0.2744849622249603,0.27423644065856934,0.32431602478027344,0.2714994251728058
thursdays,0.15751074254512787,0.14518596231937408,0.14105232059955597,0.35137176513671875,0.2259529083967209,0.27471020817756653,0.18020670115947723
from,0.3713873624801636,0.20424067974090576,0.15832997858524323,0.1672109067440033,0.21964672207832336,0.31214648485183716,0.19969791173934937
9:15,-0.09244035184383392,0.016328847035765648,0.13541683554649353,0.06679398566484451,0.006809533108025789,0.023128444328904152,0.06371255218982697
am,0.11167217046022415,0.2646884322166443,0.06391537934541702,0.21254196763038635,0.1435288041830063,0.19138945639133453,0.3437723219394684
to,0.47735077142715454,0.38876664638519287,0.2691715657711029,0.2931969165802002,0.4075521230697632,0.3346366882324219,0.29463258385658264
6,0.09943273663520813,0.10582158714532852,0.013838060200214386,0.047230783849954605,0.15790387988090515,-0.04908852279186249,0.045001473277807236
pm,0.10388312488794327,0.13409863412380219,0.1033160388469696,0.1646534651517868,0.17608901858329773,0.15050770342350006,0.1601153314113617
.,0.41390106081962585,0.3613996207714081,0.23961147665977478,0.2372949719429016,0.3045158088207245,0.2844318151473999,0.4130953550338745
