,what,is,another,word,for,inclusions,in,sedimentary,rocks,?
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2835540175437927,0.4739971458911896,0.24164175987243652,0.6662389636039734,0.2576860189437866,0.24413059651851654,0.22068053483963013
principle,0.3569014072418213,0.20634804666042328,0.2777160108089447,0.24896831810474396,0.19208170473575592,0.35612988471984863,0.16382117569446564,0.285780668258667,0.22027553617954254,0.2002675086259842
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.23799116909503937,0.4185989499092102,0.3065246045589447,0.5696388483047485,0.30878832936286926,0.2664484679698944,0.1826142966747284
inclusions,0.34958744049072266,0.2591908276081085,0.18573282659053802,0.17695093154907227,0.3081701993942261,1.0,0.19469688832759857,0.31268346309661865,0.26138752698898315,0.3281819224357605
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.20273149013519287,0.5064792633056641,0.3139456808567047,0.4954058527946472,0.30291467905044556,0.29739323258399963,0.20544172823429108
components,0.20314843952655792,0.2754068970680237,0.27745190262794495,0.15927447378635406,0.2518349289894104,0.36407536268234253,0.1959146112203598,0.335700124502182,0.2980457842350006,0.12744711339473724
states,0.21526020765304565,0.21939043700695038,0.20684942603111267,0.14440502226352692,0.2496437132358551,0.1993328183889389,0.3977442979812622,0.15813200175762177,0.187149778008461,0.16272737085819244
that,0.6297725439071655,0.3995479643344879,0.5273378491401672,0.31071701645851135,0.4137635827064514,0.3471214175224304,0.435920387506485,0.27547886967658997,0.2636556923389435,0.32716336846351624
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.24605005979537964,0.4464869201183319,0.30702945590019226,0.5201468467712402,0.23855918645858765,0.30537211894989014,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.359900563955307,0.15935911238193512,0.39140474796295166,0.22900378704071045,0.4080928862094879,0.170785054564476,0.14274846017360687,0.2433311939239502
sedimentary,0.2219204604625702,0.2035568505525589,0.2027677446603775,0.14667274057865143,0.18431241810321808,0.31268346309661865,0.23285479843616486,1.0,0.6644880771636963,0.1575118452310562
rocks,0.24802041053771973,0.23288390040397644,0.20755961537361145,0.15204620361328125,0.16357912123203278,0.26138752698898315,0.23642492294311523,0.6644880771636963,0.9999999403953552,0.17394492030143738
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.24605005979537964,0.4464869201183319,0.30702945590019226,0.5201468467712402,0.23855918645858765,0.30537211894989014,0.31091248989105225
if,0.5277165174484253,0.30927813053131104,0.4655850827693939,0.2282087504863739,0.3609124422073364,0.3581986725330353,0.2589588761329651,0.14603078365325928,0.12306330353021622,0.4441644251346588
inclusions,0.34958744049072266,0.2591908276081085,0.18573282659053802,0.17695093154907227,0.3081701993942261,1.0,0.19469688832759857,0.31268346309661865,0.26138752698898315,0.3281819224357605
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.19737806916236877,0.3357032239437103,0.2301061749458313,0.3087427020072937,0.1484195441007614,0.15845486521720886,0.40561532974243164
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.39034852385520935,0.4111599624156952,0.33277076482772827,0.3586423695087433,0.2567974030971527,0.26878252625465393,0.32389625906944275
clasts,0.20270773768424988,0.28672051429748535,0.2115880697965622,0.19856369495391846,0.21434779465198517,0.33568069338798523,0.23013649880886078,0.5544866323471069,0.5334120392799377,0.15844303369522095
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.18387003242969513,0.3639558255672455,0.245523139834404,0.3326910734176636,0.17169854044914246,0.15879076719284058,0.42300865054130554
are,0.29724663496017456,0.5330929756164551,0.23159852623939514,0.2003016620874405,0.3895993232727051,0.42846938967704773,0.3841303884983063,0.2701125144958496,0.33511796593666077,0.24591213464736938
found,0.1796332150697708,0.3526395261287689,0.21686312556266785,0.1238228902220726,0.19707661867141724,0.24377822875976562,0.39141854643821716,0.30481916666030884,0.33259448409080505,0.16790300607681274
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.19815877079963684,0.4322226941585541,0.19469688832759857,1.0,0.23285479843616486,0.23642492294311523,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3246598243713379,0.44038116931915283,0.2346402406692505,0.539380669593811,0.22127015888690948,0.2111329436302185,0.23916715383529663
formation,0.16291823983192444,0.25176525115966797,0.2194318026304245,0.14650572836399078,0.20318037271499634,0.22696112096309662,0.27297577261924744,0.4871309995651245,0.42864593863487244,0.09831923991441727
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.24605005979537964,0.4464869201183319,0.30702945590019226,0.5201468467712402,0.23855918645858765,0.30537211894989014,0.31091248989105225
then,0.4072686731815338,0.24618037045001984,0.41574007272720337,0.18827447295188904,0.3392637073993683,0.16303178668022156,0.36253848671913147,0.158636212348938,0.18642613291740417,0.2884598970413208
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2835540175437927,0.4739971458911896,0.24164175987243652,0.6662389636039734,0.2576860189437866,0.24413059651851654,0.22068053483963013
inclusions,0.34958744049072266,0.2591908276081085,0.18573282659053802,0.17695093154907227,0.3081701993942261,1.0,0.19469688832759857,0.31268346309661865,0.26138752698898315,0.3281819224357605
must,0.30362528562545776,0.3093329071998596,0.3632684350013733,0.16075223684310913,0.31100544333457947,0.33228549361228943,0.18276341259479523,0.1848248541355133,0.18584714829921722,0.23707495629787445
be,0.3929833769798279,0.4819129705429077,0.42243969440460205,0.27129513025283813,0.3801851272583008,0.33553463220596313,0.3481820821762085,0.27282798290252686,0.2445140779018402,0.3324260413646698
