,iqbal,worried,that,india,'s,mostly,hindu,population,would,do,what,to,muslim,heritage,and,culture,?
iqbal,1.0000001192092896,0.1131441667675972,0.17375388741493225,0.38283511996269226,0.07606908679008484,0.0998566597700119,0.386536568403244,0.12721756100654602,0.16778628528118134,0.16794931888580322,0.26565322279930115,0.21185679733753204,0.4648188054561615,0.151590958237648,0.26650312542915344,0.13442204892635345,0.18507060408592224
expressed,0.15380631387233734,0.2776878774166107,0.3005213737487793,0.18056899309158325,-0.04779237508773804,0.1124555841088295,0.21175915002822876,0.20232176780700684,0.30341774225234985,0.1744767129421234,0.20227427780628204,0.2824164628982544,0.23759697377681732,0.12609051167964935,0.24103379249572754,0.18788810074329376,0.17175263166427612
fears,0.16891317069530487,0.3919990062713623,0.3763604462146759,0.18795126676559448,0.012663505971431732,0.13651341199874878,0.17523285746574402,0.16824817657470703,0.34951692819595337,0.2079356610774994,0.2908751368522644,0.2874491810798645,0.2521377503871918,0.0943956971168518,0.32989200949668884,0.1571216881275177,0.18915265798568726
that,0.17375388741493225,0.39578285813331604,1.0,0.23341698944568634,0.04397977516055107,0.3136579096317291,0.23482787609100342,0.20048558712005615,0.5895259380340576,0.44533252716064453,0.6297725439071655,0.5436353087425232,0.24297045171260834,0.19050413370132446,0.4731321930885315,0.24586836993694305,0.32716336846351624
not,0.17318782210350037,0.35893622040748596,0.6600887179374695,0.20363959670066833,0.002583299996331334,0.2850783169269562,0.22893118858337402,0.19793428480625153,0.5854519605636597,0.6619802713394165,0.5449194312095642,0.5149973034858704,0.24381160736083984,0.17586353421211243,0.39099299907684326,0.17592349648475647,0.41942933201789856
only,0.09887901693582535,0.2544693946838379,0.6004067063331604,0.20415101945400238,0.08984304964542389,0.4464436173439026,0.2151220738887787,0.2395031452178955,0.4579673111438751,0.36438748240470886,0.41415658593177795,0.5096819996833801,0.2344035506248474,0.18920588493347168,0.4542345404624939,0.1373477727174759,0.2767370045185089
would,0.16778628528118134,0.43706199526786804,0.5895259380340576,0.21025492250919342,0.036968596279621124,0.1854507029056549,0.19145014882087708,0.13726437091827393,1.0000001192092896,0.4102592170238495,0.45766422152519226,0.5965728163719177,0.22541315853595734,0.15201716125011444,0.34921059012413025,0.11985217034816742,0.37178951501846313
secularism,0.32680636644363403,0.14253635704517365,0.23882903158664703,0.2565714120864868,0.0074715809896588326,0.2188384085893631,0.3950185775756836,0.23746006190776825,0.15915879607200623,0.1750054657459259,0.268210232257843,0.17985659837722778,0.41515979170799255,0.1987684667110443,0.22261887788772583,0.38023537397384644,0.17426349222660065
and,0.26650312542915344,0.24906258285045624,0.4731321930885315,0.2782815098762512,0.06895173341035843,0.45551156997680664,0.24191761016845703,0.23080337047576904,0.34921059012413025,0.276123583316803,0.31309178471565247,0.48971283435821533,0.255716472864151,0.20273086428642273,1.0,0.2617773115634918,0.20544172823429108
secular,0.35912689566612244,0.10677554458379745,0.24409061670303345,0.28179389238357544,0.008703164756298065,0.18798720836639404,0.3943663537502289,0.1940612643957138,0.1962616741657257,0.1751820147037506,0.26444122195243835,0.19456274807453156,0.45201414823532104,0.19363901019096375,0.24889163672924042,0.27602267265319824,0.13290788233280182
nationalism,0.27378299832344055,0.1987658590078354,0.23851434886455536,0.2306090146303177,0.010215234011411667,0.20634223520755768,0.32432907819747925,0.21922801434993744,0.18338480591773987,0.14633068442344666,0.25555992126464844,0.2103620171546936,0.3991055190563202,0.27013179659843445,0.20760926604270935,0.42108064889907837,0.1636960208415985
weaken,0.10726527869701385,0.3143061697483063,0.2714628279209137,0.12475723028182983,0.03142296522855759,0.17402851581573486,0.12054674327373505,0.17834575474262238,0.2839360535144806,0.24023176729679108,0.2361743003129959,0.30476653575897217,0.1809753030538559,0.0911458432674408,0.29098576307296753,0.127741277217865,0.0778965875506401
