,when,was,abc1,discontinued,because,of,low,viewership,?
however,0.5574322938919067,0.37327632308006287,0.20734792947769165,0.35097536444664,0.6676258444786072,0.3800618350505829,0.31664201617240906,0.3584133982658386,0.2152075469493866
",",0.36674630641937256,0.45456063747406006,0.27806395292282104,0.24634304642677307,0.372031033039093,0.4946078956127167,0.25131091475486755,0.2360859364271164,0.31091248989105225
on,0.37706470489501953,0.3909217119216919,0.2829354703426361,0.28722715377807617,0.33021900057792664,0.3966929316520691,0.23674005270004272,0.3019605576992035,0.2714994251728058
september,0.2483685463666916,0.4425655007362366,0.2691110670566559,0.3050019145011902,0.17367640137672424,0.16787530481815338,0.1441943198442459,0.2375727891921997,0.2665146589279175
8,0.010968375019729137,-0.07426877319812775,0.01816476695239544,-0.013628851622343063,-0.038664814084768295,0.03280399739742279,0.017518319189548492,-0.06806843727827072,-0.04056251794099808
",",0.36674630641937256,0.45456063747406006,0.27806395292282104,0.24634304642677307,0.372031033039093,0.4946078956127167,0.25131091475486755,0.2360859364271164,0.31091248989105225
2007,-0.1582726538181305,-0.29168957471847534,-0.09915825724601746,-0.09720224142074585,-0.17909441888332367,-0.21244128048419952,0.0013996063498780131,-0.19925923645496368,-0.1664225310087204
",",0.36674630641937256,0.45456063747406006,0.27806395292282104,0.24634304642677307,0.372031033039093,0.4946078956127167,0.25131091475486755,0.2360859364271164,0.31091248989105225
disney,0.17460092902183533,0.22590678930282593,0.2650330066680908,0.23957258462905884,0.18009637296199799,0.19926400482654572,0.13672538101673126,0.262569785118103,0.22150784730911255
announced,0.15404565632343292,0.34205326437950134,0.21219909191131592,0.4332239627838135,0.2248714119195938,0.22339491546154022,0.10263597220182419,0.28757813572883606,0.17416009306907654
that,0.5860282182693481,0.33670201897621155,0.1852860152721405,0.24089078605175018,0.6503599286079407,0.41498205065727234,0.2722960412502289,0.3408862352371216,0.32716336846351624
it,0.4775012135505676,0.4577186405658722,0.16414684057235718,0.2386336773633957,0.4849289059638977,0.38761502504348755,0.27361348271369934,0.3149981200695038,0.25732165575027466
would,0.4219970703125,0.41663143038749695,0.20309072732925415,0.3604377508163452,0.5055220723152161,0.3353942930698395,0.21881912648677826,0.3021467626094818,0.37178951501846313
discontinue,0.24869145452976227,0.25742071866989136,0.1801169365644455,0.8807626962661743,0.30229178071022034,0.13801102340221405,0.22916315495967865,0.30682554841041565,0.22003741562366486
abc1,0.1701774001121521,0.21715706586837769,1.0,0.20823723077774048,0.16350367665290833,0.17286837100982666,0.14442776143550873,0.28804534673690796,0.23792004585266113
citing,0.2373456358909607,0.16668878495693207,0.21248187124729156,0.2972150444984436,0.26960641145706177,0.23972856998443604,0.1590186059474945,0.330350786447525,0.2650623619556427
to,0.5423505902290344,0.3636345863342285,0.2436092644929886,0.2673664093017578,0.5166091918945312,0.41548454761505127,0.2700593173503876,0.29246488213539124,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,0.2300923466682434,0.23268692195415497,0.44596394896507263,0.733189046382904,0.2544175982475281,0.30921506881713867,0.22068053483963013
channel,0.19041511416435242,0.15624403953552246,0.2421577125787735,0.20045393705368042,0.2112375646829605,0.1671900898218155,0.16031186282634735,0.39866766333580017,0.20176179707050323
's,-0.03368149697780609,0.008974763564765453,0.027025554329156876,0.05885791406035423,0.05210670828819275,-0.03817026689648628,0.08605270087718964,0.08738291263580322,-0.023395681753754616
inability,0.2982528805732727,0.14070133864879608,0.14590197801589966,0.22111043334007263,0.40268370509147644,0.2603597044944763,0.2684566378593445,0.3186401128768921,0.24213573336601257
to,0.5423505902290344,0.3636345863342285,0.2436092644929886,0.2673664093017578,0.5166091918945312,0.41548454761505127,0.2700593173503876,0.29246488213539124,0.29463258385658264
attain,0.19380034506320953,0.15991374850273132,0.06632368266582489,0.15748527646064758,0.2588738203048706,0.27881741523742676,0.2772069275379181,0.2697976529598236,0.16433016955852509
sustainable,0.12927335500717163,0.13167893886566162,0.0696345791220665,0.21209804713726044,0.20541341602802277,0.24827149510383606,0.22441823780536652,0.3126240372657776,0.22072604298591614
viewership,0.1621217429637909,0.2425418645143509,0.28804534673690796,0.3053939938545227,0.25122252106666565,0.20606210827827454,0.2164173424243927,1.0,0.23784568905830383
.,0.475719153881073,0.40146201848983765,0.345625102519989,0.24197247624397278,0.45765790343284607,0.5352458953857422,0.2639716863632202,0.3083479702472687,0.4130953550338745
