,what,type,of,number,generators,make,use,of,prime,numbers,?
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2556258738040924,0.17622415721416473,0.09026195853948593,0.13823524117469788,0.23935265839099884,1.0,0.26943376660346985,0.11276303976774216
numbers,0.24586999416351318,0.1971423625946045,0.228018656373024,0.7132124304771423,0.330871045589447,0.22566723823547363,0.3483348786830902,0.228018656373024,0.26943376660346985,1.0,0.19297972321510315
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.3537501394748688,0.3173234164714813,0.4522273540496826,0.4174068570137024,0.39081433415412903,0.12279369682073593,0.37760815024375916,0.24591213464736938
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.36623433232307434,0.26639994978904724,0.45424434542655945,0.3900981843471527,0.4924938678741455,0.20427973568439484,0.2499070018529892,0.21848613023757935
used,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.23600076138973236,0.31602951884269714,0.37677720189094543,0.7127541303634644,0.3075267970561981,0.1468653529882431,0.30476072430610657,0.22430120408535004
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.2861633002758026,0.22097858786582947,0.386745423078537,0.47655582427978516,0.4185989499092102,0.17833133041858673,0.2885598838329315,0.264628142118454
hash,0.2807838022708893,0.16510450839996338,0.14260394871234894,0.26325860619544983,0.2706194818019867,0.21723338961601257,0.3233643174171448,0.14260394871234894,0.13766071200370789,0.280021607875824,0.27601274847984314
tables,0.1925095021724701,0.1507398784160614,0.18507932126522064,0.2423832267522812,0.266095906496048,0.1832810491323471,0.28864675760269165,0.18507932126522064,0.09653579443693161,0.3117469251155853,0.2059604525566101
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28545793890953064,0.2554577887058258,0.4160483181476593,0.34145063161849976,0.5116966962814331,0.21528048813343048,0.24053069949150085,0.20544172823429108
pseudorandom,0.2753831148147583,0.26318076252937317,0.27134671807289124,0.3439185619354248,0.3765355050563812,0.2615783214569092,0.3055908679962158,0.27134671807289124,0.1970093846321106,0.389478474855423,0.24948620796203613
number,0.23046229779720306,0.2370503842830658,0.2778518795967102,1.0,0.2689470946788788,0.21349433064460754,0.27984145283699036,0.2778518795967102,0.2556258738040924,0.7132124304771423,0.19256845116615295
generators,0.24249255657196045,0.2612365186214447,0.2220006138086319,0.2689470946788788,1.0,0.28127411007881165,0.3831746578216553,0.2220006138086319,0.17622415721416473,0.330871045589447,0.20217099785804749
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.3256329298019409,0.23543702065944672,0.3547073304653168,0.3711656630039215,0.5352458953857422,0.17658381164073944,0.2591777741909027,0.4130953550338745
