,how,many,organizations,issued,the,joint,statement,on,climate,change,?
in,0.2601168751716614,0.41474202275276184,0.25369027256965637,0.17191201448440552,0.6662389636039734,0.19035212695598602,0.17217876017093658,0.46853652596473694,0.24209141731262207,0.2510564923286438,0.20430970191955566
2001,-0.07048824429512024,-0.12044508010149002,-0.10576401650905609,-0.05002593249082565,-0.07246288657188416,0.03209821507334709,-0.14839117228984833,-0.08765829354524612,-0.14139007031917572,-0.11988900601863861,-0.08740651607513428
",",0.22659391164779663,0.40610817074775696,0.21690145134925842,0.21577242016792297,0.4933079481124878,0.1446857750415802,0.22861604392528534,0.49057599902153015,0.224740669131279,0.2752361297607422,0.31091248989105225
16,0.028703972697257996,0.06954623758792877,0.0007072996813803911,0.02966240420937538,0.0058518932200968266,0.10726585984230042,-0.06322356313467026,0.045714378356933594,-0.02654479444026947,0.08426803350448608,0.08446579426527023
national,0.13248363137245178,0.21160955727100372,0.2888552248477936,0.17449969053268433,0.32739606499671936,0.2269321233034134,0.12410785257816315,0.18674622476100922,0.18328340351581573,0.1287579983472824,0.15643028914928436
science,0.23506508767604828,0.2819631099700928,0.22515222430229187,0.12242744117975235,0.24037593603134155,0.1408468782901764,0.167688250541687,0.2139003723859787,0.2623327076435089,0.18903490900993347,0.17974960803985596
academies,0.18527130782604218,0.2804204225540161,0.40967199206352234,0.14545351266860962,0.25615057349205017,0.18557576835155487,0.15494737029075623,0.1873045116662979,0.19274300336837769,0.13881506025791168,0.09729845076799393
issued,0.09768987447023392,0.11960393935441971,0.23940187692642212,0.9999999403953552,0.22837360203266144,0.27209922671318054,0.31667712330818176,0.2797412872314453,0.1718258112668991,0.09773190319538116,0.169851616024971
a,0.29312583804130554,0.2872205972671509,0.21523034572601318,0.2503507733345032,0.5829201340675354,0.22126229107379913,0.2952324151992798,0.3848365545272827,0.1805623322725296,0.3047741651535034,0.23916715383529663
joint,0.14203397929668427,0.10352055728435516,0.2457175999879837,0.27209922671318054,0.2854326069355011,1.0000001192092896,0.1536673605442047,0.18687814474105835,0.10191357135772705,0.110409677028656,0.15804731845855713
statement,0.3026704788208008,0.19208525121212006,0.2845337688922882,0.31667712330818176,0.20954233407974243,0.1536673605442047,1.0000001192092896,0.21737860143184662,0.16502417623996735,0.27682745456695557,0.28978636860847473
on,0.32655060291290283,0.32520127296447754,0.21576854586601257,0.2797412872314453,0.5107308030128479,0.18687814474105835,0.21737860143184662,0.9999999403953552,0.23228000104427338,0.3118341565132141,0.2714994251728058
climate,0.23680974543094635,0.22610758244991302,0.19583716988563538,0.1718258112668991,0.2693597674369812,0.10191357135772705,0.16502417623996735,0.23228000104427338,1.0000001192092896,0.3181478679180145,0.19998492300510406
change,0.3957580626010895,0.2714919149875641,0.19688628613948822,0.09773190319538116,0.3641999065876007,0.110409677028656,0.27682745456695557,0.3118341565132141,0.3181478679180145,0.9999998807907104,0.24115969240665436
.,0.3287222981452942,0.3974229395389557,0.2218165397644043,0.2158607542514801,0.5934505462646484,0.19999448955059052,0.21827399730682373,0.49257001280784607,0.22208234667778015,0.3244723975658417,0.4130953550338745
