,what,role,did,luther,play,in,other,areas,',churches,?
he,0.3114890456199646,0.2759230136871338,0.3292143940925598,0.2454872578382492,0.3066076636314392,0.41690486669540405,0.24213658273220062,0.19388775527477264,0.23641161620616913,0.1968420445919037,0.2089974731206894
concentrated,0.20476274192333221,0.16546331346035004,0.23969793319702148,0.04999547451734543,0.15021879971027374,0.29073235392570496,0.2649035155773163,0.33876094222068787,0.13103918731212616,0.16387726366519928,0.11501483619213104
on,0.34226128458976746,0.16022825241088867,0.2670976221561432,0.19090485572814941,0.22181138396263123,0.46853652596473694,0.3410046398639679,0.25179940462112427,0.30823177099227905,0.171710804104805,0.2714994251728058
the,0.42745697498321533,0.26607486605644226,0.34736719727516174,0.1759674996137619,0.24793598055839539,0.6662389636039734,0.44152235984802246,0.3311663568019867,0.474788099527359,0.2626241147518158,0.22068053483963013
church,0.1944202184677124,0.12495315074920654,0.16781097650527954,0.379041463136673,0.18401136994361877,0.2493300437927246,0.18248632550239563,0.15724866092205048,0.16788123548030853,0.7955681681632996,0.18081501126289368
in,0.30808621644973755,0.243671715259552,0.2593238651752472,0.20523880422115326,0.24321173131465912,1.0,0.39989137649536133,0.33029478788375854,0.4158826768398285,0.2825169265270233,0.20430970191955566
the,0.42745697498321533,0.26607486605644226,0.34736719727516174,0.1759674996137619,0.24793598055839539,0.6662389636039734,0.44152235984802246,0.3311663568019867,0.474788099527359,0.2626241147518158,0.22068053483963013
electorate,0.2379383146762848,0.13980014622211456,0.18803367018699646,0.1452181488275528,0.13188984990119934,0.2352893352508545,0.10673338919878006,0.2526210844516754,0.203522726893425,0.25556933879852295,0.1467054933309555
of,0.33290785551071167,0.1797693818807602,0.2513895630836487,0.1719115972518921,0.15350224077701569,0.5696388483047485,0.38583824038505554,0.2803763747215271,0.39136970043182373,0.29080384969711304,0.1826142966747284
saxony,0.20899251103401184,0.11500918120145798,0.1633453220129013,0.2548035979270935,0.12358153611421585,0.25673431158065796,0.15960587561130524,0.20125870406627655,0.19147638976573944,0.25154662132263184,0.17603406310081482
",",0.3087472915649414,0.199491485953331,0.3015086054801941,0.23255878686904907,0.2231253683567047,0.5201468467712402,0.4446498453617096,0.2789289653301239,0.5178600549697876,0.247207909822464,0.31091248989105225
acting,0.2151678204536438,0.4023270905017853,0.21370171010494232,0.17525450885295868,0.17440441250801086,0.250032514333725,0.19202890992164612,0.10144077241420746,0.16820275783538818,0.13654185831546783,0.15597198903560638
only,0.41415658593177795,0.18336576223373413,0.4039593040943146,0.10428047180175781,0.2451452910900116,0.42992329597473145,0.43831267952919006,0.2994312644004822,0.33912014961242676,0.1973591297864914,0.2767370045185089
as,0.31749409437179565,0.4036863148212433,0.3596470057964325,0.20242992043495178,0.2074424922466278,0.3887844979763031,0.42805421352386475,0.24697712063789368,0.41391023993492126,0.24591930210590363,0.27043893933296204
an,0.2821882665157318,0.23719340562820435,0.22598257660865784,0.10983039438724518,0.1214400976896286,0.2605783939361572,0.1556563824415207,0.1425553858280182,0.36139753460884094,0.09751348942518234,0.19793890416622162
adviser,0.21669569611549377,0.290888249874115,0.2502482533454895,0.2124389111995697,0.14907300472259521,0.24729514122009277,0.18745478987693787,0.20233261585235596,0.24737496674060822,0.17461688816547394,0.15140973031520844
to,0.455847829580307,0.17841029167175293,0.4452643394470215,0.18029534816741943,0.272149920463562,0.45010748505592346,0.4193183183670044,0.29808273911476135,0.34544456005096436,0.2533203363418579,0.29463258385658264
churches,0.17877253890037537,0.09065418690443039,0.21651899814605713,0.36007383465766907,0.15857556462287903,0.2825169265270233,0.3005709648132324,0.263838529586792,0.1007133200764656,1.0000001192092896,0.19824735820293427
in,0.30808621644973755,0.243671715259552,0.2593238651752472,0.20523880422115326,0.24321173131465912,1.0,0.39989137649536133,0.33029478788375854,0.4158826768398285,0.2825169265270233,0.20430970191955566
new,0.2130378633737564,0.14961616694927216,0.227974995970726,0.14555130898952484,0.1875983029603958,0.3758552670478821,0.2957918047904968,0.1423102170228958,0.23426499962806702,0.17709745466709137,0.14782847464084625
territories,0.2053624987602234,0.09217128157615662,0.14733213186264038,0.09688545763492584,0.11680766940116882,0.27001065015792847,0.2754804790019989,0.4040610194206238,0.13856327533721924,0.2657710313796997,0.11298645287752151
",",0.3087472915649414,0.199491485953331,0.3015086054801941,0.23255878686904907,0.2231253683567047,0.5201468467712402,0.4446498453617096,0.2789289653301239,0.5178600549697876,0.247207909822464,0.31091248989105225
many,0.36131182312965393,0.24574100971221924,0.375588983297348,0.2471185326576233,0.21130207180976868,0.41474202275276184,0.6324484348297119,0.38976719975471497,0.15973903238773346,0.3129976987838745,0.2124512493610382
of,0.33290785551071167,0.1797693818807602,0.2513895630836487,0.1719115972518921,0.15350224077701569,0.5696388483047485,0.38583824038505554,0.2803763747215271,0.39136970043182373,0.29080384969711304,0.1826142966747284
which,0.5261979103088379,0.18845273554325104,0.2750149369239807,0.17501473426818848,0.24836887419223785,0.4840516746044159,0.50507652759552,0.34350457787513733,0.32852497696876526,0.2452508509159088,0.25814583897590637
followed,0.20169416069984436,0.1747560203075409,0.2675115466117859,0.1997951716184616,0.15513034164905548,0.3307904005050659,0.247264102101326,0.17036430537700653,0.2283540517091751,0.20789459347724915,0.20567169785499573
his,0.26976513862609863,0.27668386697769165,0.3546801507472992,0.27093374729156494,0.26032835245132446,0.3598145842552185,0.23453344404697418,0.15602530539035797,0.2791537940502167,0.15361304581165314,0.18075084686279297
saxon,0.19151967763900757,0.035010356456041336,0.1654985100030899,0.22933059930801392,0.10554198175668716,0.20249444246292114,0.15814857184886932,0.1700354665517807,0.10268637537956238,0.3184507489204407,0.14814330637454987
model,0.2303347885608673,0.24766430258750916,0.13862785696983337,0.02681276760995388,0.16847556829452515,0.2267826348543167,0.12364553660154343,0.13197742402553558,0.15115152299404144,0.09045529365539551,0.14843042194843292
.,0.3567904531955719,0.22067026793956757,0.35288307070732117,0.24907569587230682,0.25552695989608765,0.5591574311256409,0.41511186957359314,0.23760369420051575,0.4806240200996399,0.28599661588668823,0.4130953550338745
