,what,year,did,the,financial,interest,and,syndication,rules,result,in,abc,'s,decision,to,split,abc,films,into,two,companies,?
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.23881284892559052,0.27232617139816284,0.4954058527946472,0.2597505450248718,0.2252369076013565,0.25670310854911804,1.0,0.1697147786617279,-0.037580832839012146,0.2212151288986206,0.45010748505592346,0.24171817302703857,0.1697147786617279,0.19618625938892365,0.38021373748779297,0.36463531851768494,0.2321794629096985,0.20430970191955566
1972,-0.19211961328983307,0.0691191628575325,-0.09581880271434784,0.017579182982444763,0.07781904935836792,-0.11510124802589417,-0.06165798008441925,0.031854502856731415,-0.03655487671494484,-0.08485005050897598,0.07430855184793472,0.038233473896980286,0.02745038829743862,0.003704001661390066,-0.14972050487995148,-0.0005573020898737013,0.038233473896980286,-0.044449593871831894,-0.06159215793013573,-0.0473877377808094,-0.010993361473083496,-0.13323214650154114
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.25465908646583557,0.2741461396217346,0.6633074283599854,0.23775799572467804,0.23899291455745697,0.23341737687587738,0.5201468467712402,0.2097204476594925,-0.0016132977325469255,0.2818170189857483,0.44245919585227966,0.26985031366348267,0.2097204476594925,0.2246396839618683,0.2826121151447296,0.35859420895576477,0.28041911125183105,0.31091248989105225
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.29952070116996765,0.197127103805542,0.5171257257461548,0.3215782940387726,0.27022838592529297,0.27778977155685425,0.6662389636039734,0.2068762183189392,-0.01540423184633255,0.2905151844024658,0.535392165184021,0.2967630624771118,0.2068762183189392,0.23072484135627747,0.39493247866630554,0.43858039379119873,0.26917189359664917,0.22068053483963013
new,0.2130378633737564,0.25045546889305115,0.227974995970726,0.3845241069793701,0.23207570612430573,0.16557207703590393,0.31402453780174255,0.21853801608085632,0.1916801631450653,0.1395891159772873,0.3758552670478821,0.20663127303123474,-0.008355522528290749,0.12823083996772766,0.33159172534942627,0.18129007518291473,0.20663127303123474,0.14225825667381287,0.2611604928970337,0.2712784707546234,0.17638935148715973,0.14782847464084625
rules,0.3341682255268097,0.20772826671600342,0.26674893498420715,0.27022838592529297,0.17992962896823883,0.17514842748641968,0.24352850019931793,0.19882169365882874,0.9999998807907104,0.2373700588941574,0.2252369076013565,0.23219576478004456,-0.025976654142141342,0.39363014698028564,0.24270765483379364,0.10556528717279434,0.23219576478004456,0.12301718443632126,0.1486307829618454,0.18738038837909698,0.19127653539180756,0.22111085057258606
resulted,0.14803820848464966,0.21686534583568573,0.27626562118530273,0.2975946068763733,0.2614443302154541,0.2518939673900604,0.28832435607910156,0.19712921977043152,0.22774894535541534,0.5280629396438599,0.3197503983974457,0.22261758148670197,-0.07127729803323746,0.28222960233688354,0.24989460408687592,0.16649051010608673,0.22261758148670197,0.17537465691566467,0.27620241045951843,0.24797244369983673,0.16502392292022705,0.1391388475894928
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.23881284892559052,0.27232617139816284,0.4954058527946472,0.2597505450248718,0.2252369076013565,0.25670310854911804,1.0,0.1697147786617279,-0.037580832839012146,0.2212151288986206,0.45010748505592346,0.24171817302703857,0.1697147786617279,0.19618625938892365,0.38021373748779297,0.36463531851768494,0.2321794629096985,0.20430970191955566
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.29952070116996765,0.197127103805542,0.5171257257461548,0.3215782940387726,0.27022838592529297,0.27778977155685425,0.6662389636039734,0.2068762183189392,-0.01540423184633255,0.2905151844024658,0.535392165184021,0.2967630624771118,0.2068762183189392,0.23072484135627747,0.39493247866630554,0.43858039379119873,0.26917189359664917,0.22068053483963013
company,0.2333769053220749,0.1253320872783661,0.16800642013549805,0.26591673493385315,0.3653959333896637,0.2375951111316681,0.23788511753082275,0.2802751064300537,0.1189793199300766,0.10052897036075592,0.22141718864440918,0.16210390627384186,0.003266559913754463,0.24523599445819855,0.24903783202171326,0.1028846949338913,0.16210390627384186,0.24672406911849976,0.14657136797904968,0.15919356048107147,0.7287532687187195,0.12195809185504913
