,if,the,head,of,government,refuses,to,enforce,a,decision,of,the,highest,court,what,terminology,could,be,used,?
civil,0.12512178719043732,0.2477465271949768,0.05735510215163231,0.24698495864868164,0.30626749992370605,0.1965189427137375,0.2019355595111847,0.3218132555484772,0.21693918108940125,0.25410568714141846,0.24698495864868164,0.2477465271949768,0.16038212180137634,0.23601488769054413,0.15091551840305328,0.08912484347820282,0.16472849249839783,0.18061059713363647,0.18663932383060455,0.1494513899087906
disobedience,0.20446431636810303,0.30963727831840515,0.11627155542373657,0.31932318210601807,0.39617401361465454,0.398898720741272,0.30665844678878784,0.45003432035446167,0.25352153182029724,0.35355138778686523,0.31932318210601807,0.30963727831840515,0.16652023792266846,0.3648757040500641,0.3298627436161041,0.22011755406856537,0.2661627531051636,0.2944406270980835,0.16147232055664062,0.19890835881233215
is,0.30927813053131104,0.5823672413825989,0.23193342983722687,0.4854315221309662,0.20343491435050964,0.23984134197235107,0.42745086550712585,0.26115718483924866,0.658733606338501,0.2514069080352783,0.4854315221309662,0.5823672413825989,0.27460670471191406,0.20797641575336456,0.28837618231773376,0.19339364767074585,0.2763098180294037,0.4819129705429077,0.3288823366165161,0.22961433231830597
usually,0.44677165150642395,0.36782920360565186,0.21788038313388824,0.33931583166122437,0.2110610455274582,0.19341519474983215,0.3824864327907562,0.24687860906124115,0.46690207719802856,0.19945642352104187,0.33931583166122437,0.36782920360565186,0.21063832938671112,0.17856739461421967,0.32521089911460876,0.26272451877593994,0.35161092877388,0.4821065366268158,0.4620378017425537,0.19435347616672516
defined,0.28853052854537964,0.2634572982788086,0.11018558591604233,0.2659633457660675,0.1745672971010208,0.02563081681728363,0.21911276876926422,0.282603919506073,0.25929558277130127,0.12846039235591888,0.2659633457660675,0.2634572982788086,0.13638053834438324,0.06638956815004349,0.25343453884124756,0.38502904772758484,0.1849004328250885,0.31403958797454834,0.30729812383651733,0.22494901716709137
as,0.3354816734790802,0.48381632566452026,0.23658350110054016,0.3886612355709076,0.1883569210767746,0.1718253344297409,0.42092081904411316,0.26045477390289307,0.39550232887268066,0.21492452919483185,0.3886612355709076,0.48381632566452026,0.17518560588359833,0.17202796041965485,0.31749409437179565,0.278161883354187,0.32771480083465576,0.5230465531349182,0.35160550475120544,0.27043893933296204
pertaining,0.3334403336048126,0.28831788897514343,0.10372626781463623,0.33765938878059387,0.2909470796585083,0.20972663164138794,0.34002920985221863,0.32397496700286865,0.27458322048187256,0.2353447526693344,0.33765938878059387,0.28831788897514343,0.1901281327009201,0.2004031240940094,0.33592402935028076,0.3544023633003235,0.322595477104187,0.3260616362094879,0.3180524706840515,0.2915913462638855
to,0.4559597074985504,0.535392165184021,0.2177244871854782,0.41548454761505127,0.28343796730041504,0.4201057255268097,1.0,0.3103668987751007,0.45503583550453186,0.35372841358184814,0.41548454761505127,0.535392165184021,0.21947018802165985,0.24824365973472595,0.455847829580307,0.17471660673618317,0.5461788773536682,0.4972836375236511,0.40058770775794983,0.29463258385658264
a,0.41272827982902527,0.5829201340675354,0.2807295620441437,0.5052502155303955,0.25158295035362244,0.2536943852901459,0.45503583550453186,0.2444131225347519,1.0,0.24091263115406036,0.5052502155303955,0.5829201340675354,0.23707912862300873,0.23624834418296814,0.3320399522781372,0.2895476818084717,0.3736826181411743,0.39883795380592346,0.3864384889602661,0.23916715383529663
citizen,0.16080205142498016,0.21445687115192413,0.11948580294847488,0.19158314168453217,0.2554139494895935,0.19425427913665771,0.19583012163639069,0.24005727469921112,0.24434110522270203,0.250960111618042,0.19158314168453217,0.21445687115192413,0.1977965533733368,0.24609525501728058,0.20342512428760529,0.10719941556453705,0.17730168998241425,0.1865282505750656,0.07544863969087601,0.1601516604423523
