,how,many,seasons,did,the,bbc,produce,doctor,who,?
the,0.33890387415885925,0.4335206151008606,0.24226845800876617,0.34736719727516174,1.0,0.2735401690006256,0.23457570374011993,0.2820442318916321,0.3733934462070465,0.22068053483963013
bbc,0.1965121626853943,0.1944630742073059,0.21125385165214539,0.1677953153848648,0.2735401690006256,1.0000001192092896,0.22746820747852325,0.32370132207870483,0.2086644321680069,0.20556949079036713
drama,0.20377735793590546,0.19534842669963837,0.2070470005273819,0.19004322588443756,0.2408958077430725,0.29743310809135437,0.11549068987369537,0.2582404613494873,0.2117668092250824,0.21114452183246613
department,0.19204483926296234,0.18051421642303467,0.13373644649982452,0.12130371481180191,0.32582083344459534,0.17270898818969727,0.09719327092170715,0.13920433819293976,0.16568849980831146,0.1343645304441452
's,-0.026164190843701363,0.01698932610452175,0.02644028328359127,0.05069678649306297,-0.01540423184633255,0.07641375809907913,-0.01003879401832819,0.031664930284023285,0.05599616840481758,-0.023395681753754616
serials,0.23941899836063385,0.2885735034942627,0.2489607036113739,0.17428474128246307,0.23020225763320923,0.22405323386192322,0.1944340020418167,0.2940441071987152,0.22176605463027954,0.14029279351234436
division,0.1334267407655716,0.17186380922794342,0.27059245109558105,0.14262770116329193,0.26203617453575134,0.08533638715744019,0.13939251005649567,0.09054259210824966,0.14196254312992096,0.08900629729032516
produced,0.17719948291778564,0.2355157881975174,0.21695159375667572,0.16971632838249207,0.22045251727104187,0.2725476324558258,0.657219648361206,0.12545296549797058,0.12907662987709045,0.1623450517654419
the,0.33890387415885925,0.4335206151008606,0.24226845800876617,0.34736719727516174,1.0,0.2735401690006256,0.23457570374011993,0.2820442318916321,0.3733934462070465,0.22068053483963013
programme,0.22168685495853424,0.19565530121326447,0.17448744177818298,0.1542370468378067,0.23601844906806946,0.5583434104919434,0.18167465925216675,0.2561369240283966,0.2317163497209549,0.139840766787529
for,0.3308170735836029,0.40972793102264404,0.26410943269729614,0.318512886762619,0.4739971458911896,0.21995361149311066,0.24403390288352966,0.1556548923254013,0.37110671401023865,0.264628142118454
26,0.02506413869559765,0.09426480531692505,0.06312333792448044,0.06409474462270737,0.11227777600288391,0.07789484411478043,0.03025822341442108,0.16166801750659943,0.17144237458705902,-0.05200668424367905
seasons,0.12353117763996124,0.1946718841791153,0.9999999403953552,0.18920958042144775,0.24226845800876617,0.21125385165214539,0.21197509765625,0.14094877243041992,0.1471238136291504,0.13766995072364807
",",0.22659391164779663,0.40610817074775696,0.2613678574562073,0.3015086054801941,0.4933079481124878,0.14724469184875488,0.19927625358104706,0.20407600700855255,0.3365725874900818,0.31091248989105225
broadcast,0.17885947227478027,0.1890401542186737,0.2493731677532196,0.17054221034049988,0.2713715434074402,0.5486354827880859,0.17018082737922668,0.18613839149475098,0.18632595241069794,0.15760008990764618
on,0.32655060291290283,0.32520127296447754,0.21111313998699188,0.2670976221561432,0.5107308030128479,0.2646632492542267,0.1774439811706543,0.1636410653591156,0.2340552806854248,0.2714994251728058
bbc,0.1965121626853943,0.1944630742073059,0.21125385165214539,0.1677953153848648,0.2735401690006256,1.0000001192092896,0.22746820747852325,0.32370132207870483,0.2086644321680069,0.20556949079036713
1,-0.28593507409095764,-0.19133886694908142,-0.19574053585529327,-0.2815930247306824,-0.1554475575685501,-0.1751095950603485,-0.2397017776966095,-0.21685060858726501,-0.35742413997650146,-0.249979168176651
.,0.3287222981452942,0.3974229395389557,0.2546960115432739,0.35288307070732117,0.5934505462646484,0.20265105366706848,0.2587496340274811,0.22361043095588684,0.3541337847709656,0.4130953550338745
