,what,was,warsaw,ranked,the,7th,greatest,of,?
moreover,0.34821099042892456,0.16893857717514038,0.1283826231956482,0.15820781886577606,0.33288028836250305,0.0737839862704277,0.18862999975681305,0.28200021386146545,0.25369012355804443
",",0.3087472915649414,0.45456063747406006,0.25300899147987366,0.21935869753360748,0.4933079481124878,0.17813844978809357,0.21757464110851288,0.4946078956127167,0.31091248989105225
warsaw,0.10373849421739578,0.2614976763725281,1.0,0.12046059966087341,0.23137180507183075,0.021989203989505768,0.09365876019001007,0.19253842532634735,0.09769917279481888
was,0.22111038863658905,1.0000001192092896,0.2614976763725281,0.28979501128196716,0.48711544275283813,0.23112575709819794,0.26430225372314453,0.4069072902202606,0.18412111699581146
ranked,0.15636610984802246,0.28979501128196716,0.12046059966087341,1.0000001192092896,0.2711145281791687,0.17382226884365082,0.4969479739665985,0.276383638381958,0.12953443825244904
as,0.31749409437179565,0.3677520453929901,0.14492812752723694,0.20884878933429718,0.48381632566452026,0.13027039170265198,0.20775499939918518,0.3886612355709076,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,0.23137180507183075,0.2711145281791687,1.0,0.20414361357688904,0.2877289056777954,0.733189046382904,0.22068053483963013
7th,0.1539303958415985,0.23112575709819794,0.021989203989505768,0.17382226884365082,0.20414361357688904,1.0,0.22259241342544556,0.1007661372423172,0.12025631219148636
greatest,0.22948481142520905,0.26430225372314453,0.09365876019001007,0.4969479739665985,0.2877289056777954,0.22259241342544556,1.0,0.30395472049713135,0.13661223649978638
emerging,0.12901315093040466,0.1647235006093979,0.1003820151090622,0.15972396731376648,0.24733592569828033,0.09388814121484756,0.20971964299678802,0.22234845161437988,0.08310811966657639
market,0.12116116285324097,0.2252027839422226,0.20759056508541107,0.18918004631996155,0.2041238248348236,0.08581241220235825,0.15636299550533295,0.1694333702325821,0.12805593013763428
.,0.3567904531955719,0.40146201848983765,0.26825499534606934,0.21607504785060883,0.5934505462646484,0.18851065635681152,0.2034384310245514,0.5352458953857422,0.4130953550338745
