,if,two,integers,are,multiplied,and,output,a,value,",",what,is,this,expression,set,called,?
for,0.3609124422073364,0.34734001755714417,0.1802103966474533,0.3895993232727051,0.18379688262939453,0.5064792633056641,0.23403237760066986,0.44038116931915283,0.271339476108551,0.4464869201183319,0.3017193675041199,0.43268078565597534,0.5082864165306091,0.33762842416763306,0.30194196105003357,0.29870352149009705,0.264628142118454
example,0.5037236213684082,0.2711022198200226,0.3695056736469269,0.4108889698982239,0.32543450593948364,0.35305824875831604,0.3369172513484955,0.40234753489494324,0.3237052261829376,0.3094974756240845,0.3456268310546875,0.36737263202667236,0.4614826440811157,0.3946695923805237,0.30543550848960876,0.41785773634910583,0.30374911427497864
",",0.257730096578598,0.35859420895576477,0.24003417789936066,0.4062570035457611,0.2023826390504837,0.6633074283599854,0.20966894924640656,0.427140474319458,0.23697449266910553,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4316047728061676,0.22825834155082703,0.24912182986736298,0.26549121737480164,0.31091248989105225
the,0.33724796772003174,0.43858039379119873,0.179725781083107,0.40399202704429626,0.22792427241802216,0.5171257257461548,0.22049929201602936,0.5829201340675354,0.16908381879329681,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.6274310946464539,0.2569258511066437,0.2927955985069275,0.489897221326828,0.22068053483963013
multiplication,0.40218493342399597,0.3076822757720947,0.7081184983253479,0.25374525785446167,0.8457696437835693,0.2036140263080597,0.4605463147163391,0.30979469418525696,0.34749990701675415,0.25668612122535706,0.27993518114089966,0.2805522084236145,0.30942675471305847,0.448015958070755,0.2815883755683899,0.28925564885139465,0.2005060762166977
of,0.2557544410228729,0.37726253271102905,0.20153668522834778,0.39081433415412903,0.21740005910396576,0.5116966962814331,0.15243679285049438,0.5052502155303955,0.14933855831623077,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.45148900151252747,0.2863939702510834,0.20671486854553223,0.4222904443740845,0.1826142966747284
two,0.24792033433914185,1.0000001192092896,0.2854153513908386,0.46276170015335083,0.31917905807495117,0.4671151638031006,0.15940633416175842,0.3289857804775238,0.0562245212495327,0.35859420895576477,0.23363454639911652,0.2315155267715454,0.33004114031791687,0.13955162465572357,0.2889789044857025,0.3555888831615448,0.19645625352859497
integers,0.38209518790245056,0.2854153513908386,1.0,0.32727017998695374,0.6736209392547607,0.20408035814762115,0.44329944252967834,0.23136194050312042,0.4172781705856323,0.24003417789936066,0.2691354751586914,0.2208469957113266,0.27334100008010864,0.3310498595237732,0.3044816851615906,0.2356283813714981,0.2591196596622467
can,0.5903681516647339,0.282000333070755,0.33596161007881165,0.5408529043197632,0.3402310311794281,0.3675691485404968,0.3130752742290497,0.3915780484676361,0.2730748653411865,0.3139454126358032,0.34502777457237244,0.44256699085235596,0.4006461203098297,0.2804762125015259,0.21309934556484222,0.306973397731781,0.3226337134838104
be,0.5628611445426941,0.28515341877937317,0.28398826718330383,0.5556803941726685,0.2892807424068451,0.41766801476478577,0.3304102122783661,0.39883795380592346,0.2929580807685852,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.566177248954773,0.28006309270858765,0.19580282270908356,0.2761072516441345,0.3324260413646698
