,what,is,one,of,the,first,responses,the,immune,system,has,to,infection,?
inflammation,0.24853453040122986,0.24709373712539673,0.1824396550655365,0.24866501986980438,0.2567841410636902,0.09562309086322784,0.4158128499984741,0.2567841410636902,0.5310760736465454,0.278780996799469,0.1818467378616333,0.23084807395935059,0.6680411696434021,0.2187519371509552
is,0.28837618231773376,1.0,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.30889374017715454,0.20693311095237732,0.5823672413825989,0.2092347890138626,0.2282046526670456,0.5668748617172241,0.42745086550712585,0.23968450725078583,0.22961433231830597
one,0.376489520072937,0.4544198513031006,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.4552372097969055,0.24846914410591125,0.5514441132545471,0.18161426484584808,0.2139107882976532,0.43032392859458923,0.4025384783744812,0.22331660985946655,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.3536086082458496,0.202371284365654,0.733189046382904,0.16620753705501556,0.25597915053367615,0.3909035325050354,0.41548454761505127,0.2276538908481598,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.49448907375335693,0.25337323546409607,1.0,0.21364226937294006,0.3233085572719574,0.4177538752555847,0.535392165184021,0.21775591373443604,0.22068053483963013
first,0.28086137771606445,0.30889374017715454,0.4552372097969055,0.3536086082458496,0.49448907375335693,1.0,0.21287451684474945,0.49448907375335693,0.12267449498176575,0.19536277651786804,0.28288596868515015,0.3792489171028137,0.1153663694858551,0.18701928853988647
responses,0.3741379678249359,0.20693311095237732,0.24846914410591125,0.202371284365654,0.25337323546409607,0.21287451684474945,1.0,0.25337323546409607,0.4776917099952698,0.3241274952888489,0.23421697318553925,0.279972106218338,0.3455495834350586,0.23588258028030396
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.3536086082458496,0.202371284365654,0.733189046382904,0.16620753705501556,0.25597915053367615,0.3909035325050354,0.41548454761505127,0.2276538908481598,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.49448907375335693,0.25337323546409607,1.0,0.21364226937294006,0.3233085572719574,0.4177538752555847,0.535392165184021,0.21775591373443604,0.22068053483963013
immune,0.2410416603088379,0.2092347890138626,0.18161426484584808,0.16620753705501556,0.21364226937294006,0.12267449498176575,0.4776917099952698,0.21364226937294006,1.0,0.3962631821632385,0.14773638546466827,0.2541976273059845,0.5376827120780945,0.16080476343631744
system,0.23557309806346893,0.2282046526670456,0.2139107882976532,0.25597915053367615,0.3233085572719574,0.19536277651786804,0.3241274952888489,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.17706717550754547,0.26662686467170715,0.2549544870853424,0.15556083619594574
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.41548454761505127,0.535392165184021,0.3792489171028137,0.279972106218338,0.535392165184021,0.2541976273059845,0.26662686467170715,0.3619994819164276,1.0,0.23874373733997345,0.29463258385658264
infection,0.17579561471939087,0.23968450725078583,0.22331660985946655,0.2276538908481598,0.21775591373443604,0.1153663694858551,0.3455495834350586,0.21775591373443604,0.5376827120780945,0.2549544870853424,0.19214844703674316,0.23874373733997345,0.9999999403953552,0.18650056421756744
.,0.3567904531955719,0.4569662809371948,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.4345304071903229,0.2605404257774353,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4105546176433563,0.4645031690597534,0.2435181885957718,0.4130953550338745
