,the,development,of,terra,preta,allowed,for,what,to,happen,in,the,amazon,forest,?
the,1.0,0.3362044394016266,0.733189046382904,0.19379344582557678,0.19202633202075958,0.2985120713710785,0.4739971458911896,0.42745697498321533,0.535392165184021,0.2880464494228363,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
development,0.3362044394016266,0.9999998807907104,0.28700894117355347,0.07531597465276718,0.1149119883775711,0.1515207141637802,0.28623178601264954,0.19014155864715576,0.27639102935791016,0.1964465230703354,0.2550492286682129,0.3362044394016266,0.16569922864437103,0.13654252886772156,0.1211358830332756
of,0.733189046382904,0.28700894117355347,1.0,0.1871613711118698,0.14621321856975555,0.2699741721153259,0.4185989499092102,0.33290785551071167,0.41548454761505127,0.23650258779525757,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
this,0.6274310946464539,0.29246020317077637,0.45148900151252747,0.16971981525421143,0.16722583770751953,0.3355235159397125,0.5082864165306091,0.5489566326141357,0.5759071707725525,0.387949675321579,0.45205554366111755,0.6274310946464539,0.15259569883346558,0.18487237393856049,0.3155723512172699
fertile,0.27471983432769775,0.2843281626701355,0.2633076310157776,0.199532151222229,0.18190395832061768,0.11884516477584839,0.18356388807296753,0.19595134258270264,0.23397566378116608,0.1601264625787735,0.24829789996147156,0.27471983432769775,0.23839986324310303,0.26419803500175476,0.13105744123458862
soil,0.28965309262275696,0.20412983000278473,0.24573488533496857,0.2062738686800003,0.07049031555652618,0.1670570820569992,0.2331252545118332,0.19217993319034576,0.2111998051404953,0.20309728384017944,0.23409782350063324,0.28965309262275696,0.20438170433044434,0.35211217403411865,0.13098852336406708
allowed,0.2985120713710785,0.1515207141637802,0.2699741721153259,0.12438070774078369,0.12815900146961212,1.0,0.3152953088283539,0.2693612575531006,0.42967355251312256,0.2674098312854767,0.23683252930641174,0.2985120713710785,0.11438287794589996,0.1276845782995224,0.2309964895248413
agriculture,0.29133129119873047,0.3918885886669159,0.3250654935836792,0.1507866382598877,0.12964226305484772,0.13576668500900269,0.2550101578235626,0.18790777027606964,0.2176959365606308,0.07932665944099426,0.28221622109413147,0.29133129119873047,0.19684624671936035,0.30163976550102234,0.11401621997356415
and,0.5171257257461548,0.26069340109825134,0.5116966962814331,0.19926798343658447,0.19327124953269958,0.30774351954460144,0.5064792633056641,0.31309178471565247,0.48971283435821533,0.23779208958148956,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.20544172823429108
silviculture,0.37653976678848267,0.3947744369506836,0.39484143257141113,0.25563299655914307,0.280208021402359,0.1729002594947815,0.27164962887763977,0.23728780448436737,0.27809208631515503,0.17563211917877197,0.36314138770103455,0.37653976678848267,0.27387017011642456,0.3171195983886719,0.1324930340051651
in,0.6662389636039734,0.2550492286682129,0.5696388483047485,0.1328161656856537,0.19195538759231567,0.23683252930641174,0.4322226941585541,0.30808621644973755,0.45010748505592346,0.2613373398780823,1.0,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.20430970191955566
the,1.0,0.3362044394016266,0.733189046382904,0.19379344582557678,0.19202633202075958,0.2985120713710785,0.4739971458911896,0.42745697498321533,0.535392165184021,0.2880464494228363,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
previously,0.33854439854621887,0.23213766515254974,0.2850290536880493,0.10018222033977509,0.1961367130279541,0.2135002166032791,0.3148766756057739,0.24305304884910583,0.2865954041481018,0.06596639007329941,0.2762584090232849,0.33854439854621887,0.16203059256076813,0.17339392006397247,0.15811841189861298
hostile,0.26774856448173523,0.15561935305595398,0.2005755454301834,0.14884567260742188,0.17262251675128937,0.24789878726005554,0.2334216982126236,0.24132125079631805,0.2607683837413788,0.138027161359787,0.20523297786712646,0.26774856448173523,0.23235157132148743,0.19387046992778778,0.13611407577991486
environment,0.25819888710975647,0.40299519896507263,0.2659151554107666,0.18536469340324402,0.08588182926177979,0.14893105626106262,0.2984005808830261,0.213022843003273,0.274095743894577,0.22852545976638794,0.2854640781879425,0.25819888710975647,0.17335161566734314,0.31853392720222473,0.19478057324886322
;,0.09152708947658539,0.07425069063901901,0.054534342139959335,0.014434250071644783,0.07449695467948914,0.07301219552755356,0.0293948445469141,0.10986888408660889,0.0979827418923378,0.024026740342378616,0.092739537358284,0.09152708947658539,0.11813170462846756,-0.0003828538756351918,0.10349778085947037
meaning,0.31918859481811523,0.16741053760051727,0.2447882443666458,0.20971493422985077,0.1983770728111267,0.22701628506183624,0.2563263475894928,0.24135559797286987,0.24619491398334503,0.17759822309017181,0.2137773334980011,0.31918859481811523,0.1321062445640564,0.12508805096149445,0.20420892536640167
that,0.5473989248275757,0.2717459201812744,0.41498205065727234,0.17496341466903687,0.20414891839027405,0.41059720516204834,0.4137635827064514,0.6297725439071655,0.5436353087425232,0.45222777128219604,0.435920387506485,0.5473989248275757,0.2228476107120514,0.17981816828250885,0.32716336846351624
large,0.3828733265399933,0.19719024002552032,0.3569655418395996,0.1759398728609085,0.13179075717926025,0.22571200132369995,0.22967137396335602,0.2017821967601776,0.3150999844074249,0.2183157354593277,0.2841601073741913,0.3828733265399933,0.16262684762477875,0.1917639672756195,0.1355665624141693
