,richard,allen,and,absalom,jones,were,licensed,by,st.,george,'s,church,in,what,year,?
they,0.18084335327148438,0.1503230333328247,0.5073080658912659,0.15369628369808197,0.21097996830940247,0.5580583214759827,0.24114598333835602,0.3391372263431549,0.18764568865299225,0.11323626339435577,0.03738465905189514,0.18669813871383667,0.4330179989337921,0.4431931674480438,0.22890345752239227,0.2753053903579712
were,0.22284255921840668,0.1804853230714798,0.42175528407096863,0.14937187731266022,0.1573609858751297,1.0000001192092896,0.1927478313446045,0.4406847059726715,0.13992512226104736,0.1725086271762848,0.007088581565767527,0.21372953057289124,0.3815755248069763,0.22298263013362885,0.23735305666923523,0.17890112102031708
licensed,0.16571445763111115,0.08880466967821121,0.19729462265968323,0.14250686764717102,0.04671231284737587,0.1927478313446045,0.9999999403953552,0.213125541806221,0.01437580306082964,0.14775675535202026,0.008437035605311394,0.0927966982126236,0.1856193244457245,0.17758744955062866,0.12774671614170074,0.16613826155662537
by,0.24423328042030334,0.2717472016811371,0.4289871156215668,0.1884545385837555,0.19224686920642853,0.4406847059726715,0.213125541806221,1.0000001192092896,0.22391770780086517,0.22194799780845642,-0.010884488001465797,0.135782390832901,0.370934396982193,0.2455483376979828,0.28805047273635864,0.17966607213020325
st.,0.21906116604804993,0.26425352692604065,0.22686052322387695,0.2501069903373718,0.2360825538635254,0.13992512226104736,0.01437580306082964,0.22391770780086517,1.0000001192092896,0.22430634498596191,0.045316148549318314,0.2081335186958313,0.15931649506092072,0.10219959169626236,0.1594112664461136,0.13592876493930817
george,0.38126540184020996,0.1952843815088272,0.22245058417320251,0.16940206289291382,0.2609792649745941,0.1725086271762848,0.14775675535202026,0.22194799780845642,0.22430634498596191,1.0000001192092896,-0.019076833501458168,0.17083123326301575,0.18167929351329803,0.22000353038311005,0.15252074599266052,0.1479024887084961
's,-0.04731119051575661,0.041040755808353424,0.06895173341035843,0.02456957846879959,0.03993193805217743,0.007088581565767527,0.008437035605311394,-0.010884488001465797,0.045316148549318314,-0.019076833501458168,0.9999999403953552,0.023664841428399086,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,-0.023395681753754616
church,0.10858210921287537,0.13651135563850403,0.1976170688867569,0.4063791334629059,0.10067567229270935,0.21372953057289124,0.0927966982126236,0.135782390832901,0.2081335186958313,0.17083123326301575,0.023664841428399086,0.9999999403953552,0.2493300437927246,0.1944202184677124,0.17190417647361755,0.18081501126289368
in,0.23321768641471863,0.2125987708568573,0.4954058527946472,0.23040328919887543,0.1750783771276474,0.3815755248069763,0.1856193244457245,0.370934396982193,0.15931649506092072,0.18167929351329803,-0.037580832839012146,0.2493300437927246,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
1784,0.055661559104919434,0.06983444094657898,0.14187809824943542,0.21807648241519928,0.08885461091995239,0.1339932531118393,0.10113830864429474,0.1379612535238266,0.06278302520513535,0.052087850868701935,-0.014942321926355362,0.18120720982551575,0.2011609822511673,0.1033298447728157,0.1750088632106781,0.12145309150218964
.,0.24983328580856323,0.2736349403858185,0.588965117931366,0.22923557460308075,0.2486228495836258,0.3378238379955292,0.21411098539829254,0.3936232924461365,0.2214197814464569,0.26540547609329224,-0.003708066651597619,0.28898224234580994,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.4130953550338745
