,which,british,sculptor,whose,work,include,the,queen,victoria,memorial,in,front,of,buckingham,palace,is,included,in,the,v,&,a,collection,?
sculptors,0.13536402583122253,0.15967923402786255,0.9001511931419373,0.19913959503173828,0.31150877475738525,0.19652222096920013,0.17251421511173248,0.16139984130859375,0.21962220966815948,0.20646928250789642,0.20806211233139038,0.18184438347816467,0.19496163725852966,0.14763979613780975,0.2309575378894806,0.12596556544303894,0.18827319145202637,0.20806211233139038,0.17251421511173248,0.14748424291610718,0.013516687788069248,0.1509021818637848,0.2775009274482727,0.1309177279472351
both,0.5140923857688904,0.22744378447532654,0.15585024654865265,0.2813892960548401,0.27712884545326233,0.3018212914466858,0.4931981563568115,0.1230919137597084,0.14456807076931,0.18638847768306732,0.3960166871547699,0.2227497100830078,0.3565710783004761,0.1527726650238037,0.07697366178035736,0.31409940123558044,0.3391551375389099,0.3960166871547699,0.4931981563568115,0.12110912054777145,0.13048413395881653,0.3171786069869995,0.16977696120738983,0.19455738365650177
british,0.2002234309911728,1.0,0.15440207719802856,0.174232617020607,0.1516800969839096,0.12725749611854553,0.28973397612571716,0.23263192176818848,0.28028810024261475,0.12234576791524887,0.23084034025669098,0.10053136944770813,0.23701532185077667,0.2820233404636383,0.11048752069473267,0.19484983384609222,0.22127242386341095,0.23084034025669098,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.15021207928657532,0.09711728990077972
and,0.506277859210968,0.325880765914917,0.1751534640789032,0.3339773118495941,0.37551814317703247,0.3915219306945801,0.5171257257461548,0.24302659928798676,0.24507255852222443,0.17508313059806824,0.4954058527946472,0.23269736766815186,0.5116966962814331,0.26884573698043823,0.20294713973999023,0.3859752118587494,0.3643590211868286,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
europeans,0.20644523203372955,0.266691118478775,0.2068013995885849,0.18411791324615479,0.13691040873527527,0.14472685754299164,0.3299996256828308,0.1467823088169098,0.2618359923362732,0.11536091566085815,0.22646811604499817,0.13872456550598145,0.17975986003875732,0.14327561855316162,0.10993984341621399,0.14985701441764832,0.17969782650470734,0.22646811604499817,0.3299996256828308,0.12295258045196533,0.06370405107736588,0.15935876965522766,0.08994738757610321,0.16229631006717682
who,0.3688730001449585,0.2666113078594208,0.24923312664031982,0.48551782965660095,0.3146236836910248,0.15078489482402802,0.3733934462070465,0.20093972980976105,0.1687670201063156,0.20190246403217316,0.2792111933231354,0.18228031694889069,0.2827862501144409,0.21803630888462067,0.20273655652999878,0.24293622374534607,0.19250646233558655,0.2792111933231354,0.3733934462070465,0.06742344051599503,0.09244576841592789,0.36608949303627014,0.11647152900695801,0.26220351457595825
were,0.2807837128639221,0.27742838859558105,0.16260948777198792,0.20901553332805634,0.23814889788627625,0.3062470853328705,0.3906462490558624,0.1738734245300293,0.19546319544315338,0.20852899551391602,0.3815755248069763,0.17649376392364502,0.34038281440734863,0.2063024640083313,0.1839732825756073,0.29386836290359497,0.42708900570869446,0.3815755248069763,0.3906462490558624,0.1089601069688797,0.1205248013138771,0.17203083634376526,0.22638525068759918,0.17890112102031708
based,0.3473800718784332,0.19058464467525482,0.08110788464546204,0.20902396738529205,0.20533612370491028,0.27240705490112305,0.29860720038414,0.0915827676653862,0.07653781771659851,0.07378647476434708,0.3070422410964966,0.050500232726335526,0.3033197224140167,0.08949892222881317,0.10818621516227722,0.3248139023780823,0.271335631608963,0.3070422410964966,0.29860720038414,0.12422794848680496,0.14534787833690643,0.2977409064769745,0.2288035899400711,0.134929820895195
in,0.4840516746044159,0.23084034025669098,0.18095266819000244,0.23496666550636292,0.2753349542617798,0.28694382309913635,0.6662389636039734,0.23028744757175446,0.20823122560977936,0.23096095025539398,1.0,0.22647713124752045,0.5696388483047485,0.24220550060272217,0.22634974122047424,0.5394441485404968,0.32433560490608215,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23004686832427979,0.20430970191955566
britain,0.25284263491630554,0.4846838712692261,0.17066803574562073,0.13974598050117493,0.2291656881570816,0.1411992758512497,0.29784059524536133,0.3212064206600189,0.3553982973098755,0.08721298724412918,0.26246872544288635,0.10783656686544418,0.28899943828582764,0.3256699740886688,0.15898728370666504,0.1415579617023468,0.19329583644866943,0.26246872544288635,0.29784059524536133,0.17508196830749512,0.14032991230487823,0.18575294315814972,0.1765190064907074,0.1268460750579834
and,0.506277859210968,0.325880765914917,0.1751534640789032,0.3339773118495941,0.37551814317703247,0.3915219306945801,0.5171257257461548,0.24302659928798676,0.24507255852222443,0.17508313059806824,0.4954058527946472,0.23269736766815186,0.5116966962814331,0.26884573698043823,0.20294713973999023,0.3859752118587494,0.3643590211868286,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
whose,0.37205496430397034,0.174232617020607,0.1768161654472351,1.0,0.192624032497406,0.22172382473945618,0.38253846764564514,0.07719193398952484,0.10723324120044708,0.1515924632549286,0.23496666550636292,0.130600243806839,0.37058958411216736,0.15851931273937225,0.09811365604400635,0.26491984724998474,0.1824636608362198,0.23496666550636292,0.38253846764564514,0.07643124461174011,0.056272149085998535,0.3225097060203552,0.14954999089241028,0.16990536451339722
