,what,book,did,luther,read,in,1542,?
in,0.30808621644973755,0.2527170181274414,0.2593238651752472,0.20523880422115326,0.19694635272026062,1.0,0.00877314805984497,0.20430970191955566
1542,-0.08702553063631058,0.17040714621543884,0.07463250309228897,0.0843120887875557,0.1309811770915985,0.00877314805984497,1.0000001192092896,-0.08775735646486282
",",0.3087472915649414,0.23644568026065826,0.3015086054801941,0.23255878686904907,0.26081135869026184,0.5201468467712402,-0.012506037019193172,0.31091248989105225
luther,0.2134782373905182,0.2606102228164673,0.23667675256729126,1.0,0.14123907685279846,0.20523880422115326,0.0843120887875557,0.1732746809720993
read,0.4041415750980377,0.36899876594543457,0.2702803909778595,0.14123907685279846,1.0,0.19694635272026062,0.1309811770915985,0.30917879939079285
a,0.3320399522781372,0.19186489284038544,0.2552328109741211,0.17967689037322998,0.23249761760234833,0.539380669593811,0.023803355172276497,0.23916715383529663
latin,0.1759578436613083,0.18747279047966003,0.11352607607841492,0.2115422934293747,0.23253639042377472,0.18954341113567352,0.11011675745248795,0.1303461492061615
translation,0.22188860177993774,0.4110705852508545,0.1068030595779419,0.18200817704200745,0.3656909167766571,0.1721324771642685,0.2026304453611374,0.22574150562286377
of,0.33290785551071167,0.22602593898773193,0.2513895630836487,0.1719115972518921,0.16905911266803741,0.5696388483047485,0.02141333743929863,0.1826142966747284
the,0.42745697498321533,0.2652374505996704,0.34736719727516174,0.1759674996137619,0.25299927592277527,0.6662389636039734,-0.08821538835763931,0.22068053483963013
qur'an,0.2516917884349823,0.3364746570587158,0.1930055320262909,0.19643789529800415,0.3056586682796478,0.13421973586082458,0.09361480176448822,0.16824866831302643
.,0.3567904531955719,0.21435262262821198,0.35288307070732117,0.24907569587230682,0.28855186700820923,0.5591574311256409,-0.009943104349076748,0.4130953550338745
