,what,egyptian,president,jailed,thousands,of,members,of,the,brotherhood,?
the,0.42745697498321533,0.22032245993614197,0.24330610036849976,0.20196433365345,0.2934577763080597,0.733189046382904,0.3321719169616699,0.733189046382904,1.0,0.2368839830160141,0.22068053483963013
brotherhood,0.168807253241539,0.2675729990005493,0.24749596416950226,0.31591561436653137,0.1328464299440384,0.2067413628101349,0.32571232318878174,0.2067413628101349,0.2368839830160141,0.9999998807907104,0.1117945984005928
has,0.20338068902492523,0.13797332346439362,0.19723163545131683,0.14974728226661682,0.22849085927009583,0.3909035325050354,0.19174115359783173,0.3909035325050354,0.4177538752555847,0.1387953758239746,0.15994466841220856
suffered,0.13741295039653778,0.08859867602586746,0.12957164645195007,0.3495597541332245,0.1627516895532608,0.2524636387825012,0.134847491979599,0.2524636387825012,0.2558774948120117,0.12241793423891068,0.08963493257761002
periodic,0.19760970771312714,0.20461149513721466,0.05559587478637695,0.009307010099291801,0.15814223885536194,0.19135160744190216,0.17493224143981934,0.19135160744190216,0.19889336824417114,0.16967469453811646,0.18325947225093842
repression,0.2093198001384735,0.19588541984558105,0.23268944025039673,0.25180646777153015,0.2758585214614868,0.35120782256126404,0.1771465241909027,0.35120782256126404,0.2660033702850342,0.2774866223335266,0.10929548740386963
in,0.30808621644973755,0.145795539021492,0.18811661005020142,0.22133763134479523,0.26048728823661804,0.5696388483047485,0.196792870759964,0.5696388483047485,0.6662389636039734,0.15295812487602234,0.20430970191955566
egypt,0.1976596713066101,0.7541024684906006,0.238915354013443,0.2283041775226593,0.2910347580909729,0.25414037704467773,0.15711960196495056,0.25414037704467773,0.2536296546459198,0.29069802165031433,0.17769601941108704
and,0.31309178471565247,0.22725237905979156,0.23286236822605133,0.23713530600070953,0.2946740686893463,0.5116966962814331,0.2994427978992462,0.5116966962814331,0.5171257257461548,0.26239755749702454,0.20544172823429108
has,0.20338068902492523,0.13797332346439362,0.19723163545131683,0.14974728226661682,0.22849085927009583,0.3909035325050354,0.19174115359783173,0.3909035325050354,0.4177538752555847,0.1387953758239746,0.15994466841220856
been,0.2567804455757141,0.23350539803504944,0.14658920466899872,0.2838314473628998,0.36183127760887146,0.31685134768486023,0.2348555624485016,0.31685134768486023,0.3563927710056305,0.18361805379390717,0.24354910850524902
banned,0.28035780787467957,0.07941069453954697,0.18120606243610382,0.3773876428604126,0.222565695643425,0.19701224565505981,0.190389946103096,0.19701224565505981,0.2399827241897583,0.17601275444030762,0.3147534728050232
several,0.22446060180664062,0.18301625549793243,0.12589912116527557,0.2637569308280945,0.44317594170570374,0.3271615505218506,0.2626257538795471,0.3271615505218506,0.40559855103492737,0.12614615261554718,0.15595775842666626
times,0.21414996683597565,0.14540550112724304,0.10561548173427582,0.22943274676799774,0.21393810212612152,0.24352745711803436,0.1871272772550583,0.24352745711803436,0.29093852639198303,0.17459113895893097,0.18880689144134521
",",0.3087472915649414,0.21981480717658997,0.26552814245224,0.28165262937545776,0.2317916750907898,0.4946078956127167,0.2357054501771927,0.4946078956127167,0.4933079481124878,0.21324464678764343,0.31091248989105225
in,0.30808621644973755,0.145795539021492,0.18811661005020142,0.22133763134479523,0.26048728823661804,0.5696388483047485,0.196792870759964,0.5696388483047485,0.6662389636039734,0.15295812487602234,0.20430970191955566
1948,0.006679920479655266,-0.045268796384334564,-0.10476923733949661,-0.08995143324136734,0.029266634956002235,-0.016484376043081284,0.013572396710515022,-0.016484376043081284,0.02564479038119316,-0.10566913336515427,-0.10648800432682037
and,0.31309178471565247,0.22725237905979156,0.23286236822605133,0.23713530600070953,0.2946740686893463,0.5116966962814331,0.2994427978992462,0.5116966962814331,0.5171257257461548,0.26239755749702454,0.20544172823429108
several,0.22446060180664062,0.18301625549793243,0.12589912116527557,0.2637569308280945,0.44317594170570374,0.3271615505218506,0.2626257538795471,0.3271615505218506,0.40559855103492737,0.12614615261554718,0.15595775842666626
years,0.1981470286846161,0.1852894127368927,0.21169443428516388,0.316855788230896,0.3828625977039337,0.2904134690761566,0.21668954193592072,0.2904134690761566,0.2912273406982422,0.139590784907341,0.1914375126361847
later,0.2517229914665222,0.18469920754432678,0.17261546850204468,0.3967663049697876,0.2120472937822342,0.3458743393421173,0.23843134939670563,0.3458743393421173,0.4060266613960266,0.2529461085796356,0.1417175978422165
following,0.2506418824195862,0.14987242221832275,0.1717645227909088,0.2144019901752472,0.1794167459011078,0.3576679527759552,0.1605195850133896,0.3576679527759552,0.39779382944107056,0.12978851795196533,0.1555173695087433
confrontations,0.2652025818824768,0.19482308626174927,0.17610572278499603,0.40479907393455505,0.29820096492767334,0.2570529580116272,0.23007991909980774,0.2570529580116272,0.2676897644996643,0.2983151376247406,0.17149955034255981
with,0.2464839518070221,0.11917497962713242,0.14994901418685913,0.17235003411769867,0.20949403941631317,0.41827285289764404,0.2579888701438904,0.41827285289764404,0.4223487675189972,0.2075371891260147,0.2433311939239502
egyptian,0.15441232919692993,1.0,0.1821102648973465,0.18453697860240936,0.1987115740776062,0.20001496374607086,0.11691936105489731,0.20001496374607086,0.22032245993614197,0.2675729990005493,0.14169205725193024
president,0.1870913952589035,0.1821102648973465,1.0000001192092896,0.294461727142334,0.14689314365386963,0.21610750257968903,0.24681922793388367,0.21610750257968903,0.24330610036849976,0.24749596416950226,0.14148259162902832
gamal,0.25011754035949707,0.4406595528125763,0.42553213238716125,0.4204603135585785,0.1846432387828827,0.2818133533000946,0.18217337131500244,0.2818133533000946,0.2616388201713562,0.39841392636299133,0.20471271872520447
abdul,0.10238730162382126,0.34887659549713135,0.27934354543685913,0.24637901782989502,0.0907411053776741,0.1777796745300293,0.16953346133232117,0.1777796745300293,0.18942910432815552,0.23487243056297302,0.12218811362981796
