,the,silver,and,gold,collection,of,the,v,&,a,is,divided,into,which,categories,?
there,0.47025805711746216,0.12468180060386658,0.4242868423461914,0.18934296071529388,0.18927989900112152,0.44397735595703125,0.47025805711746216,0.10717330873012543,0.10558571666479111,0.4214206337928772,0.3904260993003845,0.3226991295814514,0.2823928892612457,0.45256471633911133,0.2775121033191681,0.29405656456947327
are,0.40399202704429626,0.15979748964309692,0.48576638102531433,0.1368532031774521,0.22862131893634796,0.39081433415412903,0.40399202704429626,0.07239489257335663,0.17888472974300385,0.265255331993103,0.5330929756164551,0.2984093725681305,0.2930682599544525,0.42922598123550415,0.34090813994407654,0.24591213464736938
over,0.39856547117233276,0.12038730829954147,0.4021143913269043,0.14181938767433167,0.21212655305862427,0.36136594414711,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.2159561663866043,0.18640294671058655,0.372319757938385,0.4256240129470825,0.19236090779304504,0.25742942094802856
"10,000",-0.07657112926244736,0.025126874446868896,-0.05527769401669502,-0.021542809903621674,0.000463886623037979,-0.024864796549081802,-0.07657112926244736,0.1218033954501152,0.12590238451957703,-0.006958124227821827,-0.00011738140892703086,-0.02203829400241375,-0.02651585079729557,-0.1248844638466835,-0.08857399970293045,0.10342991352081299
objects,0.24716724455356598,0.17939405143260956,0.2794862985610962,0.19525331258773804,0.3340989947319031,0.23814009130001068,0.24716724455356598,0.12864506244659424,0.043518271297216415,0.24898670613765717,0.23756065964698792,0.1500113606452942,0.21743187308311462,0.30641767382621765,0.24940495193004608,0.15479016304016113
made,0.3885267674922943,0.2191540002822876,0.34954607486724854,0.21762214601039886,0.20294539630413055,0.33167365193367004,0.3885267674922943,0.14221197366714478,0.13146528601646423,0.3180864453315735,0.29543453454971313,0.25701871514320374,0.30376607179641724,0.3407467305660248,0.2004396915435791,0.17218779027462006
from,0.40150508284568787,0.14321425557136536,0.3601827025413513,0.18462617695331573,0.2754948139190674,0.4249346852302551,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.27355384826660156,0.19172348082065582,0.3410196900367737,0.38755592703819275,0.18106630444526672,0.19969791173934937
silver,0.2600913643836975,1.0,0.25048989057540894,0.6871094107627869,0.19618919491767883,0.18475119769573212,0.2600913643836975,0.10406357049942017,0.09482749551534653,0.22950784862041473,0.20722414553165436,0.10799361020326614,0.14276745915412903,0.2163364291191101,0.14633063971996307,0.11920861899852753
or,0.4174870550632477,0.17933593690395355,0.4713204801082611,0.18691161274909973,0.20004552602767944,0.3792596757411957,0.4174870550632477,0.16698549687862396,0.14438702166080475,0.48853766918182373,0.41870999336242676,0.24574659764766693,0.31663477420806885,0.5105096101760864,0.3634868264198303,0.32389625906944275
gold,0.27136439085006714,0.6871094107627869,0.26129499077796936,0.9999999403953552,0.21767574548721313,0.2101457566022873,0.27136439085006714,0.07604137063026428,0.13380365073680878,0.22218312323093414,0.16155372560024261,0.11068059504032135,0.1654365211725235,0.2007036805152893,0.15992484986782074,0.11542754620313644
in,0.6662389636039734,0.2021934986114502,0.4954058527946472,0.21206732094287872,0.23004686832427979,0.5696388483047485,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.5394441485404968,0.29514673352241516,0.38021373748779297,0.4840516746044159,0.1837518811225891,0.20430970191955566
