,what,program,that,aired,between,last,man,standing,and,shark,tank,was,cancelled,by,abc,in,2013,?
and,0.31309178471565247,0.24895258247852325,0.4731321930885315,0.2092604786157608,0.40645647048950195,0.25967320799827576,0.22261469066143036,0.26176032423973083,1.0,0.2245044857263565,0.253970205783844,0.3740963041782379,0.1996309906244278,0.4289871156215668,0.16453155875205994,0.4954058527946472,-0.31428804993629456,0.20544172823429108
resurrection,0.2800750136375427,0.139033704996109,0.3291688561439514,0.18083736300468445,0.1500808745622635,0.258743017911911,0.28822460770606995,0.22079214453697205,0.20533673465251923,0.20904600620269775,0.16049452126026154,0.2445775270462036,0.21853190660476685,0.14714573323726654,0.11117060482501984,0.2599698007106781,-0.19327738881111145,0.16188794374465942
",",0.3087472915649414,0.17760658264160156,0.4137537479400635,0.2195960283279419,0.27714940905570984,0.29026782512664795,0.26654794812202454,0.22449126839637756,0.6633074283599854,0.17573192715644836,0.24815994501113892,0.45456063747406006,0.21998357772827148,0.3680937886238098,0.2097204476594925,0.5201468467712402,-0.20834597945213318,0.31091248989105225
all,0.41981086134910583,0.18169647455215454,0.53305584192276,0.1613706648349762,0.22774523496627808,0.31457728147506714,0.2187177985906601,0.354315847158432,0.4542157053947449,0.12867115437984467,0.2093377560377121,0.23179835081100464,0.29292601346969604,0.2944089472293854,0.18112415075302124,0.3335905969142914,-0.4187372326850891,0.29575422406196594
of,0.33290785551071167,0.17376001179218292,0.41498205065727234,0.15519371628761292,0.3737983703613281,0.3052992522716522,0.16490690410137177,0.30196839570999146,0.5116966962814331,0.1910211592912674,0.2132720649242401,0.4069072902202606,0.20235416293144226,0.3646814823150635,0.14607268571853638,0.5696388483047485,-0.2904720902442932,0.1826142966747284
which,0.5261979103088379,0.3116832673549652,0.6894589066505432,0.2307283580303192,0.395174115896225,0.2768070101737976,0.20038147270679474,0.2561359405517578,0.506277859210968,0.21806998550891876,0.2255271077156067,0.2830964922904968,0.24496294558048248,0.40543368458747864,0.1991286277770996,0.4840516746044159,-0.516688346862793,0.25814583897590637
were,0.22298263013362885,0.10356976836919785,0.35517072677612305,0.18557119369506836,0.27047741413116455,0.25959286093711853,0.2055310159921646,0.21929143369197845,0.42175528407096863,0.11678515374660492,0.21705645322799683,0.590133786201477,0.2728177309036255,0.4406847059726715,0.09045279771089554,0.3815755248069763,-0.3128787875175476,0.17890112102031708
renewed,0.17414875328540802,0.20682209730148315,0.26906195282936096,0.427468866109848,0.2507200539112091,0.2227192223072052,0.14344783127307892,0.16577079892158508,0.19231681525707245,0.12818589806556702,0.1432475596666336,0.26997995376586914,0.42420825362205505,0.20263084769248962,0.28305551409721375,0.23410382866859436,-0.1478814333677292,0.1604815125465393
;,0.10986888408660889,-0.059939730912446976,0.0633435994386673,0.06946922093629837,0.1024872213602066,0.06822862476110458,0.10107897222042084,0.023027893155813217,0.08403264731168747,0.03214728832244873,-0.1034068837761879,0.0754367932677269,0.04853041097521782,0.10469875484704971,-0.0012340332614257932,0.092739537358284,-0.10176942497491837,0.10349778085947037
however,0.4480680823326111,0.22655320167541504,0.6336373090744019,0.19548426568508148,0.33343490958213806,0.343666136264801,0.23258575797080994,0.26799124479293823,0.498121976852417,0.29245617985725403,0.18703794479370117,0.37327632308006287,0.3817753493785858,0.34889668226242065,0.13561899960041046,0.3982149362564087,-0.45783600211143494,0.2152075469493866
",",0.3087472915649414,0.17760658264160156,0.4137537479400635,0.2195960283279419,0.27714940905570984,0.29026782512664795,0.26654794812202454,0.22449126839637756,0.6633074283599854,0.17573192715644836,0.24815994501113892,0.45456063747406006,0.21998357772827148,0.3680937886238098,0.2097204476594925,0.5201468467712402,-0.20834597945213318,0.31091248989105225
that,0.6297725439071655,0.33504533767700195,1.0,0.22264628112316132,0.299440860748291,0.31652477383613586,0.25507083535194397,0.3461148142814636,0.4731321930885315,0.20648686587810516,0.16582588851451874,0.33670201897621155,0.3007883131504059,0.37496164441108704,0.17440107464790344,0.435920387506485,-0.49828678369522095,0.32716336846351624
season,0.12117787450551987,0.1791892945766449,0.21767571568489075,0.37032318115234375,0.16782350838184357,0.24131526052951813,0.1445837914943695,0.2408016175031662,0.2369309365749359,0.20316463708877563,0.15181280672550201,0.24797968566417694,0.3465386927127838,0.10566911846399307,0.29887476563453674,0.2184021919965744,-0.1576877385377884,0.16793298721313477
