,what,is,the,english,translation,of,het,scheur,?
the,0.42745697498321533,0.5823672413825989,1.0,0.23982001841068268,0.26402729749679565,0.733189046382904,0.08673298358917236,0.22837476432323456,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.03681787848472595,0.059063516557216644,0.36650770902633667,0.091288261115551,0.12935493886470795,0.12401245534420013
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3409043252468109,0.2206902801990509,0.5116966962814331,0.13131578266620636,0.24410822987556458,0.20544172823429108
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.08433167636394501,0.08477894216775894,0.31933003664016724,0.0972793847322464,0.05572645738720894,0.11225555837154388
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.1469658464193344,0.15344102680683136,0.3177044689655304,0.08132629096508026,0.10556387156248093,0.1665669083595276
branch,0.1792319416999817,0.17662303149700165,0.2630956768989563,0.04857007414102554,0.16905203461647034,0.23972897231578827,0.1749933362007141,0.04927726835012436,0.10474635660648346
begins,0.1788426637649536,0.25563162565231323,0.3446018099784851,0.07743028551340103,0.15749548375606537,0.27105480432510376,-0.007543782237917185,0.11795993894338608,0.09518900513648987
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2722744047641754,0.20053249597549438,0.3886612355709076,0.10217427462339401,0.22757740318775177,0.27043893933296204
waal,0.18199798464775085,0.1431557983160019,0.14903073012828827,0.17259074747562408,0.1920754760503769,0.18245531618595123,0.47257810831069946,0.3609701991081238,0.11904393881559372
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3409043252468109,0.2206902801990509,0.5116966962814331,0.13131578266620636,0.24410822987556458,0.20544172823429108
continues,0.27419164776802063,0.32428741455078125,0.3452514410018921,0.1501220464706421,0.1952301412820816,0.2937655746936798,0.13214775919914246,0.10861516743898392,0.13186512887477875
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2722744047641754,0.20053249597549438,0.3886612355709076,0.10217427462339401,0.22757740318775177,0.27043893933296204
boven,0.19857706129550934,0.28325116634368896,0.31359267234802246,0.18253692984580994,0.18300317227840424,0.2683909237384796,0.39602741599082947,0.44349345564842224,0.15296606719493866
merwede,0.07321726530790329,0.20415930449962616,0.20795460045337677,0.21758998930454254,0.17786641418933868,0.17477388679981232,0.46894216537475586,0.38275906443595886,0.13861164450645447
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.3194602429866791,0.2620614171028137,0.35032153129577637,0.16947899758815765,0.2951118052005768,0.40561532974243164
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.03079455904662609,-0.02818385139107704,0.06780257821083069,0.02625201642513275,0.0958850309252739,0.0685480609536171
upper,0.1592642068862915,0.2177516371011734,0.35289278626441956,0.12286641448736191,0.032044488936662674,0.25818127393722534,0.08175411075353622,0.11201576888561249,0.051342256367206573
merwede,0.07321726530790329,0.20415930449962616,0.20795460045337677,0.21758998930454254,0.17786641418933868,0.17477388679981232,0.46894216537475586,0.38275906443595886,0.13861164450645447
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.058639850467443466,0.07195914536714554,0.13035868108272552,0.05727029964327812,0.03184214234352112,0.018684765323996544
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.32298287749290466,0.2564658224582672,0.3680361211299896,0.18021611869335175,0.297046959400177,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.09543897211551666,0.3519960343837738,0.31091248989105225
beneden,0.13019268214702606,0.14058680832386017,0.18165314197540283,0.17389696836471558,0.18178676068782806,0.24476510286331177,0.31857502460479736,0.3848162889480591,0.19759783148765564
merwede,0.07321726530790329,0.20415930449962616,0.20795460045337677,0.21758998930454254,0.17786641418933868,0.17477388679981232,0.46894216537475586,0.38275906443595886,0.13861164450645447
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.3194602429866791,0.2620614171028137,0.35032153129577637,0.16947899758815765,0.2951118052005768,0.40561532974243164
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.03079455904662609,-0.02818385139107704,0.06780257821083069,0.02625201642513275,0.0958850309252739,0.0685480609536171
lower,0.20079238712787628,0.20806168019771576,0.3463275134563446,0.0916140004992485,0.03021368384361267,0.31757521629333496,0.10916706919670105,0.1276191771030426,0.08471795171499252
merwede,0.07321726530790329,0.20415930449962616,0.20795460045337677,0.21758998930454254,0.17786641418933868,0.17477388679981232,0.46894216537475586,0.38275906443595886,0.13861164450645447
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.058639850467443466,0.07195914536714554,0.13035868108272552,0.05727029964327812,0.03184214234352112,0.018684765323996544
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.32298287749290466,0.2564658224582672,0.3680361211299896,0.18021611869335175,0.297046959400177,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.09543897211551666,0.3519960343837738,0.31091248989105225
noord,0.15939649939537048,0.12460505217313766,0.18337023258209229,0.2368408441543579,0.1578737199306488,0.16597291827201843,0.4348650574684143,0.2691667973995209,0.1479606032371521
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.1527777463197708,0.17802152037620544,0.19903257489204407,0.047087617218494415,0.13801021873950958,0.15390869975090027
