,what,is,an,apicoplast,?
many,0.36131182312965393,0.2649032473564148,0.2465583086013794,0.3218114376068115,0.2124512493610382
apicomplexans,0.301292359828949,0.2888018786907196,0.2565751373767853,0.6676321029663086,0.23464730381965637
keep,0.3147064745426178,0.23241287469863892,0.16314184665679932,0.20940177142620087,0.2537146508693695
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.31444448232650757,0.23916715383529663
vestigial,0.18774767220020294,0.24078446626663208,0.18648357689380646,0.49722960591316223,0.1813112497329712
red,0.16784515976905823,0.22996017336845398,0.124779611825943,0.19059082865715027,0.1495664119720459
algal,0.19235531985759735,0.28404173254966736,0.21911899745464325,0.5288700461387634,0.18147486448287964
derived,0.20143714547157288,0.2666328251361847,0.1827886700630188,0.29414814710617065,0.1241099163889885
chloroplast,0.23505516350269318,0.20798198878765106,0.15494126081466675,0.7661051750183105,0.12532055377960205
called,0.3235960602760315,0.430266410112381,0.2858632802963257,0.3397987186908722,0.18963319063186646
an,0.2821882665157318,0.4654068350791931,1.0,0.21631357073783875,0.19793890416622162
apicoplast,0.2268436849117279,0.2824747860431671,0.21631357073783875,1.0000001192092896,0.20943984389305115
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.29110661149024963,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.3611921966075897,0.39535170793533325,0.25814583897590637
they,0.4431931674480438,0.330102801322937,0.2435421496629715,0.33882108330726624,0.2753053903579712
inherited,0.2796041667461395,0.17966173589229584,0.14080889523029327,0.2800754904747009,0.1930614858865738
from,0.2737620174884796,0.27355384826660156,0.20876385271549225,0.2644910514354706,0.19969791173934937
their,0.35142919421195984,0.2101074606180191,0.19624626636505127,0.28895804286003113,0.1898253709077835
ancestors,0.22683857381343842,0.13630947470664978,0.09694015979766846,0.3209453523159027,0.16007879376411438
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.29918622970581055,0.4130953550338745
