,what,shape,are,granal,thylakoids,?
in,0.30808621644973755,0.193584606051445,0.3841303884983063,0.22007456421852112,0.19204016029834747,0.20430970191955566
the,0.42745697498321533,0.29087939858436584,0.40399202704429626,0.2786661684513092,0.23520681262016296,0.22068053483963013
helical,0.25002196431159973,0.40228381752967834,0.25408604741096497,0.15777350962162018,0.35406631231307983,0.12295936793088913
thylakoid,0.20312407612800598,0.31876716017723083,0.3156659007072449,0.23880310356616974,0.921842098236084,0.19202344119548798
model,0.2303347885608673,0.23305568099021912,0.07012248039245605,0.179660364985466,0.12507212162017822,0.14843042194843292
",",0.3087472915649414,0.224068284034729,0.4062570035457611,0.28314316272735596,0.20282846689224243,0.31091248989105225
grana,0.12482953071594238,0.22341904044151306,0.1395915150642395,0.7843918204307556,0.31276199221611023,0.1099926009774208
consist,0.15849626064300537,0.2759647071361542,0.5041409730911255,0.17454935610294342,0.326462984085083,0.04707268625497818
of,0.33290785551071167,0.2597946226596832,0.39081433415412903,0.2661854326725006,0.2329981029033661,0.1826142966747284
a,0.3320399522781372,0.32737624645233154,0.265255331993103,0.19933781027793884,0.20871521532535553,0.23916715383529663
stack,0.26367607712745667,0.24441495537757874,0.24648578464984894,0.17406617105007172,0.18018515408039093,0.23750631511211395
of,0.33290785551071167,0.2597946226596832,0.39081433415412903,0.2661854326725006,0.2329981029033661,0.1826142966747284
flattened,0.17925192415714264,0.5290759801864624,0.30605724453926086,0.25426650047302246,0.44942402839660645,0.14000996947288513
circular,0.20507359504699707,0.4715260863304138,0.2744913399219513,0.26820456981658936,0.25467631220817566,0.11291391402482986
granal,0.15025797486305237,0.20380933582782745,0.15239673852920532,1.0000001192092896,0.2560059130191803,0.11100257933139801
thylakoids,0.18655724823474884,0.28782591223716736,0.4048384726047516,0.2560059130191803,1.0,0.17522360384464264
that,0.6297725439071655,0.32968640327453613,0.45265161991119385,0.2015906125307083,0.2705019414424896,0.32716336846351624
resemble,0.2502787411212921,0.4796326160430908,0.3527396321296692,0.22068804502487183,0.3989887833595276,0.09784040600061417
pancakes,0.2202543020248413,0.23965729773044586,0.2855941355228424,0.20169168710708618,0.2614251375198364,0.13566060364246368
.,0.3567904531955719,0.267643541097641,0.3452940285205841,0.21629782021045685,0.20680563151836395,0.4130953550338745
