,the,rhine,forms,the,border,between,austria,and,what,other,country,?
the,1.0,0.30735138058662415,0.2950737178325653,1.0,0.2856229841709137,0.39067012071609497,0.24396029114723206,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.30432501435279846,0.22068053483963013
alpine,0.25914666056632996,0.18429382145404816,0.1490357667207718,0.25914666056632996,0.10246975719928741,0.15466995537281036,0.25091353058815,0.1990346759557724,0.08638320118188858,0.16035069525241852,0.21290738880634308,0.08546924591064453
rhine,0.30735138058662415,1.0,0.20136399567127228,0.30735138058662415,0.32308438420295715,0.17755062878131866,0.4033704996109009,0.22029656171798706,0.16475653648376465,0.19601790606975555,0.23905308544635773,0.13754533231258392
begins,0.3446018099784851,0.1869913935661316,0.2090822458267212,0.3446018099784851,0.1820296198129654,0.2161283791065216,0.10631894320249557,0.17859052121639252,0.1788426637649536,0.1409941464662552,0.1446983814239502,0.09518900513648987
in,0.6662389636039734,0.24648422002792358,0.26377561688423157,0.6662389636039734,0.28533756732940674,0.41100412607192993,0.24159443378448486,0.4954058527946472,0.30808621644973755,0.39989137649536133,0.3040012717247009,0.20430970191955566
the,1.0,0.30735138058662415,0.2950737178325653,1.0,0.2856229841709137,0.39067012071609497,0.24396029114723206,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.30432501435279846,0.22068053483963013
most,0.47635307908058167,0.11507835239171982,0.2905651926994324,0.47635307908058167,0.19057491421699524,0.24144990742206573,0.12606143951416016,0.4309377074241638,0.3219912350177765,0.4585079252719879,0.2174985557794571,0.2107497900724411
western,0.37920868396759033,0.23680023849010468,0.23556296527385712,0.37920868396759033,0.3031919002532959,0.29803505539894104,0.14093409478664398,0.27210789918899536,0.2454150915145874,0.25917482376098633,0.18683478236198425,0.17439141869544983
part,0.527681291103363,0.23044916987419128,0.35779091715812683,0.527681291103363,0.28389567136764526,0.3291641175746918,0.21657389402389526,0.35301485657691956,0.3476244807243347,0.25873222947120667,0.2499297857284546,0.08557961881160736
of,0.733189046382904,0.2548927664756775,0.33835989236831665,0.733189046382904,0.24084383249282837,0.3737983703613281,0.23136331140995026,0.5116966962814331,0.33290785551071167,0.38583824038505554,0.28866857290267944,0.1826142966747284
