,what,was,houghton,'s,role,?
john,0.18237407505512238,0.2875721752643585,0.2898557484149933,-0.1023898646235466,0.1990225911140442,0.13162356615066528
houghton,0.20874422788619995,0.18036407232284546,1.0000001192092896,0.05010877922177315,0.21912696957588196,0.16209419071674347
",",0.3087472915649414,0.45456063747406006,0.31373855471611023,-0.0016132977325469255,0.199491485953331,0.31091248989105225
who,0.40942975878715515,0.3318818509578705,0.186258926987648,0.05599616840481758,0.2767873704433441,0.26220351457595825
was,0.22111038863658905,1.0000001192092896,0.18036407232284546,0.008974763564765453,0.2561398148536682,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.201198548078537,0.04866964742541313,0.22880133986473083,0.23916715383529663
co-chair,0.13390766084194183,0.2904858887195587,0.19288000464439392,-0.033748235553503036,0.2668074667453766,0.13944998383522034
of,0.33290785551071167,0.4069072902202606,0.22692200541496277,-0.03817026689648628,0.1797693818807602,0.1826142966747284
tar,0.13713273406028748,0.13091522455215454,0.07472139596939087,-0.03825821727514267,0.10311438888311386,0.09344086050987244
wgi,0.21156322956085205,0.14742878079414368,0.11952125281095505,0.06258855015039444,0.1849239319562912,0.34140899777412415
",",0.3087472915649414,0.45456063747406006,0.31373855471611023,-0.0016132977325469255,0.199491485953331,0.31091248989105225
has,0.20338068902492523,0.40313825011253357,0.10182159394025803,-0.040683966130018234,0.17958451807498932,0.15994466841220856
responded,0.36064884066581726,0.2790962755680084,0.1731765866279602,-0.026374761015176773,0.17409375309944153,0.254449725151062
to,0.455847829580307,0.3636345863342285,0.1513557732105255,0.03782717138528824,0.17841029167175293,0.29463258385658264
lindzen,0.1305643916130066,0.3173067569732666,0.3164774477481842,-0.03673854097723961,0.13553473353385925,0.14743174612522125
's,0.02692362666130066,0.008974763564765453,0.05010877922177315,0.9999999403953552,0.00619043642655015,-0.023395681753754616
criticisms,0.2975212335586548,0.2928285002708435,0.148289754986763,0.0064055281691253185,0.19549183547496796,0.24547499418258667
of,0.33290785551071167,0.4069072902202606,0.22692200541496277,-0.03817026689648628,0.1797693818807602,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.22325821220874786,-0.01540423184633255,0.26607486605644226,0.22068053483963013
spm,0.11551745235919952,0.12817580997943878,0.051476240158081055,0.0196594949811697,0.08546263724565506,0.11335011571645737
.,0.3567904531955719,0.40146201848983765,0.24397508800029755,-0.003708066651597619,0.22067026793956757,0.4130953550338745
