,in,which,county,does,jacksonville,reside,?
it,0.5130809545516968,0.616637647151947,0.21266573667526245,0.34188351035118103,0.17523133754730225,0.18373452126979828,0.25732165575027466
is,0.5394441485404968,0.4457404911518097,0.19461438059806824,0.4403602182865143,0.1726600080728531,0.2582954466342926,0.22961433231830597
the,0.6662389636039734,0.6521818041801453,0.21715226769447327,0.35928019881248474,0.2176690250635147,0.303856760263443,0.22068053483963013
county,0.31363439559936523,0.1709478199481964,1.0,0.0816752091050148,0.38414254784584045,0.34269604086875916,0.07680056244134903
seat,0.2778983414173126,0.11583907157182693,0.6016365885734558,0.11561042070388794,0.2861567437648773,0.31695204973220825,0.06630133837461472
of,0.5696388483047485,0.5011631846427917,0.2393190860748291,0.3119818866252899,0.23084138333797455,0.3127472996711731,0.1826142966747284
duval,0.23694109916687012,0.15607863664627075,0.33030465245246887,0.1703025996685028,0.3456578254699707,0.18104353547096252,0.2110878825187683
county,0.31363439559936523,0.1709478199481964,1.0,0.0816752091050148,0.38414254784584045,0.34269604086875916,0.07680056244134903
",",0.5201468467712402,0.3658004403114319,0.26861095428466797,0.28617382049560547,0.2837527096271515,0.23836520314216614,0.31091248989105225
with,0.4080928862094879,0.46403205394744873,0.1566741019487381,0.26186925172805786,0.2283513844013214,0.20989759266376495,0.2433311939239502
which,0.4840516746044159,1.0,0.1709478199481964,0.39111801981925964,0.18266190588474274,0.21076087653636932,0.25814583897590637
the,0.6662389636039734,0.6521818041801453,0.21715226769447327,0.35928019881248474,0.2176690250635147,0.303856760263443,0.22068053483963013
city,0.3911624252796173,0.22264601290225983,0.47365978360176086,0.10004369169473648,0.3285287022590637,0.3968750536441803,0.13423943519592285
government,0.3066793978214264,0.27266770601272583,0.3048882782459259,0.19420266151428223,0.1274321973323822,0.18685485422611237,0.18851417303085327
consolidated,0.26325708627700806,0.2723237872123718,0.31690648198127747,0.1510055661201477,0.215550035238266,0.2567717432975769,0.16821198165416718
in,1.0,0.4840516746044159,0.31363439559936523,0.214483380317688,0.22147351503372192,0.31071940064430237,0.20430970191955566
1968,0.08920387923717499,-0.0039784410037100315,0.02440795488655567,0.042723167687654495,-0.009058226831257343,0.10365132987499237,-0.08543776720762253
.,0.5591574311256409,0.45942068099975586,0.25379708409309387,0.3022993505001068,0.2843366861343384,0.24016757309436798,0.4130953550338745
