,when,did,tesla,patent,the,motor,?
this,0.4959332048892975,0.3609912693500519,0.2066725641489029,0.2582932710647583,0.6274310946464539,0.21545228362083435,0.3155723512172699
innovative,0.20869818329811096,0.1849694401025772,0.29290899634361267,0.24835683405399323,0.2686367630958557,0.2751569151878357,0.20593076944351196
electric,0.25490424036979675,0.12459144741296768,0.3824412524700165,0.21602995693683624,0.21345196664333344,0.3861134946346283,0.15674720704555511
motor,0.2386704683303833,0.13840025663375854,0.3617369830608368,0.24921424686908722,0.26024484634399414,0.9999999403953552,0.0637441948056221
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.20812061429023743,0.4933079481124878,0.16592276096343994,0.31091248989105225
patented,0.23252859711647034,0.17659124732017517,0.35220110416412354,0.8313168883323669,0.13766011595726013,0.24448056519031525,0.08803384751081467
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.18244080245494843,0.6662389636039734,0.21732762455940247,0.20430970191955566
may,0.3167054355144501,0.3038632869720459,0.13961349427700043,0.18047446012496948,0.2694292366504669,0.1848425716161728,0.2768254578113556
1888,0.19610907137393951,0.08121363818645477,0.12613868713378906,0.04563763737678528,0.2002750039100647,0.12562808394432068,0.07625395059585571
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.20812061429023743,0.4933079481124878,0.16592276096343994,0.31091248989105225
was,0.37326499819755554,0.41399896144866943,0.16455206274986267,0.13812966644763947,0.48711544275283813,0.20476558804512024,0.18412111699581146
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.23810072243213654,0.5829201340675354,0.23198452591896057,0.23916715383529663
simple,0.2846766412258148,0.24971726536750793,0.19350126385688782,0.1941995918750763,0.24738673865795135,0.21533706784248352,0.4614735543727875
self-starting,0.38757994771003723,0.26544177532196045,0.258741557598114,0.2480243295431137,0.3770407438278198,0.26435932517051697,0.2861192524433136
design,0.1777849793434143,0.23409053683280945,0.27540352940559387,0.314693808555603,0.27913451194763184,0.3118845522403717,0.16351860761642456
that,0.5860282182693481,0.47518548369407654,0.22102725505828857,0.25033146142959595,0.5473989248275757,0.22301049530506134,0.32716336846351624
did,0.3228907287120819,1.0,0.09757418930530548,0.17086273431777954,0.34736719727516174,0.13840025663375854,0.3023456633090973
not,0.4799930453300476,0.6481515765190125,0.12018213421106339,0.23110675811767578,0.4310511648654938,0.16915901005268097,0.41942933201789856
need,0.321651816368103,0.3521409034729004,0.2206076681613922,0.23500411212444305,0.2594960331916809,0.13038507103919983,0.40413710474967957
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.23810072243213654,0.5829201340675354,0.23198452591896057,0.23916715383529663
commutator,0.22633148729801178,0.1083766296505928,0.25577250123023987,0.17461438477039337,0.21021440625190735,0.31020697951316833,0.12010757625102997
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.20812061429023743,0.4933079481124878,0.16592276096343994,0.31091248989105225
thus,0.40111956000328064,0.23622971773147583,0.16547654569149017,0.13281476497650146,0.4036877751350403,0.16388079524040222,0.18769288063049316
avoiding,0.3189665973186493,0.14682263135910034,0.03390328958630562,0.09654375910758972,0.25605273246765137,0.11829881370067596,0.2956450283527374
sparking,0.2885761857032776,0.24496810138225555,0.2143552452325821,0.19760681688785553,0.27467644214630127,0.304219514131546,0.16501721739768982
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.13321366906166077,0.5171257257461548,0.20162664353847504,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,0.1324402391910553,0.1728275567293167,1.0,0.26024484634399414,0.22068053483963013
high,0.20577524602413177,0.15957149863243103,0.2007197141647339,0.1344473510980606,0.28034812211990356,0.1983310580253601,0.11137914657592773
maintenance,0.21796786785125732,0.19161184132099152,0.23929458856582642,0.2674455940723419,0.2503823935985565,0.20203682780265808,0.2885645627975464
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.1616990715265274,0.733189046382904,0.20839329063892365,0.1826142966747284
constantly,0.4552677273750305,0.19119097292423248,0.17759296298027039,0.1451742947101593,0.23476369678974152,0.19219788908958435,0.191866934299469
servicing,0.25360167026519775,0.16599279642105103,0.22090621292591095,0.21436013281345367,0.3047925531864166,0.29050809144973755,0.14838749170303345
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.13321366906166077,0.5171257257461548,0.20162664353847504,0.20544172823429108
replacing,0.3271241784095764,0.11901331692934036,0.20277641713619232,0.16049949824810028,0.29703330993652344,0.17758384346961975,0.16467362642288208
mechanical,0.29049748182296753,0.13345296680927277,0.399202823638916,0.33817631006240845,0.2918589413166046,0.3587912917137146,0.10079140216112137
brushes,0.31542593240737915,0.14292174577713013,0.12096476554870605,0.1624346375465393,0.22471827268600464,0.21503762900829315,0.15455827116966248
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.19082264602184296,0.5934505462646484,0.19128412008285522,0.4130953550338745
