,what,is,the,oldest,exhibition,site,in,warsaw,?
the,0.42745697498321533,0.5823672413825989,1.0,0.30836519598960876,0.22614671289920807,0.288954496383667,0.6662389636039734,0.23137180507183075,0.22068053483963013
centre,0.12324132025241852,0.29804176092147827,0.32783594727516174,0.19165544211864471,0.3423420786857605,0.21511463820934296,0.2765078544616699,0.2525712847709656,0.019365152344107628
currently,0.21436211466789246,0.4011616110801697,0.2945235073566437,0.2551729679107666,0.13513928651809692,0.2176728993654251,0.30261120200157166,0.1327999383211136,0.1861555278301239
realizes,0.3390447795391083,0.2394838035106659,0.2446388453245163,0.08943541347980499,0.1435229331254959,0.11426794528961182,0.1735953986644745,0.17342689633369446,0.1851319521665573
about,0.47976887226104736,0.3532065451145172,0.37995871901512146,0.1865159273147583,0.18154402077198029,0.22784267365932465,0.39797019958496094,0.09913060814142227,0.302409827709198
500,-0.08255331963300705,0.051658064126968384,-0.031206801533699036,-0.0680115669965744,-0.013462959788739681,0.0014722556807100773,-0.01686781458556652,-0.009743334725499153,0.05473969131708145
projects,0.28646913170814514,0.1878127157688141,0.23802334070205688,0.05533229932188988,0.23784895241260529,0.3013804852962494,0.19637514650821686,0.2051103711128235,0.3193145990371704
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2483421117067337,0.18410839140415192,0.21085289120674133,0.539380669593811,0.19591784477233887,0.23916715383529663
year,0.15184831619262695,0.2402215600013733,0.3609684407711029,0.19566205143928528,0.15548263490200043,0.15396235883235931,0.3359307050704956,0.15561209619045258,0.18315006792545319
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2520267069339752,0.16661708056926727,0.22011229395866394,0.5591574311256409,0.26825499534606934,0.4130953550338745
