,what,is,the,typical,working,fluid,in,a,steam,engine,?
normally,0.30112072825431824,0.39886221289634705,0.3523634970188141,0.3375912010669708,0.1718931943178177,0.34342581033706665,0.27602890133857727,0.37473243474960327,0.21388380229473114,0.21083475649356842,0.20675471425056458
water,0.17456887662410736,0.2879090905189514,0.297396719455719,0.22467881441116333,0.17502498626708984,0.4363020062446594,0.23966141045093536,0.2979097068309784,0.43059393763542175,0.23611068725585938,0.14731885492801666
is,0.28837618231773376,1.0,0.5823672413825989,0.28977829217910767,0.20290212333202362,0.23022614419460297,0.5394441485404968,0.658733606338501,0.13029660284519196,0.18856970965862274,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.28039172291755676,0.25857484340667725,0.23256433010101318,0.6662389636039734,0.5829201340675354,0.23105813562870026,0.21651263535022736,0.22068053483963013
fluid,0.20682886242866516,0.23022614419460297,0.23256433010101318,0.19697880744934082,0.1520453691482544,1.0,0.1272517591714859,0.22105562686920166,0.31744375824928284,0.2733173966407776,0.18212400376796722
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33413293957710266,0.19986772537231445,0.217294842004776,0.5696388483047485,0.5052502155303955,0.20239725708961487,0.17095594108104706,0.1826142966747284
choice,0.29363784193992615,0.2168283462524414,0.2640603482723236,0.13532978296279907,0.16934727132320404,0.1003325805068016,0.18258674442768097,0.2913992404937744,0.13496524095535278,0.19417552649974823,0.28709158301353455
due,0.15204688906669617,0.24065633118152618,0.22577603161334991,0.20174480974674225,0.10007821023464203,0.19151359796524048,0.2516716718673706,0.2190696746110916,0.20071284472942352,0.22113491594791412,0.10954997688531876
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.22595685720443726,0.28215980529785156,0.20024138689041138,0.45010748505592346,0.45503583550453186,0.22894427180290222,0.20794793963432312,0.29463258385658264
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.2849932610988617,0.18424473702907562,0.16100819408893585,0.3793783485889435,0.4424409866333008,0.16099195182323456,0.2350696474313736,0.15103481709957123
favourable,0.22386953234672546,0.11983507126569748,0.21028827130794525,0.21057428419589996,0.188608318567276,0.18245616555213928,0.18897663056850433,0.18754032254219055,0.2560066282749176,0.2098854035139084,0.18471771478652954
