,what,do,chloroplasts,look,like,in,spinach,grown,in,green,light,?
spinach,0.160319522023201,0.20101012289524078,0.3815622925758362,0.23033961653709412,0.3191668689250946,0.19630056619644165,1.0000001192092896,0.3899162709712982,0.19630056619644165,0.2859300374984741,0.18125556409358978,0.12279599159955978
leaves,0.17524603009223938,0.24060866236686707,0.364947110414505,0.27220332622528076,0.23773664236068726,0.21813523769378662,0.369499534368515,0.37235355377197266,0.21813523769378662,0.3424730598926544,0.21620531380176544,0.11751258373260498
grown,0.1829942911863327,0.19340291619300842,0.24525518715381622,0.21310806274414062,0.23476196825504303,0.25265464186668396,0.3899162709712982,0.9999998807907104,0.25265464186668396,0.26696428656578064,0.1525682508945465,0.10581663250923157
under,0.20154598355293274,0.1541033536195755,0.12968458235263824,0.11669030040502548,0.17716333270072937,0.2535393238067627,0.10907672345638275,0.056385137140750885,0.2535393238067627,0.11276464909315109,0.12961411476135254,0.18233340978622437
green,0.16762696206569672,0.15925562381744385,0.32718849182128906,0.2089117467403412,0.20970235764980316,0.22731968760490417,0.2859300374984741,0.26696428656578064,0.22731968760490417,1.0,0.28128349781036377,0.11409882456064224
light,0.22953972220420837,0.16024693846702576,0.35485613346099854,0.2355336844921112,0.24463868141174316,0.1819845736026764,0.18125556409358978,0.1525682508945465,0.1819845736026764,0.28128349781036377,0.9999998807907104,0.17429810762405396
have,0.39808809757232666,0.49831271171569824,0.29091566801071167,0.4611172378063202,0.5579352974891663,0.36843645572662354,0.20749829709529877,0.3075537383556366,0.36843645572662354,0.21818293631076813,0.24563387036323547,0.32991164922714233
been,0.2567804455757141,0.25179004669189453,0.24714602530002594,0.210500106215477,0.31125715374946594,0.3515113592147827,0.16228847205638885,0.3445730209350586,0.3515113592147827,0.16801244020462036,0.17842577397823334,0.24354910850524902
observed,0.26469987630844116,0.2784900963306427,0.32316407561302185,0.22339877486228943,0.2063325047492981,0.24517615139484406,0.09566880017518997,0.1559400111436844,0.24517615139484406,0.13289640843868256,0.3199578523635864,0.12128034234046936
to,0.455847829580307,0.38876664638519287,0.23370109498500824,0.3370966613292694,0.35482415556907654,0.45010748505592346,0.16282159090042114,0.24028044939041138,0.45010748505592346,0.2122364193201065,0.22474321722984314,0.29463258385658264
contain,0.1832355558872223,0.31365397572517395,0.3972540497779846,0.3029386103153229,0.37092652916908264,0.23975171148777008,0.3308524191379547,0.1882772594690323,0.23975171148777008,0.19625920057296753,0.22261270880699158,0.18853069841861725
many,0.36131182312965393,0.38738366961479187,0.25650450587272644,0.3668803572654724,0.5365896821022034,0.41474202275276184,0.23948386311531067,0.3457489609718323,0.41474202275276184,0.17024672031402588,0.23877617716789246,0.2124512493610382
large,0.2017821967601776,0.22322134673595428,0.26998987793922424,0.2414551079273224,0.34971708059310913,0.2841601073741913,0.24639901518821716,0.2941252887248993,0.2841601073741913,0.18933145701885223,0.22357384860515594,0.1355665624141693
dumbbell-shaped,0.3391205966472626,0.295737087726593,0.4091179370880127,0.4332135021686554,0.5181443095207214,0.3017905354499817,0.4173901677131653,0.29775571823120117,0.3017905354499817,0.3195991516113281,0.30982741713523865,0.21569198369979858
chloroplasts,0.2524593770503998,0.2621478736400604,0.9999999403953552,0.22263528406620026,0.21969065070152283,0.21141497790813446,0.3815622925758362,0.24525518715381622,0.21141497790813446,0.32718849182128906,0.35485613346099854,0.13049766421318054
.,0.3567904531955719,0.3613996207714081,0.23868323862552643,0.3426704406738281,0.393751323223114,0.5591574311256409,0.23903611302375793,0.31161388754844666,0.5591574311256409,0.23737919330596924,0.2497042715549469,0.4130953550338745
