,where,are,the,harvard,medical,",",dental,and,school,of,public,health,located,?
the,0.5003893971443176,0.40399202704429626,1.0,0.24496200680732727,0.2398311346769333,0.4933079481124878,0.2583918571472168,0.5171257257461548,0.22953221201896667,0.733189046382904,0.22857438027858734,0.2340974360704422,0.407527357339859,0.22068053483963013
harvard,0.2272007018327713,0.1259138286113739,0.24496200680732727,1.0,0.3678908050060272,0.2719281017780304,0.2588613033294678,0.2453373372554779,0.42520302534103394,0.25842633843421936,0.23782525956630707,0.276941180229187,0.1552211195230484,0.11685016006231308
medical,0.26931947469711304,0.21335911750793457,0.2398311346769333,0.3678908050060272,1.0,0.2597777843475342,0.4107329547405243,0.26274144649505615,0.2893049716949463,0.2826511859893799,0.26286783814430237,0.5064287185668945,0.13738571107387543,0.13234087824821472
school,0.23611775040626526,0.17021894454956055,0.22953221201896667,0.42520302534103394,0.2893049716949463,0.27141863107681274,0.2215982973575592,0.2752758264541626,1.0,0.2391800880432129,0.3342896103858948,0.24482066929340363,0.19245630502700806,0.15091250836849213
",",0.3149496018886566,0.4062570035457611,0.4933079481124878,0.2719281017780304,0.2597777843475342,1.0000001192092896,0.19311998784542084,0.6633074283599854,0.27141863107681274,0.4946078956127167,0.2588968276977539,0.2331448197364807,0.2678719460964203,0.31091248989105225
harvard,0.2272007018327713,0.1259138286113739,0.24496200680732727,1.0,0.3678908050060272,0.2719281017780304,0.2588613033294678,0.2453373372554779,0.42520302534103394,0.25842633843421936,0.23782525956630707,0.276941180229187,0.1552211195230484,0.11685016006231308
school,0.23611775040626526,0.17021894454956055,0.22953221201896667,0.42520302534103394,0.2893049716949463,0.27141863107681274,0.2215982973575592,0.2752758264541626,1.0,0.2391800880432129,0.3342896103858948,0.24482066929340363,0.19245630502700806,0.15091250836849213
of,0.38066378235816956,0.39081433415412903,0.733189046382904,0.25842633843421936,0.2826511859893799,0.4946078956127167,0.2673645615577698,0.5116966962814331,0.2391800880432129,1.0,0.2391265481710434,0.28076469898223877,0.32520920038223267,0.1826142966747284
dental,0.25617852807044983,0.277290016412735,0.2583918571472168,0.2588613033294678,0.4107329547405243,0.19311998784542084,1.0000001192092896,0.24357996881008148,0.2215982973575592,0.2673645615577698,0.2672274112701416,0.3655155897140503,0.13462013006210327,0.12109649926424026
medicine,0.21396130323410034,0.15540048480033875,0.19564834237098694,0.3069080114364624,0.5872411727905273,0.2526143491268158,0.29095086455345154,0.1892286092042923,0.22528734803199768,0.20997224748134613,0.1558263599872589,0.3573910892009735,0.19541986286640167,0.14826606214046478
