,who,used,the,church,to,unify,themselves,?
however,0.4020770490169525,0.41882941126823425,0.49814513325691223,0.18653200566768646,0.5474119186401367,0.2954370677471161,0.3715254068374634,0.2152075469493866
",",0.3365725874900818,0.3120402991771698,0.4933079481124878,0.2707274258136749,0.44245919585227966,0.24043713510036469,0.19974499940872192,0.31091248989105225
in,0.2792111933231354,0.3090210556983948,0.6662389636039734,0.2493300437927246,0.45010748505592346,0.20590393245220184,0.17596714198589325,0.20430970191955566
the,0.3733934462070465,0.3718377649784088,1.0,0.23846197128295898,0.535392165184021,0.2526540756225586,0.3444426357746124,0.22068053483963013
early,0.23985694348812103,0.24876713752746582,0.34442198276519775,0.23740842938423157,0.24557004868984222,0.14467769861221313,0.2036314755678177,0.15272949635982513
11th,0.15602406859397888,0.14652714133262634,0.20795033872127533,-0.014383763074874878,0.16997216641902924,-0.03584633395075798,0.07162650674581528,0.014542436227202415
century,0.2990973889827728,0.29442450404167175,0.3617299497127533,0.3047577142715454,0.20143604278564453,0.12839722633361816,0.1936158686876297,0.1026201918721199
the,0.3733934462070465,0.3718377649784088,1.0,0.23846197128295898,0.535392165184021,0.2526540756225586,0.3444426357746124,0.22068053483963013
dukes,0.20349343121051788,0.15128175914287567,0.2551864981651306,0.24025404453277588,0.18403872847557068,0.19906117022037506,0.20454946160316467,0.09325318783521652
began,0.1646115779876709,0.28289273381233215,0.3059147596359253,0.1954246312379837,0.2731419503688812,0.1497686505317688,0.22862696647644043,0.1370266228914261
a,0.36608949303627014,0.3864384889602661,0.5829201340675354,0.19588641822338104,0.45503583550453186,0.1509355753660202,0.19371497631072998,0.23916715383529663
programme,0.2317163497209549,0.19060827791690826,0.23601844906806946,0.16022507846355438,0.22052034735679626,0.14276131987571716,0.11891638487577438,0.139840766787529
of,0.2827862501144409,0.3075267970561981,0.733189046382904,0.3079429268836975,0.41548454761505127,0.27350667119026184,0.2638634443283081,0.1826142966747284
church,0.19418756663799286,0.1413264274597168,0.23846197128295898,0.9999999403953552,0.24439501762390137,0.12762567400932312,0.12229454517364502,0.18081501126289368
reform,0.2350572645664215,0.11076607555150986,0.28116169571876526,0.35932037234306335,0.30886903405189514,0.29964837431907654,0.20758375525474548,0.14216484129428864
",",0.3365725874900818,0.3120402991771698,0.4933079481124878,0.2707274258136749,0.44245919585227966,0.24043713510036469,0.19974499940872192,0.31091248989105225
encouraging,0.2875431478023529,0.24399787187576294,0.24877148866653442,0.12117530405521393,0.346218466758728,0.24409639835357666,0.34410542249679565,0.23532812297344208
the,0.3733934462070465,0.3718377649784088,1.0,0.23846197128295898,0.535392165184021,0.2526540756225586,0.3444426357746124,0.22068053483963013
cluniac,0.2433362454175949,0.16220936179161072,0.32095906138420105,0.3620409667491913,0.19024594128131866,0.22124114632606506,0.13650959730148315,0.2473478466272354
reform,0.2350572645664215,0.11076607555150986,0.28116169571876526,0.35932037234306335,0.30886903405189514,0.29964837431907654,0.20758375525474548,0.14216484129428864
of,0.2827862501144409,0.3075267970561981,0.733189046382904,0.3079429268836975,0.41548454761505127,0.27350667119026184,0.2638634443283081,0.1826142966747284
monasteries,0.22333325445652008,0.1759084016084671,0.2793091833591461,0.4928450882434845,0.23266944289207458,0.17760063707828522,0.30461275577545166,0.12262909859418869
and,0.41279885172843933,0.3150506615638733,0.5171257257461548,0.1976170688867569,0.48971283435821533,0.23293976485729218,0.3146885335445404,0.20544172823429108
patronising,0.366944283246994,0.33475324511528015,0.2990712523460388,0.24170374870300293,0.3884068727493286,0.2317458838224411,0.31535202264785767,0.2703777849674225
intellectual,0.33791273832321167,0.11299740523099899,0.21093927323818207,0.16695179045200348,0.23234911262989044,0.20151285827159882,0.22375047206878662,0.16475045680999756
pursuits,0.1846769154071808,0.21903833746910095,0.23181703686714172,0.11050894856452942,0.23338903486728668,0.18702194094657898,0.2852203845977783,0.08735043555498123
",",0.3365725874900818,0.3120402991771698,0.4933079481124878,0.2707274258136749,0.44245919585227966,0.24043713510036469,0.19974499940872192,0.31091248989105225
especially,0.3433115482330322,0.4400772750377655,0.39420849084854126,0.1742585003376007,0.37744608521461487,0.1718738079071045,0.339181512594223,0.19751401245594025
the,0.3733934462070465,0.3718377649784088,1.0,0.23846197128295898,0.535392165184021,0.2526540756225586,0.3444426357746124,0.22068053483963013
proliferation,0.15761634707450867,0.27366527915000916,0.3291037678718567,0.12467849999666214,0.2793785631656647,0.23249822854995728,0.26852908730506897,0.23579323291778564
